FL-experiment | INFO flwr 2024-05-01 00:57:41,615 | main.py:43 | Config: INCENTIVES_ON=True, BCFL=False, IPFS_ON=True, NUM_CLIENTS=25, NUM_ROUNDS=5,
FL-experiment | INFO flwr 2024-05-01 00:57:41,615 | main.py:44 | Start Experiment
FL-experiment | INFO flwr 2024-05-01 00:57:41,615 | main.py:54 | Start opening channels
FL-experiment | INFO flwr 2024-05-01 01:03:56,862 | main.py:56 | Done opening channels
FL-experiment | DEBUG flwr 2024-05-01 01:03:59,043 | server.py:147 | File: storage/init_model_dd2e2ea7-eee3-4dac-9b18-65bb99e3568f.pkl IPFS file hash: Qmah55XwtWajpe5xpsju2yRc141TsoTwbjaH1Ea9aCUDV9
FL-experiment | INFO flwr 2024-05-01 01:03:59,044 | server.py:38 | Start Round=1
FL-experiment | INFO flwr 2024-05-01 01:03:59,044 | server.py:49 | Start sharing model with perun nodes
FL-experiment | INFO flwr 2024-05-01 01:03:59,044 | server.py:52 | PERUN REQUEST: Sharing model with peer_0, REQ=set,peer_0,Qmah55XwtWajpe5xpsju2yRc141TsoTwbjaH1Ea9aCUDV9,5,0,0,0
FL-experiment | INFO flwr 2024-05-01 01:03:59,133 | server.py:52 | PERUN REQUEST: Sharing model with peer_1, REQ=set,peer_1,Qmah55XwtWajpe5xpsju2yRc141TsoTwbjaH1Ea9aCUDV9,5,0,0,0
FL-experiment | INFO flwr 2024-05-01 01:03:59,236 | server.py:52 | PERUN REQUEST: Sharing model with peer_2, REQ=set,peer_2,Qmah55XwtWajpe5xpsju2yRc141TsoTwbjaH1Ea9aCUDV9,5,0,0,0
FL-experiment | INFO flwr 2024-05-01 01:03:59,320 | server.py:52 | PERUN REQUEST: Sharing model with peer_3, REQ=set,peer_3,Qmah55XwtWajpe5xpsju2yRc141TsoTwbjaH1Ea9aCUDV9,5,0,0,0
FL-experiment | INFO flwr 2024-05-01 01:03:59,405 | server.py:52 | PERUN REQUEST: Sharing model with peer_4, REQ=set,peer_4,Qmah55XwtWajpe5xpsju2yRc141TsoTwbjaH1Ea9aCUDV9,5,0,0,0
FL-experiment | INFO flwr 2024-05-01 01:03:59,484 | server.py:52 | PERUN REQUEST: Sharing model with peer_5, REQ=set,peer_5,Qmah55XwtWajpe5xpsju2yRc141TsoTwbjaH1Ea9aCUDV9,5,0,0,0
FL-experiment | INFO flwr 2024-05-01 01:03:59,566 | server.py:52 | PERUN REQUEST: Sharing model with peer_6, REQ=set,peer_6,Qmah55XwtWajpe5xpsju2yRc141TsoTwbjaH1Ea9aCUDV9,5,0,0,0
FL-experiment | INFO flwr 2024-05-01 01:03:59,656 | server.py:52 | PERUN REQUEST: Sharing model with peer_7, REQ=set,peer_7,Qmah55XwtWajpe5xpsju2yRc141TsoTwbjaH1Ea9aCUDV9,5,0,0,0
FL-experiment | INFO flwr 2024-05-01 01:03:59,747 | server.py:52 | PERUN REQUEST: Sharing model with peer_8, REQ=set,peer_8,Qmah55XwtWajpe5xpsju2yRc141TsoTwbjaH1Ea9aCUDV9,5,0,0,0
FL-experiment | INFO flwr 2024-05-01 01:03:59,827 | server.py:52 | PERUN REQUEST: Sharing model with peer_9, REQ=set,peer_9,Qmah55XwtWajpe5xpsju2yRc141TsoTwbjaH1Ea9aCUDV9,5,0,0,0
FL-experiment | INFO flwr 2024-05-01 01:03:59,914 | server.py:52 | PERUN REQUEST: Sharing model with peer_10, REQ=set,peer_10,Qmah55XwtWajpe5xpsju2yRc141TsoTwbjaH1Ea9aCUDV9,5,0,0,0
FL-experiment | INFO flwr 2024-05-01 01:04:00,009 | server.py:52 | PERUN REQUEST: Sharing model with peer_11, REQ=set,peer_11,Qmah55XwtWajpe5xpsju2yRc141TsoTwbjaH1Ea9aCUDV9,5,0,0,0
FL-experiment | INFO flwr 2024-05-01 01:04:00,100 | server.py:52 | PERUN REQUEST: Sharing model with peer_12, REQ=set,peer_12,Qmah55XwtWajpe5xpsju2yRc141TsoTwbjaH1Ea9aCUDV9,5,0,0,0
FL-experiment | INFO flwr 2024-05-01 01:04:00,203 | server.py:52 | PERUN REQUEST: Sharing model with peer_13, REQ=set,peer_13,Qmah55XwtWajpe5xpsju2yRc141TsoTwbjaH1Ea9aCUDV9,5,0,0,0
FL-experiment | INFO flwr 2024-05-01 01:04:00,313 | server.py:52 | PERUN REQUEST: Sharing model with peer_14, REQ=set,peer_14,Qmah55XwtWajpe5xpsju2yRc141TsoTwbjaH1Ea9aCUDV9,5,0,0,0
FL-experiment | INFO flwr 2024-05-01 01:04:00,441 | server.py:52 | PERUN REQUEST: Sharing model with peer_15, REQ=set,peer_15,Qmah55XwtWajpe5xpsju2yRc141TsoTwbjaH1Ea9aCUDV9,5,0,0,0
FL-experiment | INFO flwr 2024-05-01 01:04:00,544 | server.py:52 | PERUN REQUEST: Sharing model with peer_16, REQ=set,peer_16,Qmah55XwtWajpe5xpsju2yRc141TsoTwbjaH1Ea9aCUDV9,5,0,0,0
