FL-experiment | INFO flwr 2024-05-04 11:18:05,795 | main.py:43 | Config: INCENTIVES_ON=True, BCFL=False, IPFS_ON=True, NUM_CLIENTS=50, NUM_ROUNDS=10,
FL-experiment | INFO flwr 2024-05-04 11:18:05,795 | main.py:44 | Start Experiment
FL-experiment | INFO flwr 2024-05-04 11:18:05,795 | main.py:54 | Start opening channels
FL-experiment | INFO flwr 2024-05-04 11:30:36,877 | main.py:56 | Done opening channels
FL-experiment | DEBUG flwr 2024-05-04 11:30:39,416 | server.py:147 | File: storage/init_model_f250a652-e567-4f30-8aec-9aa3ea23197b.pkl IPFS file hash: QmPXy5GFX9F5tBMQATQL6Vc2iLAyem4pneTxxRKf1L6UVc
FL-experiment | INFO flwr 2024-05-04 11:30:39,417 | server.py:38 | Start Round=1
FL-experiment | INFO flwr 2024-05-04 11:30:39,417 | server.py:49 | Start sharing model with perun nodes
FL-experiment | INFO flwr 2024-05-04 11:30:39,417 | server.py:52 | PERUN REQUEST: Sharing model with peer_0, REQ=set,peer_0,QmPXy5GFX9F5tBMQATQL6Vc2iLAyem4pneTxxRKf1L6UVc,10,0,0,0
FL-experiment | INFO flwr 2024-05-04 11:30:39,465 | server.py:52 | PERUN REQUEST: Sharing model with peer_1, REQ=set,peer_1,QmPXy5GFX9F5tBMQATQL6Vc2iLAyem4pneTxxRKf1L6UVc,10,0,0,0
FL-experiment | INFO flwr 2024-05-04 11:30:39,499 | server.py:52 | PERUN REQUEST: Sharing model with peer_2, REQ=set,peer_2,QmPXy5GFX9F5tBMQATQL6Vc2iLAyem4pneTxxRKf1L6UVc,10,0,0,0
FL-experiment | INFO flwr 2024-05-04 11:30:39,534 | server.py:52 | PERUN REQUEST: Sharing model with peer_3, REQ=set,peer_3,QmPXy5GFX9F5tBMQATQL6Vc2iLAyem4pneTxxRKf1L6UVc,10,0,0,0
FL-experiment | INFO flwr 2024-05-04 11:30:39,569 | server.py:52 | PERUN REQUEST: Sharing model with peer_4, REQ=set,peer_4,QmPXy5GFX9F5tBMQATQL6Vc2iLAyem4pneTxxRKf1L6UVc,10,0,0,0
FL-experiment | INFO flwr 2024-05-04 11:30:39,603 | server.py:52 | PERUN REQUEST: Sharing model with peer_5, REQ=set,peer_5,QmPXy5GFX9F5tBMQATQL6Vc2iLAyem4pneTxxRKf1L6UVc,10,0,0,0
FL-experiment | INFO flwr 2024-05-04 11:30:39,635 | server.py:52 | PERUN REQUEST: Sharing model with peer_6, REQ=set,peer_6,QmPXy5GFX9F5tBMQATQL6Vc2iLAyem4pneTxxRKf1L6UVc,10,0,0,0
FL-experiment | INFO flwr 2024-05-04 11:30:39,663 | server.py:52 | PERUN REQUEST: Sharing model with peer_7, REQ=set,peer_7,QmPXy5GFX9F5tBMQATQL6Vc2iLAyem4pneTxxRKf1L6UVc,10,0,0,0
FL-experiment | INFO flwr 2024-05-04 11:30:39,695 | server.py:52 | PERUN REQUEST: Sharing model with peer_8, REQ=set,peer_8,QmPXy5GFX9F5tBMQATQL6Vc2iLAyem4pneTxxRKf1L6UVc,10,0,0,0
FL-experiment | INFO flwr 2024-05-04 11:30:39,725 | server.py:52 | PERUN REQUEST: Sharing model with peer_9, REQ=set,peer_9,QmPXy5GFX9F5tBMQATQL6Vc2iLAyem4pneTxxRKf1L6UVc,10,0,0,0
FL-experiment | INFO flwr 2024-05-04 11:30:39,759 | server.py:52 | PERUN REQUEST: Sharing model with peer_10, REQ=set,peer_10,QmPXy5GFX9F5tBMQATQL6Vc2iLAyem4pneTxxRKf1L6UVc,10,0,0,0
FL-experiment | INFO flwr 2024-05-04 11:30:39,790 | server.py:52 | PERUN REQUEST: Sharing model with peer_11, REQ=set,peer_11,QmPXy5GFX9F5tBMQATQL6Vc2iLAyem4pneTxxRKf1L6UVc,10,0,0,0
FL-experiment | INFO flwr 2024-05-04 11:30:39,826 | server.py:52 | PERUN REQUEST: Sharing model with peer_12, REQ=set,peer_12,QmPXy5GFX9F5tBMQATQL6Vc2iLAyem4pneTxxRKf1L6UVc,10,0,0,0
FL-experiment | INFO flwr 2024-05-04 11:30:39,861 | server.py:52 | PERUN REQUEST: Sharing model with peer_13, REQ=set,peer_13,QmPXy5GFX9F5tBMQATQL6Vc2iLAyem4pneTxxRKf1L6UVc,10,0,0,0
FL-experiment | INFO flwr 2024-05-04 11:30:39,894 | server.py:52 | PERUN REQUEST: Sharing model with peer_14, REQ=set,peer_14,QmPXy5GFX9F5tBMQATQL6Vc2iLAyem4pneTxxRKf1L6UVc,10,0,0,0
FL-experiment | INFO flwr 2024-05-04 11:30:39,925 | server.py:52 | PERUN REQUEST: Sharing model with peer_15, REQ=set,peer_15,QmPXy5GFX9F5tBMQATQL6Vc2iLAyem4pneTxxRKf1L6UVc,10,0,0,0
FL-experiment | INFO flwr 2024-05-04 11:30:39,956 | server.py:52 | PERUN REQUEST: Sharing model with peer_16, REQ=set,peer_16,QmPXy5GFX9F5tBMQATQL6Vc2iLAyem4pneTxxRKf1L6UVc,10,0,0,0
FL-experiment | INFO flwr 2024-05-04 11:30:40,003 | server.py:52 | PERUN REQUEST: Sharing model with peer_17, REQ=set,peer_17,QmPXy5GFX9F5tBMQATQL6Vc2iLAyem4pneTxxRKf1L6UVc,10,0,0,0
FL-experiment | INFO flwr 2024-05-04 11:30:40,114 | server.py:52 | PERUN REQUEST: Sharing model with peer_18, REQ=set,peer_18,QmPXy5GFX9F5tBMQATQL6Vc2iLAyem4pneTxxRKf1L6UVc,10,0,0,0
FL-experiment | INFO flwr 2024-05-04 11:30:40,200 | server.py:52 | PERUN REQUEST: Sharing model with peer_19, REQ=set,peer_19,QmPXy5GFX9F5tBMQATQL6Vc2iLAyem4pneTxxRKf1L6UVc,10,0,0,0
FL-experiment | INFO flwr 2024-05-04 11:30:40,241 | server.py:52 | PERUN REQUEST: Sharing model with peer_20, REQ=set,peer_20,QmPXy5GFX9F5tBMQATQL6Vc2iLAyem4pneTxxRKf1L6UVc,10,0,0,0
FL-experiment | INFO flwr 2024-05-04 11:30:40,294 | server.py:52 | PERUN REQUEST: Sharing model with peer_21, REQ=set,peer_21,QmPXy5GFX9F5tBMQATQL6Vc2iLAyem4pneTxxRKf1L6UVc,10,0,0,0
FL-experiment | INFO flwr 2024-05-04 11:30:40,416 | server.py:52 | PERUN REQUEST: Sharing model with peer_22, REQ=set,peer_22,QmPXy5GFX9F5tBMQATQL6Vc2iLAyem4pneTxxRKf1L6UVc,10,0,0,0
FL-experiment | INFO flwr 2024-05-04 11:30:40,455 | server.py:52 | PERUN REQUEST: Sharing model with peer_23, REQ=set,peer_23,QmPXy5GFX9F5tBMQATQL6Vc2iLAyem4pneTxxRKf1L6UVc,10,0,0,0
FL-experiment | INFO flwr 2024-05-04 11:30:40,521 | server.py:52 | PERUN REQUEST: Sharing model with peer_24, REQ=set,peer_24,QmPXy5GFX9F5tBMQATQL6Vc2iLAyem4pneTxxRKf1L6UVc,10,0,0,0
