FL-experiment | INFO flwr 2024-05-02 12:14:16,143 | server.py:52 | PERUN REQUEST: Sharing model with peer_22, REQ=set,peer_22,QmSjqr8y3Bfu8n9YMaKpm6Mvfw45gNoFpenxQesakjR2Vc,1,0,0,0
FL-experiment | INFO flwr 2024-05-02 12:14:16,271 | server.py:52 | PERUN REQUEST: Sharing model with peer_23, REQ=set,peer_23,QmSjqr8y3Bfu8n9YMaKpm6Mvfw45gNoFpenxQesakjR2Vc,1,0,0,0
FL-experiment | INFO flwr 2024-05-02 12:14:16,404 | server.py:52 | PERUN REQUEST: Sharing model with peer_24, REQ=set,peer_24,QmSjqr8y3Bfu8n9YMaKpm6Mvfw45gNoFpenxQesakjR2Vc,1,0,0,0
FL-experiment | INFO flwr 2024-05-02 12:14:16,535 | server.py:52 | PERUN REQUEST: Sharing model with peer_25, REQ=set,peer_25,QmSjqr8y3Bfu8n9YMaKpm6Mvfw45gNoFpenxQesakjR2Vc,1,0,0,0
FL-experiment | INFO flwr 2024-05-02 12:14:16,678 | server.py:52 | PERUN REQUEST: Sharing model with peer_26, REQ=set,peer_26,QmSjqr8y3Bfu8n9YMaKpm6Mvfw45gNoFpenxQesakjR2Vc,1,0,0,0
FL-experiment | INFO flwr 2024-05-02 12:14:16,813 | server.py:52 | PERUN REQUEST: Sharing model with peer_27, REQ=set,peer_27,QmSjqr8y3Bfu8n9YMaKpm6Mvfw45gNoFpenxQesakjR2Vc,1,0,0,0
FL-experiment | INFO flwr 2024-05-02 12:14:16,945 | server.py:52 | PERUN REQUEST: Sharing model with peer_28, REQ=set,peer_28,QmSjqr8y3Bfu8n9YMaKpm6Mvfw45gNoFpenxQesakjR2Vc,1,0,0,0
FL-experiment | INFO flwr 2024-05-02 12:14:17,081 | server.py:52 | PERUN REQUEST: Sharing model with peer_29, REQ=set,peer_29,QmSjqr8y3Bfu8n9YMaKpm6Mvfw45gNoFpenxQesakjR2Vc,1,0,0,0
FL-experiment | INFO flwr 2024-05-02 12:14:17,219 | server.py:52 | PERUN REQUEST: Sharing model with peer_30, REQ=set,peer_30,QmSjqr8y3Bfu8n9YMaKpm6Mvfw45gNoFpenxQesakjR2Vc,1,0,0,0
FL-experiment | INFO flwr 2024-05-02 12:14:17,351 | server.py:52 | PERUN REQUEST: Sharing model with peer_31, REQ=set,peer_31,QmSjqr8y3Bfu8n9YMaKpm6Mvfw45gNoFpenxQesakjR2Vc,1,0,0,0
