FL-experiment | INFO flwr 2024-04-30 19:52:29,039 | main.py:43 | Config: INCENTIVES_ON=True, BCFL=False, IPFS_ON=True, NUM_CLIENTS=25, NUM_ROUNDS=1,
FL-experiment | INFO flwr 2024-04-30 19:52:29,039 | main.py:44 | Start Experiment
FL-experiment | INFO flwr 2024-04-30 19:52:29,039 | main.py:54 | Start opening channels
FL-experiment | INFO flwr 2024-04-30 19:58:43,344 | main.py:56 | Done opening channels
FL-experiment | DEBUG flwr 2024-04-30 19:58:45,391 | server.py:147 | File: storage/init_model_1037da61-9ebc-4921-92fd-4578d6314f9a.pkl IPFS file hash: QmYRrU3yDryc7feFYe9dKPD2d3nRb2qfLkiiLUykjLbmBP
FL-experiment | INFO flwr 2024-04-30 19:58:45,392 | server.py:38 | Start Round=1
FL-experiment | INFO flwr 2024-04-30 19:58:45,392 | server.py:49 | Start sharing model with perun nodes
FL-experiment | INFO flwr 2024-04-30 19:58:45,392 | server.py:52 | PERUN REQUEST: Sharing model with peer_0, REQ=set,peer_0,QmYRrU3yDryc7feFYe9dKPD2d3nRb2qfLkiiLUykjLbmBP,1,0,0,0
FL-experiment | INFO flwr 2024-04-30 19:58:45,434 | server.py:52 | PERUN REQUEST: Sharing model with peer_1, REQ=set,peer_1,QmYRrU3yDryc7feFYe9dKPD2d3nRb2qfLkiiLUykjLbmBP,1,0,0,0
FL-experiment | INFO flwr 2024-04-30 19:58:45,456 | server.py:52 | PERUN REQUEST: Sharing model with peer_2, REQ=set,peer_2,QmYRrU3yDryc7feFYe9dKPD2d3nRb2qfLkiiLUykjLbmBP,1,0,0,0
FL-experiment | INFO flwr 2024-04-30 19:58:45,478 | server.py:52 | PERUN REQUEST: Sharing model with peer_3, REQ=set,peer_3,QmYRrU3yDryc7feFYe9dKPD2d3nRb2qfLkiiLUykjLbmBP,1,0,0,0
FL-experiment | INFO flwr 2024-04-30 19:58:45,500 | server.py:52 | PERUN REQUEST: Sharing model with peer_4, REQ=set,peer_4,QmYRrU3yDryc7feFYe9dKPD2d3nRb2qfLkiiLUykjLbmBP,1,0,0,0
FL-experiment | INFO flwr 2024-04-30 19:58:45,525 | server.py:52 | PERUN REQUEST: Sharing model with peer_5, REQ=set,peer_5,QmYRrU3yDryc7feFYe9dKPD2d3nRb2qfLkiiLUykjLbmBP,1,0,0,0
FL-experiment | INFO flwr 2024-04-30 19:58:45,551 | server.py:52 | PERUN REQUEST: Sharing model with peer_6, REQ=set,peer_6,QmYRrU3yDryc7feFYe9dKPD2d3nRb2qfLkiiLUykjLbmBP,1,0,0,0
FL-experiment | INFO flwr 2024-04-30 19:58:45,573 | server.py:52 | PERUN REQUEST: Sharing model with peer_7, REQ=set,peer_7,QmYRrU3yDryc7feFYe9dKPD2d3nRb2qfLkiiLUykjLbmBP,1,0,0,0
FL-experiment | INFO flwr 2024-04-30 19:58:45,602 | server.py:52 | PERUN REQUEST: Sharing model with peer_8, REQ=set,peer_8,QmYRrU3yDryc7feFYe9dKPD2d3nRb2qfLkiiLUykjLbmBP,1,0,0,0
FL-experiment | INFO flwr 2024-04-30 19:58:45,630 | server.py:52 | PERUN REQUEST: Sharing model with peer_9, REQ=set,peer_9,QmYRrU3yDryc7feFYe9dKPD2d3nRb2qfLkiiLUykjLbmBP,1,0,0,0
FL-experiment | INFO flwr 2024-04-30 19:58:45,654 | server.py:52 | PERUN REQUEST: Sharing model with peer_10, REQ=set,peer_10,QmYRrU3yDryc7feFYe9dKPD2d3nRb2qfLkiiLUykjLbmBP,1,0,0,0
FL-experiment | INFO flwr 2024-04-30 19:58:45,679 | server.py:52 | PERUN REQUEST: Sharing model with peer_11, REQ=set,peer_11,QmYRrU3yDryc7feFYe9dKPD2d3nRb2qfLkiiLUykjLbmBP,1,0,0,0
FL-experiment | INFO flwr 2024-04-30 19:58:45,701 | server.py:52 | PERUN REQUEST: Sharing model with peer_12, REQ=set,peer_12,QmYRrU3yDryc7feFYe9dKPD2d3nRb2qfLkiiLUykjLbmBP,1,0,0,0
FL-experiment | INFO flwr 2024-04-30 19:58:45,724 | server.py:52 | PERUN REQUEST: Sharing model with peer_13, REQ=set,peer_13,QmYRrU3yDryc7feFYe9dKPD2d3nRb2qfLkiiLUykjLbmBP,1,0,0,0
