time: 22.497899999999998 seconds | setting aggregated model to the blockchain round=5
time: 376.9676584915 seconds | FL

Config: INCENTIVES_ON=False, BCFL=True, IPFS_ON=True, NUM_CLIENTS=5, NUM_ROUNDS=10,
time: 773.7743 seconds | Experiment
time: 106.77790000000002 seconds | Round=1
time: 22.167700000000004 seconds | deploying contract
time: 25.91249 seconds | Training client=1
time: 25.89905 seconds | Training client=2
time: 25.652109999999997 seconds | Training client=0
time: 25.63908 seconds | Training client=4
time: 25.751589999999997 seconds | Training client=3
time: 47.3951 seconds | Aggregating round=1
time: 22.61478 seconds | setting weights to the blockchain
time: 0.2132 seconds | saving aggregated model to storage (round=1)
time: 22.4132 seconds | setting aggregated model to the blockchain round=1
time: 75.0913 seconds | Round=2
time: 46.8314 seconds | Aggregating round=2
time: 0.21350000000000002 seconds | saving aggregated model to storage (round=2)
time: 22.487000000000002 seconds | setting aggregated model to the blockchain round=2
time: 74.1086 seconds | Round=3
time: 46.9095 seconds | Aggregating round=3
time: 0.22080000000000002 seconds | saving aggregated model to storage (round=3)
time: 22.487000000000002 seconds | setting aggregated model to the blockchain round=3
time: 74.58970000000001 seconds | Round=4
time: 47.8323 seconds | Aggregating round=4
time: 0.2233 seconds | saving aggregated model to storage (round=4)
time: 22.4434 seconds | setting aggregated model to the blockchain round=4
time: 73.10940000000001 seconds | Round=5
time: 47.584500000000006 seconds | Aggregating round=5
time: 0.2242 seconds | saving aggregated model to storage (round=5)
time: 22.518600000000003 seconds | setting aggregated model to the blockchain round=5
time: 73.599 seconds | Round=6
time: 48.4885 seconds | Aggregating round=6
time: 0.23040000000000002 seconds | saving aggregated model to storage (round=6)
time: 22.3892 seconds | setting aggregated model to the blockchain round=6
time: 73.11089999999999 seconds | Round=7
time: 47.8061 seconds | Aggregating round=7
time: 0.2239 seconds | saving aggregated model to storage (round=7)
time: 22.4261 seconds | setting aggregated model to the blockchain round=7
time: 73.618 seconds | Round=8
time: 47.8081 seconds | Aggregating round=8
time: 0.21590000000000004 seconds | saving aggregated model to storage (round=8)
time: 22.386699999999998 seconds | setting aggregated model to the blockchain round=8
time: 73.134 seconds | Round=9
time: 47.6879 seconds | Aggregating round=9
time: 0.22959999999999994 seconds | saving aggregated model to storage (round=9)
time: 22.4137 seconds | setting aggregated model to the blockchain round=9
time: 73.61600000000001 seconds | Round=10
time: 48.3239 seconds | Aggregating round=10
time: 0.2233 seconds | saving aggregated model to storage (round=10)
time: 22.4641 seconds | setting aggregated model to the blockchain round=10
time: 741.2406076751 seconds | FL

Config: INCENTIVES_ON=False, BCFL=True, IPFS_ON=True, NUM_CLIENTS=10, NUM_ROUNDS=1,
time: 211.93810000000002 seconds | Experiment
time: 208.69050000000001 seconds | Round=1
time: 46.3573 seconds | deploying contract
time: 48.549899999999994 seconds | Training client=6
time: 52.002100000000006 seconds | Training client=1
time: 49.0754 seconds | Training client=3
time: 50.0709 seconds | Training client=0
time: 50.4398 seconds | Training client=5
time: 46.62180000000001 seconds | Training client=9
time: 50.8599 seconds | Training client=8
time: 49.9467 seconds | Training client=7
time: 45.5012 seconds | Training client=2
time: 51.3318 seconds | Training client=4
time: 98.0635 seconds | Aggregating round=1
time: 47.9438 seconds | setting weights to the blockchain
time: 0.20299999999999999 seconds | saving aggregated model to storage (round=1)
time: 45.9187 seconds | setting aggregated model to the blockchain round=1
time: 152.39001344570002 seconds | FL

Config: INCENTIVES_ON=False, BCFL=True, IPFS_ON=True, NUM_CLIENTS=10, NUM_ROUNDS=5,
time: 796.0986999999999 seconds | Experiment
time: 206.5375 seconds | Round=1
time: 46.751 seconds | deploying contract
time: 40.1776 seconds | Training client=2
time: 40.38138000000001 seconds | Training client=3
time: 41.78884 seconds | Training client=4
time: 40.08256 seconds | Training client=6
time: 37.5323 seconds | Training client=0
time: 39.429179999999995 seconds | Training client=9
time: 38.3775 seconds | Training client=1
time: 39.11328 seconds | Training client=8
time: 41.82772 seconds | Training client=5
time: 38.0632 seconds | Training client=7
time: 98.71589999999999 seconds | Aggregating round=1
time: 47.69956 seconds | setting weights to the blockchain
time: 0.1859 seconds | saving aggregated model to storage (round=1)
time: 45.9773 seconds | setting aggregated model to the blockchain round=1
time: 149.31119999999999 seconds | Round=2
time: 98.6255 seconds | Aggregating round=2
time: 0.18780000000000002 seconds | saving aggregated model to storage (round=2)
time: 46.73819999999999 seconds | setting aggregated model to the blockchain round=2
time: 147.24869999999999 seconds | Round=3
time: 97.54999999999998 seconds | Aggregating round=3
time: 0.188 seconds | saving aggregated model to storage (round=3)
time: 45.833 seconds | setting aggregated model to the blockchain round=3
time: 144.7587 seconds | Round=4
time: 97.8083 seconds | Aggregating round=4
time: 0.1796 seconds | saving aggregated model to storage (round=4)
time: 46.3015 seconds | setting aggregated model to the blockchain round=4
time: 143.3182 seconds | Round=5
time: 98.91329999999999 seconds | Aggregating round=5
time: 0.18650000000000003 seconds | saving aggregated model to storage (round=5)
time: 47.1203 seconds | setting aggregated model to the blockchain round=5
time: 734.9295495333 seconds | FL

Config: INCENTIVES_ON=False, BCFL=True, IPFS_ON=True, NUM_CLIENTS=10, NUM_ROUNDS=10,
time: 1513.4199999999996 seconds | Experiment
time: 201.5733 seconds | Round=1
time: 46.7801 seconds | deploying contract
time: 46.15505 seconds | Training client=4
time: 46.20661 seconds | Training client=5
time: 46.254760000000005 seconds | Training client=2
time: 46.13539000000001 seconds | Training client=6
time: 46.18186999999999 seconds | Training client=8
time: 46.16629999999999 seconds | Training client=0
time: 46.22818 seconds | Training client=9
time: 46.26625000000001 seconds | Training client=7
time: 46.19362999999999 seconds | Training client=3
time: 46.21339 seconds | Training client=1
time: 98.6685 seconds | Aggregating round=1
time: 48.63075 seconds | setting weights to the blockchain
time: 0.1747 seconds | saving aggregated model to storage (round=1)
time: 46.4233 seconds | setting aggregated model to the blockchain round=1
time: 145.2861 seconds | Round=2
time: 98.8222 seconds | Aggregating round=2
time: 0.1714 seconds | saving aggregated model to storage (round=2)
time: 46.375899999999994 seconds | setting aggregated model to the blockchain round=2
time: 145.8256 seconds | Round=3
time: 99.07350000000001 seconds | Aggregating round=3
time: 0.1812 seconds | saving aggregated model to storage (round=3)
time: 46.418800000000005 seconds | setting aggregated model to the blockchain round=3
time: 145.81310000000002 seconds | Round=4
time: 98.95250000000001 seconds | Aggregating round=4
time: 0.17770000000000002 seconds | saving aggregated model to storage (round=4)
time: 46.78670000000001 seconds | setting aggregated model to the blockchain round=4
time: 145.29620000000003 seconds | Round=5
time: 98.51520000000001 seconds | Aggregating round=5
time: 0.1724 seconds | saving aggregated model to storage (round=5)
time: 46.505 seconds | setting aggregated model to the blockchain round=5
time: 144.7916 seconds | Round=6
time: 98.2936 seconds | Aggregating round=6
time: 0.1791 seconds | saving aggregated model to storage (round=6)
time: 46.473800000000004 seconds | setting aggregated model to the blockchain round=6
time: 145.3214 seconds | Round=7
time: 99.1989 seconds | Aggregating round=7
time: 0.17629999999999998 seconds | saving aggregated model to storage (round=7)
time: 46.810500000000005 seconds | setting aggregated model to the blockchain round=7
time: 145.80769999999998 seconds | Round=8
time: 99.9032 seconds | Aggregating round=8
time: 0.17120000000000002 seconds | saving aggregated model to storage (round=8)
time: 46.8012 seconds | setting aggregated model to the blockchain round=8
time: 145.3064 seconds | Round=9
time: 99.01809999999999 seconds | Aggregating round=9
time: 0.17709999999999998 seconds | saving aggregated model to storage (round=9)
time: 46.4473 seconds | setting aggregated model to the blockchain round=9
time: 145.2717 seconds | Round=10
time: 98.7414 seconds | Aggregating round=10
time: 0.16829999999999998 seconds | saving aggregated model to storage (round=10)
time: 46.428399999999996 seconds | setting aggregated model to the blockchain round=10
time: 1454.8524630625 seconds | FL

Config: INCENTIVES_ON=False, BCFL=True, IPFS_ON=True, NUM_CLIENTS=25, NUM_ROUNDS=1,
time: 534.7332 seconds | Experiment
time: 530.0412 seconds | Round=1
time: 124.26289999999999 seconds | deploying contract
time: 74.22139999999999 seconds | Training client=14
time: 69.0806 seconds | Training client=18
time: 65.90450000000001 seconds | Training client=0
time: 65.6927 seconds | Training client=7
time: 70.2002 seconds | Training client=11
time: 68.011 seconds | Training client=23
time: 71.8673 seconds | Training client=17
time: 72.2771 seconds | Training client=12
time: 74.68169999999999 seconds | Training client=16
time: 69.77720000000001 seconds | Training client=24
time: 65.5986 seconds | Training client=19
time: 64.9754 seconds | Training client=4
time: 72.8022 seconds | Training client=3
time: 71.43429999999998 seconds | Training client=22
time: 68.3427 seconds | Training client=13
time: 66.7336 seconds | Training client=5
time: 69.3237 seconds | Training client=2
time: 68.2515 seconds | Training client=10
time: 66.42339999999999 seconds | Training client=20
time: 70.17800000000001 seconds | Training client=15
time: 66.33510000000001 seconds | Training client=6
time: 70.5104 seconds | Training client=1
time: 70.2824 seconds | Training client=9
time: 68.4376 seconds | Training client=21
time: 69.9725 seconds | Training client=8
time: 257.27250000000004 seconds | Aggregating round=1
time: 123.4518 seconds | setting weights to the blockchain
time: 0.27640000000000003 seconds | saving aggregated model to storage (round=1)
time: 123.2064 seconds | setting aggregated model to the blockchain round=1
time: 395.3837388627 seconds | FL

Config: INCENTIVES_ON=False, BCFL=True, IPFS_ON=True, NUM_CLIENTS=25, NUM_ROUNDS=5,
time: 2054.9908 seconds | Experiment
time: 518.1090999999999 seconds | Round=1
time: 123.50030000000001 seconds | deploying contract
time: 68.0728 seconds | Training client=14
time: 67.16646 seconds | Training client=17
time: 64.94634 seconds | Training client=13
time: 65.18373999999999 seconds | Training client=3
time: 64.6229 seconds | Training client=23
time: 64.0665 seconds | Training client=6
time: 63.99655999999999 seconds | Training client=21
time: 64.6023 seconds | Training client=4
time: 66.37016 seconds | Training client=9
time: 66.64408 seconds | Training client=22
time: 65.11135999999999 seconds | Training client=15
time: 63.310279999999985 seconds | Training client=20
time: 63.9394 seconds | Training client=19
time: 67.61612 seconds | Training client=24
time: 63.46816 seconds | Training client=2
time: 67.55906 seconds | Training client=0
time: 66.06556 seconds | Training client=5
time: 65.96755999999999 seconds | Training client=1
time: 64.38083999999999 seconds | Training client=16
time: 63.79146 seconds | Training client=18
time: 66.64398 seconds | Training client=10
time: 65.70914 seconds | Training client=7
time: 66.70102 seconds | Training client=8
time: 65.30922 seconds | Training client=11
time: 64.44814000000001 seconds | Training client=12
time: 254.8109 seconds | Aggregating round=1
time: 123.26350000000001 seconds | setting weights to the blockchain
time: 0.21679999999999996 seconds | saving aggregated model to storage (round=1)
time: 122.04669999999999 seconds | setting aggregated model to the blockchain round=1
time: 381.5462 seconds | Round=2
time: 254.19520000000003 seconds | Aggregating round=2
time: 0.2313 seconds | saving aggregated model to storage (round=2)
time: 121.10420000000002 seconds | setting aggregated model to the blockchain round=2
time: 384.60960000000006 seconds | Round=3
time: 255.5525 seconds | Aggregating round=3
time: 0.2192 seconds | saving aggregated model to storage (round=3)
time: 122.06400000000001 seconds | setting aggregated model to the blockchain round=3
time: 383.57710000000003 seconds | Round=4
time: 254.0281 seconds | Aggregating round=4
time: 0.22649999999999998 seconds | saving aggregated model to storage (round=4)
time: 122.04990000000001 seconds | setting aggregated model to the blockchain round=4
time: 382.5819 seconds | Round=5
time: 252.94819999999999 seconds | Aggregating round=5
time: 0.21260000000000004 seconds | saving aggregated model to storage (round=5)
time: 120.9632 seconds | setting aggregated model to the blockchain round=5
time: 1916.0923429999998 seconds | FL

Config: INCENTIVES_ON=False, BCFL=True, IPFS_ON=True, NUM_CLIENTS=25, NUM_ROUNDS=10,
time: 11237.677 seconds | Experiment
time: 521.467 seconds | Round=1
time: 124.4461 seconds | deploying contract
time: 68.08617 seconds | Training client=21
time: 66.76575 seconds | Training client=16
time: 66.57496 seconds | Training client=24
time: 64.93689 seconds | Training client=14
time: 66.21548 seconds | Training client=15
time: 66.525 seconds | Training client=19
time: 65.18718000000001 seconds | Training client=10
time: 66.66814 seconds | Training client=22
time: 65.32321999999998 seconds | Training client=7
time: 63.99844 seconds | Training client=6
time: 65.56925 seconds | Training client=17
time: 66.6877 seconds | Training client=2
time: 68.23590999999999 seconds | Training client=3
time: 66.69044 seconds | Training client=13
time: 65.98468999999999 seconds | Training client=0
time: 68.12383999999999 seconds | Training client=8
time: 65.35467 seconds | Training client=18
time: 65.22754 seconds | Training client=20
time: 65.29275 seconds | Training client=12
time: 69.05472 seconds | Training client=4
time: 66.26777999999999 seconds | Training client=1
