Config: INCENTIVES_ON=False, BCFL=False, IPFS_ON=False, NUM_CLIENTS=2, NUM_ROUNDS=1,
time: 534.1209000000001 seconds | Experiment
time: 61.6706 seconds | Round=1
time: 43.77833 seconds | Training client=1
time: 41.95761 seconds | Training client=4
time: 42.74817000000001 seconds | Training client=8
time: 43.609170000000006 seconds | Training client=5
time: 43.873760000000004 seconds | Training client=6
time: 43.19717 seconds | Training client=9
time: 44.672339999999984 seconds | Training client=3
time: 42.13589000000001 seconds | Training client=2
time: 42.55038 seconds | Training client=7
time: 43.06165000000001 seconds | Training client=0
time: 3.5214 seconds | Aggregating round=1
time: 51.4778 seconds | Round=2
time: 3.4934 seconds | Aggregating round=2
time: 51.8125 seconds | Round=3
time: 3.5414000000000003 seconds | Aggregating round=3
time: 51.7063 seconds | Round=4
time: 3.5573 seconds | Aggregating round=4
time: 51.6711 seconds | Round=5
time: 3.557 seconds | Aggregating round=5
time: 52.252599999999994 seconds | Round=6
time: 3.6578000000000004 seconds | Aggregating round=6
time: 52.2898 seconds | Round=7
time: 3.7011000000000003 seconds | Aggregating round=7
time: 52.69 seconds | Round=8
time: 3.6497 seconds | Aggregating round=8
time: 52.82529999999999 seconds | Round=9
time: 3.6699000000000006 seconds | Aggregating round=9
time: 53.222500000000004 seconds | Round=10
time: 3.6571 seconds | Aggregating round=10
time: 523.1818089709002 seconds | FL

Config: INCENTIVES_ON=False, BCFL=False, IPFS_ON=False, NUM_CLIENTS=25, NUM_ROUNDS=1,
time: 154.5102 seconds | Experiment
time: 151.1426 seconds | Round=1
time: 68.12950000000001 seconds | Training client=12
time: 63.8215 seconds | Training client=5
time: 66.3837 seconds | Training client=4
time: 62.8091 seconds | Training client=10
time: 60.979 seconds | Training client=19
time: 66.82419999999999 seconds | Training client=2
time: 68.4072 seconds | Training client=24
time: 70.3029 seconds | Training client=1
time: 68.61959999999999 seconds | Training client=9
time: 67.8036 seconds | Training client=13
time: 65.42580000000001 seconds | Training client=15
time: 69.8044 seconds | Training client=14
time: 61.42139999999999 seconds | Training client=17
time: 58.20949999999999 seconds | Training client=0
time: 69.21760000000002 seconds | Training client=22
time: 63.51189999999999 seconds | Training client=3
time: 71.9999 seconds | Training client=18
time: 63.704600000000006 seconds | Training client=23
time: 65.4837 seconds | Training client=11
time: 64.6087 seconds | Training client=7
time: 63.351200000000006 seconds | Training client=21
time: 69.20900000000002 seconds | Training client=8
time: 61.051300000000005 seconds | Training client=16
time: 71.2817 seconds | Training client=6
time: 62.913599999999995 seconds | Training client=20
time: 8.7364 seconds | Aggregating round=1
time: 141.89677931249997 seconds | FL

Config: INCENTIVES_ON=False, BCFL=False, IPFS_ON=False, NUM_CLIENTS=25, NUM_ROUNDS=5,
time: 716.9558999999999 seconds | Experiment
time: 155.6462 seconds | Round=1
time: 61.82622000000001 seconds | Training client=1
time: 69.16174 seconds | Training client=6
time: 56.44392 seconds | Training client=0
time: 71.45631999999999 seconds | Training client=8
time: 70.85318 seconds | Training client=15
time: 66.12108 seconds | Training client=10
time: 75.45877999999999 seconds | Training client=16
time: 59.48874 seconds | Training client=24
time: 68.76982000000001 seconds | Training client=11
time: 50.76912 seconds | Training client=18
time: 56.40878 seconds | Training client=14
time: 64.79916 seconds | Training client=22
time: 56.402080000000005 seconds | Training client=7
time: 52.82054 seconds | Training client=12
time: 65.8602 seconds | Training client=23
time: 76.11562 seconds | Training client=19
time: 74.50525999999999 seconds | Training client=3
time: 69.78036 seconds | Training client=13
time: 50.34170000000001 seconds | Training client=9
time: 73.38691999999999 seconds | Training client=21
time: 58.93432 seconds | Training client=5
time: 66.5108 seconds | Training client=20
time: 66.61266 seconds | Training client=17
time: 58.97096 seconds | Training client=2
time: 59.33656 seconds | Training client=4
time: 9.0051 seconds | Aggregating round=1
time: 140.60959999999997 seconds | Round=2
time: 9.1185 seconds | Aggregating round=2
time: 140.4906 seconds | Round=3
time: 9.248000000000001 seconds | Aggregating round=3
time: 139.8796 seconds | Round=4
time: 9.3812 seconds | Aggregating round=4
time: 136.7384 seconds | Round=5
time: 9.1346 seconds | Aggregating round=5
time: 701.0607363416999 seconds | FL

Config: INCENTIVES_ON=False, BCFL=False, IPFS_ON=False, NUM_CLIENTS=25, NUM_ROUNDS=10,
time: 1364.5028 seconds | Experiment
time: 158.9775 seconds | Round=1
time: 64.9866 seconds | Training client=14
time: 58.82181 seconds | Training client=21
time: 57.803230000000006 seconds | Training client=12
time: 68.24233 seconds | Training client=10
time: 69.69587 seconds | Training client=24
time: 58.03901 seconds | Training client=13
time: 55.78474 seconds | Training client=15
time: 67.67505999999999 seconds | Training client=18
time: 51.73281999999999 seconds | Training client=8
time: 57.77124 seconds | Training client=3
time: 60.74116 seconds | Training client=5
time: 58.14263 seconds | Training client=1
time: 57.59268 seconds | Training client=2
time: 57.354479999999995 seconds | Training client=22
time: 62.62133999999999 seconds | Training client=6
time: 52.963330000000006 seconds | Training client=9
time: 57.02808999999999 seconds | Training client=11
time: 63.468680000000006 seconds | Training client=7
time: 66.56248 seconds | Training client=19
time: 61.47218 seconds | Training client=16
time: 64.38182 seconds | Training client=4
time: 59.411880000000004 seconds | Training client=0
time: 68.78233999999999 seconds | Training client=20
