FL-experiment | INFO flwr 2024-04-25 18:40:38,539 | main.py:43 | Config: INCENTIVES_ON=False, BCFL=True, IPFS_ON=True, NUM_CLIENTS=5, NUM_ROUNDS=10,
FL-experiment | INFO flwr 2024-04-25 18:40:38,539 | main.py:44 | Start Experiment
FL-experiment | DEBUG flwr 2024-04-25 18:40:40,720 | server.py:147 | File: storage/init_model_e3bc0669-f2f0-4353-a8bf-d5a7d4995294.pkl IPFS file hash: QmYeuaQAwbqvFBB2KxPTsit7oaA6V4hHt3rsJpQSoADuCk
FL-experiment | INFO flwr 2024-04-25 18:40:40,726 | server.py:38 | Start Round=1
FL-experiment | INFO flwr 2024-04-25 18:40:40,726 | server.py:57 | Start deploying contract
FL-experiment | INFO flwr 2024-04-25 18:41:03,885 | server.py:61 | Done deploying contract
FL-experiment | INFO flwr 2024-04-25 18:41:03,886 | app.py:163 | Starting Flower server, config: ServerConfig(num_rounds=10, round_timeout=None)
FL-experiment | INFO flwr 2024-04-25 18:41:03,903 | app.py:176 | Flower ECE: gRPC server running (10 rounds), SSL is disabled
FL-experiment | INFO flwr 2024-04-25 18:41:03,904 | server.py:89 | Initializing global parameters
FL-experiment | INFO flwr 2024-04-25 18:41:03,904 | server.py:276 | Requesting initial parameters from one random client
FL-experiment | INFO flwr 2024-04-25 18:41:10,096 | grpc.py:52 | Opened insecure gRPC connection (no certificates were passed)
FL-experiment | DEBUG flwr 2024-04-25 18:41:10,097 | connection.py:42 | ChannelConnectivity.IDLE
FL-experiment | DEBUG flwr 2024-04-25 18:41:10,097 | connection.py:42 | ChannelConnectivity.CONNECTING
FL-experiment | DEBUG flwr 2024-04-25 18:41:10,098 | connection.py:42 | ChannelConnectivity.READY
FL-experiment | INFO flwr 2024-04-25 18:41:10,106 | server.py:280 | Received initial parameters from one random client
FL-experiment | INFO flwr 2024-04-25 18:41:10,106 | server.py:91 | Evaluating initial parameters
FL-experiment | INFO flwr 2024-04-25 18:41:10,106 | server.py:104 | FL starting
FL-experiment | INFO flwr 2024-04-25 18:41:10,248 | grpc.py:52 | Opened insecure gRPC connection (no certificates were passed)
FL-experiment | DEBUG flwr 2024-04-25 18:41:10,256 | connection.py:42 | ChannelConnectivity.IDLE
