FL-experiment | INFO flwr 2024-04-25 15:20:09,672 | main.py:43 | Config: INCENTIVES_ON=False, BCFL=True, IPFS_ON=True, NUM_CLIENTS=2, NUM_ROUNDS=5,
FL-experiment | INFO flwr 2024-04-25 15:20:09,672 | main.py:44 | Start Experiment
FL-experiment | DEBUG flwr 2024-04-25 15:20:11,262 | server.py:147 | File: storage/init_model_e570c6aa-c919-4824-908d-741f3a47df62.pkl IPFS file hash: QmbSfY1B3c9UrujXCVF5i8VyJNE98oJ1X1Rw3wk3mEGfSZ
FL-experiment | INFO flwr 2024-04-25 15:20:11,268 | server.py:38 | Start Round=1
FL-experiment | INFO flwr 2024-04-25 15:20:11,268 | server.py:57 | Start deploying contract
FL-experiment | INFO flwr 2024-04-25 15:20:16,607 | server.py:61 | Done deploying contract
FL-experiment | INFO flwr 2024-04-25 15:20:16,608 | app.py:163 | Starting Flower server, config: ServerConfig(num_rounds=5, round_timeout=None)
FL-experiment | INFO flwr 2024-04-25 15:20:16,635 | app.py:176 | Flower ECE: gRPC server running (5 rounds), SSL is disabled
FL-experiment | INFO flwr 2024-04-25 15:20:16,636 | server.py:89 | Initializing global parameters
FL-experiment | INFO flwr 2024-04-25 15:20:16,636 | server.py:276 | Requesting initial parameters from one random client
FL-experiment | INFO flwr 2024-04-25 15:20:25,482 | grpc.py:52 | Opened insecure gRPC connection (no certificates were passed)
FL-experiment | DEBUG flwr 2024-04-25 15:20:25,489 | connection.py:42 | ChannelConnectivity.IDLE
FL-experiment | DEBUG flwr 2024-04-25 15:20:25,490 | connection.py:42 | ChannelConnectivity.CONNECTING
FL-experiment | DEBUG flwr 2024-04-25 15:20:25,490 | connection.py:42 | ChannelConnectivity.READY
FL-experiment | INFO flwr 2024-04-25 15:20:25,493 | server.py:280 | Received initial parameters from one random client
FL-experiment | INFO flwr 2024-04-25 15:20:25,494 | server.py:91 | Evaluating initial parameters
FL-experiment | INFO flwr 2024-04-25 15:20:25,494 | server.py:104 | FL starting
FL-experiment | INFO flwr 2024-04-25 15:20:25,811 | grpc.py:52 | Opened insecure gRPC connection (no certificates were passed)
FL-experiment | DEBUG flwr 2024-04-25 15:20:25,813 | connection.py:42 | ChannelConnectivity.IDLE
FL-experiment | DEBUG flwr 2024-04-25 15:20:25,813 | connection.py:42 | ChannelConnectivity.READY
FL-experiment | DEBUG flwr 2024-04-25 15:20:25,813 | server.py:222 | fit_round 1: strategy sampled 2 clients (out of 2)
FL-experiment | INFO flwr 2024-04-25 15:20:25,816 | client.py:128 | Start Training client=0
FL-experiment | INFO flwr 2024-04-25 15:20:25,821 | client.py:128 | Start Training client=1
FL-experiment | INFO flwr 2024-04-25 15:20:44,063 | client.py:149 | Done Training client=0
FL-experiment | INFO flwr 2024-04-25 15:20:44,315 | client.py:149 | Done Training client=1
FL-experiment | DEBUG flwr 2024-04-25 15:20:44,317 | server.py:236 | fit_round 1 received 2 results and 0 failures
FL-experiment | INFO flwr 2024-04-25 15:20:44,317 | server.py:65 | Start Aggregating round=1
FL-experiment | INFO flwr 2024-04-25 15:20:44,317 | server.py:68 | Start setting weights to the blockchain
FL-experiment | DEBUG flwr 2024-04-25 15:20:44,391 | server.py:76 | File: storage/init_model_e570c6aa-c919-4824-908d-741f3a47df62.pkl IPFS file hash: QmcfmKLPLnZfxodzUVpwerhVYAVoBNZqP8qibSjdEfS8ZK
FL-experiment | DEBUG flwr 2024-04-25 15:20:46,646 | server.py:76 | File: storage/init_model_e570c6aa-c919-4824-908d-741f3a47df62.pkl IPFS file hash: QmPwW8inyZciG5a8DZarEX1U35PeuowthDMookbMCcpZWy
FL-experiment | INFO flwr 2024-04-25 15:20:51,640 | server.py:79 | Done setting weights to the blockchain
FL-experiment | WARNING flwr 2024-04-25 15:20:51,646 | fedavg.py:242 | No fit_metrics_aggregation_fn provided
FL-experiment | INFO flwr 2024-04-25 15:20:51,646 | server.py:86 | Start saving aggregated model to storage (round=1)
FL-experiment | DEBUG flwr 2024-04-25 15:20:51,729 | server.py:95 | File: storage/aggregated_model_21293485-669d-4f9e-98e9-8771a25ea8a7.pkl IPFS file hash: QmfDDTgFtapd1vQmNuoCGnPynAqQgt7VqMt4Mq4NuTtnnc
FL-experiment | INFO flwr 2024-04-25 15:20:51,729 | server.py:98 | Done saving aggregated model to storage (round=1)
FL-experiment | DEBUG flwr 2024-04-25 15:20:51,730 | server.py:173 | evaluate_round 1: strategy sampled 2 clients (out of 2)
FL-experiment | DEBUG flwr 2024-04-25 15:20:53,724 | server.py:187 | evaluate_round 1 received 2 results and 0 failures
FL-experiment | INFO flwr 2024-04-25 15:20:53,724 | server.py:105 | Start evaluating fit round=1
FL-experiment | INFO flwr 2024-04-25 15:20:53,724 | server.py:107 | Done Evaluating fit round=1
FL-experiment | DEBUG flwr 2024-04-25 15:20:53,724 | server.py:108 | Round: 1, Aggregated accuracy: {'accuracy': 0.2024}, Aggregated loss: 698.7750854492188, IPFS hash: QmfDDTgFtapd1vQmNuoCGnPynAqQgt7VqMt4Mq4NuTtnnc
FL-experiment | INFO flwr 2024-04-25 15:20:53,724 | server.py:126 | Start setting aggregated model to the blockchain round=1
FL-experiment | INFO flwr 2024-04-25 15:21:01,657 | server.py:129 | Done setting aggregated model to the blockchain round=1
FL-experiment | INFO flwr 2024-04-25 15:21:01,657 | server.py:131 | Done Aggregating round=1
FL-experiment | INFO flwr 2024-04-25 15:21:01,657 | server.py:132 | Done Round=1
FL-experiment | INFO flwr 2024-04-25 15:21:01,657 | server.py:134 | Start Round=2
FL-experiment | DEBUG flwr 2024-04-25 15:21:01,657 | server.py:222 | fit_round 2: strategy sampled 2 clients (out of 2)
FL-experiment | INFO flwr 2024-04-25 15:21:01,663 | client.py:128 | Start Training client=0
FL-experiment | INFO flwr 2024-04-25 15:21:01,663 | client.py:128 | Start Training client=1
FL-experiment | INFO flwr 2024-04-25 15:21:20,175 | client.py:149 | Done Training client=0
FL-experiment | INFO flwr 2024-04-25 15:21:20,359 | client.py:149 | Done Training client=1
FL-experiment | DEBUG flwr 2024-04-25 15:21:20,360 | server.py:236 | fit_round 2 received 2 results and 0 failures
FL-experiment | INFO flwr 2024-04-25 15:21:20,360 | server.py:65 | Start Aggregating round=2
FL-experiment | INFO flwr 2024-04-25 15:21:20,360 | server.py:68 | Start setting weights to the blockchain
FL-experiment | DEBUG flwr 2024-04-25 15:21:20,435 | server.py:76 | File: storage/init_model_e570c6aa-c919-4824-908d-741f3a47df62.pkl IPFS file hash: QmTk7nWVPfHs1BXyVFBL3rWMnmNMePsMjBpvwxvLSW7zo7
FL-experiment | DEBUG flwr 2024-04-25 15:21:21,742 | server.py:76 | File: storage/init_model_e570c6aa-c919-4824-908d-741f3a47df62.pkl IPFS file hash: Qmb5iCEnA6nMZ8rw1oNTFMnecLPCdd5e3Wzsix2D2CYVgo
FL-experiment | INFO flwr 2024-04-25 15:21:26,614 | server.py:79 | Done setting weights to the blockchain
FL-experiment | INFO flwr 2024-04-25 15:21:26,616 | server.py:86 | Start saving aggregated model to storage (round=2)
FL-experiment | DEBUG flwr 2024-04-25 15:21:26,673 | server.py:95 | File: storage/aggregated_model_eab15b90-c0a0-4d01-ae7b-014599d6212e.pkl IPFS file hash: QmUpYHS9zPGdHu8b4vkh2kZExHw9Aw3d2fn3rBfcMDVYhR
