FL-experiment | INFO flwr 2024-03-12 01:07:22,166 | grpc.py:52 | Opened insecure gRPC connection (no certificates were passed)
FL-experiment | INFO flwr 2024-03-12 01:07:22,170 | grpc.py:52 | Opened insecure gRPC connection (no certificates were passed)
FL-experiment | INFO flwr 2024-03-12 01:07:22,171 | grpc.py:52 | Opened insecure gRPC connection (no certificates were passed)
FL-experiment | DEBUG flwr 2024-03-12 01:07:22,173 | connection.py:42 | ChannelConnectivity.IDLE
FL-experiment | DEBUG flwr 2024-03-12 01:07:22,175 | connection.py:42 | ChannelConnectivity.IDLE
FL-experiment | DEBUG flwr 2024-03-12 01:07:22,175 | connection.py:42 | ChannelConnectivity.CONNECTING
FL-experiment | DEBUG flwr 2024-03-12 01:07:22,176 | connection.py:42 | ChannelConnectivity.READY
FL-experiment | DEBUG flwr 2024-03-12 01:07:22,179 | connection.py:42 | ChannelConnectivity.IDLE
FL-experiment | DEBUG flwr 2024-03-12 01:07:22,180 | connection.py:42 | ChannelConnectivity.CONNECTING
FL-experiment | DEBUG flwr 2024-03-12 01:07:22,174 | connection.py:42 | ChannelConnectivity.READY
FL-experiment | DEBUG flwr 2024-03-12 01:07:22,181 | connection.py:42 | ChannelConnectivity.READY
FL-experiment | INFO flwr 2024-03-12 01:07:22,181 | grpc.py:52 | Opened insecure gRPC connection (no certificates were passed)
FL-experiment | DEBUG flwr 2024-03-12 01:07:22,189 | connection.py:42 | ChannelConnectivity.IDLE
FL-experiment | DEBUG flwr 2024-03-12 01:07:22,190 | connection.py:42 | ChannelConnectivity.READY
FL-experiment | INFO flwr 2024-03-12 01:07:22,193 | grpc.py:52 | Opened insecure gRPC connection (no certificates were passed)
FL-experiment | INFO flwr 2024-03-12 01:07:22,212 | grpc.py:52 | Opened insecure gRPC connection (no certificates were passed)
FL-experiment | INFO flwr 2024-03-12 01:07:22,219 | grpc.py:52 | Opened insecure gRPC connection (no certificates were passed)
FL-experiment | DEBUG flwr 2024-03-12 01:07:22,223 | connection.py:42 | ChannelConnectivity.IDLE
FL-experiment | DEBUG flwr 2024-03-12 01:07:22,224 | connection.py:42 | ChannelConnectivity.CONNECTING
FL-experiment | DEBUG flwr 2024-03-12 01:07:22,225 | connection.py:42 | ChannelConnectivity.READY
FL-experiment | DEBUG flwr 2024-03-12 01:07:22,248 | connection.py:42 | ChannelConnectivity.IDLE
FL-experiment | DEBUG flwr 2024-03-12 01:07:22,249 | connection.py:42 | ChannelConnectivity.IDLE
FL-experiment | DEBUG flwr 2024-03-12 01:07:22,250 | connection.py:42 | ChannelConnectivity.CONNECTING
FL-experiment | DEBUG flwr 2024-03-12 01:07:22,251 | connection.py:42 | ChannelConnectivity.READY
FL-experiment | INFO flwr 2024-03-12 01:07:22,258 | grpc.py:52 | Opened insecure gRPC connection (no certificates were passed)
FL-experiment | DEBUG flwr 2024-03-12 01:07:22,259 | connection.py:42 | ChannelConnectivity.IDLE
FL-experiment | DEBUG flwr 2024-03-12 01:07:22,260 | connection.py:42 | ChannelConnectivity.CONNECTING
FL-experiment | DEBUG flwr 2024-03-12 01:07:22,261 | connection.py:42 | ChannelConnectivity.READY
FL-experiment | DEBUG flwr 2024-03-12 01:07:22,272 | connection.py:42 | ChannelConnectivity.CONNECTING
FL-experiment | DEBUG flwr 2024-03-12 01:07:22,273 | connection.py:42 | ChannelConnectivity.READY
FL-experiment | INFO flwr 2024-03-12 01:07:22,278 | grpc.py:52 | Opened insecure gRPC connection (no certificates were passed)
FL-experiment | DEBUG flwr 2024-03-12 01:07:22,280 | connection.py:42 | ChannelConnectivity.IDLE
FL-experiment | DEBUG flwr 2024-03-12 01:07:22,282 | connection.py:42 | ChannelConnectivity.CONNECTING
FL-experiment | DEBUG flwr 2024-03-12 01:07:22,283 | connection.py:42 | ChannelConnectivity.READY
FL-experiment | INFO flwr 2024-03-12 01:07:22,301 | grpc.py:52 | Opened insecure gRPC connection (no certificates were passed)
FL-experiment | INFO flwr 2024-03-12 01:07:22,301 | grpc.py:52 | Opened insecure gRPC connection (no certificates were passed)
FL-experiment | DEBUG flwr 2024-03-12 01:07:22,304 | connection.py:42 | ChannelConnectivity.IDLE
FL-experiment | INFO flwr 2024-03-12 01:07:22,308 | grpc.py:52 | Opened insecure gRPC connection (no certificates were passed)
FL-experiment | DEBUG flwr 2024-03-12 01:07:22,310 | connection.py:42 | ChannelConnectivity.IDLE
FL-experiment | DEBUG flwr 2024-03-12 01:07:22,312 | connection.py:42 | ChannelConnectivity.CONNECTING
FL-experiment | DEBUG flwr 2024-03-12 01:07:22,313 | connection.py:42 | ChannelConnectivity.READY
FL-experiment | DEBUG flwr 2024-03-12 01:07:22,313 | connection.py:42 | ChannelConnectivity.IDLE
FL-experiment | INFO flwr 2024-03-12 01:07:22,314 | grpc.py:52 | Opened insecure gRPC connection (no certificates were passed)
FL-experiment | DEBUG flwr 2024-03-12 01:07:22,321 | connection.py:42 | ChannelConnectivity.CONNECTING
FL-experiment | DEBUG flwr 2024-03-12 01:07:22,322 | connection.py:42 | ChannelConnectivity.READY
FL-experiment | DEBUG flwr 2024-03-12 01:07:22,325 | connection.py:42 | ChannelConnectivity.IDLE
FL-experiment | DEBUG flwr 2024-03-12 01:07:22,326 | connection.py:42 | ChannelConnectivity.READY
FL-experiment | DEBUG flwr 2024-03-12 01:07:22,331 | connection.py:42 | ChannelConnectivity.CONNECTING
FL-experiment | DEBUG flwr 2024-03-12 01:07:22,331 | connection.py:42 | ChannelConnectivity.READY
FL-experiment | INFO flwr 2024-03-12 01:07:22,365 | grpc.py:52 | Opened insecure gRPC connection (no certificates were passed)
FL-experiment | DEBUG flwr 2024-03-12 01:07:22,365 | connection.py:42 | ChannelConnectivity.IDLE
FL-experiment | DEBUG flwr 2024-03-12 01:07:22,366 | connection.py:42 | ChannelConnectivity.CONNECTING
FL-experiment | DEBUG flwr 2024-03-12 01:07:22,366 | server.py:222 | fit_round 1: strategy sampled 25 clients (out of 25)
FL-experiment | DEBUG flwr 2024-03-12 01:07:22,367 | connection.py:42 | ChannelConnectivity.READY
FL-experiment | INFO flwr 2024-03-12 01:07:22,369 | client.py:126 | Start Training client=3
FL-experiment | INFO flwr 2024-03-12 01:07:22,370 | client.py:126 | Start Training client=24
FL-experiment | INFO flwr 2024-03-12 01:07:22,370 | client.py:126 | Start Training client=16
FL-experiment | INFO flwr 2024-03-12 01:07:22,371 | client.py:126 | Start Training client=18
FL-experiment | INFO flwr 2024-03-12 01:07:22,371 | client.py:126 | Start Training client=10
FL-experiment | INFO flwr 2024-03-12 01:07:22,372 | client.py:126 | Start Training client=7
FL-experiment | INFO flwr 2024-03-12 01:07:22,373 | client.py:126 | Start Training client=13
FL-experiment | INFO flwr 2024-03-12 01:07:22,374 | client.py:126 | Start Training client=19
FL-experiment | INFO flwr 2024-03-12 01:07:22,376 | client.py:126 | Start Training client=11
FL-experiment | INFO flwr 2024-03-12 01:07:22,376 | client.py:126 | Start Training client=9
FL-experiment | INFO flwr 2024-03-12 01:07:22,373 | client.py:126 | Start Training client=17
FL-experiment | INFO flwr 2024-03-12 01:07:22,379 | client.py:126 | Start Training client=15
FL-experiment | INFO flwr 2024-03-12 01:07:22,379 | client.py:126 | Start Training client=5
FL-experiment | INFO flwr 2024-03-12 01:07:22,406 | client.py:126 | Start Training client=4
FL-experiment | INFO flwr 2024-03-12 01:08:39,676 | client.py:139 | Start sending updated weights to the perun node (client=9)
FL-experiment | INFO flwr 2024-03-12 01:08:39,676 | client.py:147 | Done Training client=9
FL-experiment | INFO flwr 2024-03-12 01:08:39,681 | client.py:126 | Start Training client=14
FL-experiment | INFO flwr 2024-03-12 01:08:40,063 | client.py:139 | Start sending updated weights to the perun node (client=3)
FL-experiment | INFO flwr 2024-03-12 01:08:40,063 | client.py:147 | Done Training client=3
FL-experiment | INFO flwr 2024-03-12 01:08:40,068 | client.py:126 | Start Training client=12
FL-experiment | INFO flwr 2024-03-12 01:08:40,245 | client.py:139 | Start sending updated weights to the perun node (client=24)
FL-experiment | INFO flwr 2024-03-12 01:08:40,245 | client.py:147 | Done Training client=24
FL-experiment | INFO flwr 2024-03-12 01:08:40,249 | client.py:126 | Start Training client=20
FL-experiment | INFO flwr 2024-03-12 01:08:40,250 | client.py:139 | Start sending updated weights to the perun node (client=10)
FL-experiment | INFO flwr 2024-03-12 01:08:40,250 | client.py:147 | Done Training client=10
FL-experiment | INFO flwr 2024-03-12 01:08:40,254 | client.py:126 | Start Training client=22
FL-experiment | INFO flwr 2024-03-12 01:08:40,356 | client.py:139 | Start sending updated weights to the perun node (client=15)
FL-experiment | INFO flwr 2024-03-12 01:08:40,356 | client.py:147 | Done Training client=15
FL-experiment | INFO flwr 2024-03-12 01:08:40,361 | client.py:126 | Start Training client=8
FL-experiment | INFO flwr 2024-03-12 01:08:40,531 | client.py:139 | Start sending updated weights to the perun node (client=13)
FL-experiment | INFO flwr 2024-03-12 01:08:40,531 | client.py:147 | Done Training client=13
FL-experiment | INFO flwr 2024-03-12 01:08:40,535 | client.py:126 | Start Training client=23
FL-experiment | INFO flwr 2024-03-12 01:08:40,652 | client.py:139 | Start sending updated weights to the perun node (client=17)
FL-experiment | INFO flwr 2024-03-12 01:08:40,652 | client.py:147 | Done Training client=17
FL-experiment | INFO flwr 2024-03-12 01:08:40,656 | client.py:126 | Start Training client=2
FL-experiment | INFO flwr 2024-03-12 01:08:40,908 | client.py:139 | Start sending updated weights to the perun node (client=16)
FL-experiment | INFO flwr 2024-03-12 01:08:40,909 | client.py:147 | Done Training client=16
FL-experiment | INFO flwr 2024-03-12 01:08:40,913 | client.py:126 | Start Training client=0
FL-experiment | INFO flwr 2024-03-12 01:08:41,105 | client.py:139 | Start sending updated weights to the perun node (client=5)
FL-experiment | INFO flwr 2024-03-12 01:08:41,105 | client.py:147 | Done Training client=5
FL-experiment | INFO flwr 2024-03-12 01:08:41,109 | client.py:126 | Start Training client=21
FL-experiment | INFO flwr 2024-03-12 01:08:41,225 | client.py:139 | Start sending updated weights to the perun node (client=19)
