FL-experiment | INFO flwr 2024-04-28 22:32:17,968 | main.py:43 | Config: INCENTIVES_ON=False, BCFL=True, IPFS_ON=True, NUM_CLIENTS=25, NUM_ROUNDS=1,
FL-experiment | INFO flwr 2024-04-28 22:32:17,968 | main.py:44 | Start Experiment
FL-experiment | DEBUG flwr 2024-04-28 22:32:20,050 | server.py:147 | File: storage/init_model_ae67e5d7-4975-4bf2-9812-e1b4218e7d12.pkl IPFS file hash: QmWZLq38ebFgrbBLXh7YPceMeZ3KXAUppf3xy9rSrbdimX
FL-experiment | INFO flwr 2024-04-28 22:32:20,059 | server.py:38 | Start Round=1
FL-experiment | INFO flwr 2024-04-28 22:32:20,059 | server.py:57 | Start deploying contract
FL-experiment | INFO flwr 2024-04-28 22:34:20,800 | server.py:61 | Done deploying contract
FL-experiment | INFO flwr 2024-04-28 22:34:20,802 | app.py:163 | Starting Flower server, config: ServerConfig(num_rounds=1, round_timeout=None)
FL-experiment | INFO flwr 2024-04-28 22:34:20,843 | app.py:176 | Flower ECE: gRPC server running (1 rounds), SSL is disabled
FL-experiment | INFO flwr 2024-04-28 22:34:20,843 | server.py:89 | Initializing global parameters
FL-experiment | INFO flwr 2024-04-28 22:34:20,843 | server.py:276 | Requesting initial parameters from one random client
FL-experiment | INFO flwr 2024-04-28 22:34:34,937 | grpc.py:52 | Opened insecure gRPC connection (no certificates were passed)
FL-experiment | DEBUG flwr 2024-04-28 22:34:34,938 | connection.py:42 | ChannelConnectivity.IDLE
FL-experiment | DEBUG flwr 2024-04-28 22:34:34,940 | connection.py:42 | ChannelConnectivity.CONNECTING
FL-experiment | DEBUG flwr 2024-04-28 22:34:34,940 | connection.py:42 | ChannelConnectivity.READY
FL-experiment | INFO flwr 2024-04-28 22:34:34,957 | server.py:280 | Received initial parameters from one random client
FL-experiment | INFO flwr 2024-04-28 22:34:34,959 | server.py:91 | Evaluating initial parameters
FL-experiment | INFO flwr 2024-04-28 22:34:34,960 | server.py:104 | FL starting
FL-experiment | INFO flwr 2024-04-28 22:34:35,207 | grpc.py:52 | Opened insecure gRPC connection (no certificates were passed)
FL-experiment | DEBUG flwr 2024-04-28 22:34:35,208 | connection.py:42 | ChannelConnectivity.IDLE
FL-experiment | DEBUG flwr 2024-04-28 22:34:35,209 | connection.py:42 | ChannelConnectivity.READY
FL-experiment | INFO flwr 2024-04-28 22:34:35,355 | grpc.py:52 | Opened insecure gRPC connection (no certificates were passed)
FL-experiment | DEBUG flwr 2024-04-28 22:34:35,362 | connection.py:42 | ChannelConnectivity.IDLE
FL-experiment | DEBUG flwr 2024-04-28 22:34:35,363 | connection.py:42 | ChannelConnectivity.READY
