FL-experiment | INFO flwr 2024-04-25 21:40:48,090 | main.py:43 | Config: INCENTIVES_ON=False, BCFL=True, IPFS_ON=True, NUM_CLIENTS=10, NUM_ROUNDS=5,
FL-experiment | INFO flwr 2024-04-25 21:40:48,090 | main.py:44 | Start Experiment
FL-experiment | DEBUG flwr 2024-04-25 21:40:49,816 | server.py:147 | File: storage/init_model_790fa7ee-2b45-49ad-aa93-1d67b3804d56.pkl IPFS file hash: QmfHP8UbBfcRYc98jyReGedCizdvFg8bqZvHAU5SvXkg4Y
FL-experiment | INFO flwr 2024-04-25 21:40:49,822 | server.py:38 | Start Round=1
FL-experiment | INFO flwr 2024-04-25 21:40:49,822 | server.py:57 | Start deploying contract
FL-experiment | INFO flwr 2024-04-25 21:41:36,670 | server.py:61 | Done deploying contract
FL-experiment | INFO flwr 2024-04-25 21:41:36,672 | app.py:163 | Starting Flower server, config: ServerConfig(num_rounds=5, round_timeout=None)
FL-experiment | INFO flwr 2024-04-25 21:41:36,704 | app.py:176 | Flower ECE: gRPC server running (5 rounds), SSL is disabled
FL-experiment | INFO flwr 2024-04-25 21:41:36,704 | server.py:89 | Initializing global parameters
FL-experiment | INFO flwr 2024-04-25 21:41:36,704 | server.py:276 | Requesting initial parameters from one random client
FL-experiment | INFO flwr 2024-04-25 21:41:49,451 | grpc.py:52 | Opened insecure gRPC connection (no certificates were passed)
FL-experiment | DEBUG flwr 2024-04-25 21:41:49,453 | connection.py:42 | ChannelConnectivity.IDLE
FL-experiment | DEBUG flwr 2024-04-25 21:41:49,455 | connection.py:42 | ChannelConnectivity.CONNECTING
FL-experiment | DEBUG flwr 2024-04-25 21:41:49,461 | connection.py:42 | ChannelConnectivity.READY
FL-experiment | INFO flwr 2024-04-25 21:41:49,464 | server.py:280 | Received initial parameters from one random client
FL-experiment | INFO flwr 2024-04-25 21:41:49,465 | server.py:91 | Evaluating initial parameters
FL-experiment | INFO flwr 2024-04-25 21:41:49,465 | server.py:104 | FL starting
FL-experiment | INFO flwr 2024-04-25 21:41:49,497 | grpc.py:52 | Opened insecure gRPC connection (no certificates were passed)
FL-experiment | DEBUG flwr 2024-04-25 21:41:49,499 | connection.py:42 | ChannelConnectivity.IDLE
FL-experiment | DEBUG flwr 2024-04-25 21:41:49,508 | connection.py:42 | ChannelConnectivity.CONNECTING
FL-experiment | DEBUG flwr 2024-04-25 21:41:49,509 | connection.py:42 | ChannelConnectivity.READY
FL-experiment | INFO flwr 2024-04-25 21:41:49,705 | grpc.py:52 | Opened insecure gRPC connection (no certificates were passed)
FL-experiment | DEBUG flwr 2024-04-25 21:41:49,712 | connection.py:42 | ChannelConnectivity.IDLE
