FL-experiment | INFO flwr 2024-04-28 10:21:36,321 | main.py:43 | Config: INCENTIVES_ON=False, BCFL=True, IPFS_ON=True, NUM_CLIENTS=25, NUM_ROUNDS=5,
FL-experiment | INFO flwr 2024-04-28 10:21:36,321 | main.py:44 | Start Experiment
FL-experiment | DEBUG flwr 2024-04-28 10:21:38,321 | server.py:147 | File: storage/init_model_9f69cb35-903a-4a14-8211-3d282b6fd9f8.pkl IPFS file hash: QmNfL4SgUmDEk5zmy9hmG8ZFkEd8UF9Ad8Cwwg5wmKsRhW
FL-experiment | INFO flwr 2024-04-28 10:21:38,333 | server.py:38 | Start Round=1
FL-experiment | INFO flwr 2024-04-28 10:21:38,333 | server.py:57 | Start deploying contract
FL-experiment | INFO flwr 2024-04-28 10:23:40,391 | server.py:61 | Done deploying contract
FL-experiment | INFO flwr 2024-04-28 10:23:40,392 | app.py:163 | Starting Flower server, config: ServerConfig(num_rounds=5, round_timeout=None)
FL-experiment | INFO flwr 2024-04-28 10:23:40,413 | app.py:176 | Flower ECE: gRPC server running (5 rounds), SSL is disabled
FL-experiment | INFO flwr 2024-04-28 10:23:40,414 | server.py:89 | Initializing global parameters
FL-experiment | INFO flwr 2024-04-28 10:23:40,414 | server.py:276 | Requesting initial parameters from one random client
FL-experiment | INFO flwr 2024-04-28 10:23:52,683 | grpc.py:52 | Opened insecure gRPC connection (no certificates were passed)
FL-experiment | DEBUG flwr 2024-04-28 10:23:52,734 | connection.py:42 | ChannelConnectivity.IDLE
FL-experiment | DEBUG flwr 2024-04-28 10:23:52,735 | connection.py:42 | ChannelConnectivity.CONNECTING
FL-experiment | DEBUG flwr 2024-04-28 10:23:52,735 | connection.py:42 | ChannelConnectivity.READY
FL-experiment | INFO flwr 2024-04-28 10:23:52,750 | server.py:280 | Received initial parameters from one random client
FL-experiment | INFO flwr 2024-04-28 10:23:52,751 | server.py:91 | Evaluating initial parameters
FL-experiment | INFO flwr 2024-04-28 10:23:52,751 | server.py:104 | FL starting
FL-experiment | INFO flwr 2024-04-28 10:23:52,805 | grpc.py:52 | Opened insecure gRPC connection (no certificates were passed)
FL-experiment | DEBUG flwr 2024-04-28 10:23:52,815 | connection.py:42 | ChannelConnectivity.IDLE
FL-experiment | DEBUG flwr 2024-04-28 10:23:52,817 | connection.py:42 | ChannelConnectivity.CONNECTING
FL-experiment | DEBUG flwr 2024-04-28 10:23:52,817 | connection.py:42 | ChannelConnectivity.READY
FL-experiment | INFO flwr 2024-04-28 10:23:52,866 | grpc.py:52 | Opened insecure gRPC connection (no certificates were passed)
FL-experiment | DEBUG flwr 2024-04-28 10:23:52,867 | connection.py:42 | ChannelConnectivity.IDLE
FL-experiment | DEBUG flwr 2024-04-28 10:23:52,873 | connection.py:42 | ChannelConnectivity.CONNECTING
