FL-experiment | INFO flwr 2024-03-11 21:37:10,405 | main.py:40 | Config: INCENTIVES_ON=False, BCFL=True, IPFS_ON=True, NUM_CLIENTS=2, NUM_ROUNDS=1,
FL-experiment | INFO flwr 2024-03-11 21:37:10,405 | main.py:41 | Start Experiment
FL-experiment | DEBUG flwr 2024-03-11 21:37:11,767 | server.py:149 | File: storage/init_model_e46f11c0-e5bd-4628-b7ff-b3909749ee5b.pkl IPFS file hash: QmdV5aBRWusZbNQT3r8BecnMKwdKuT9E1HS24AY5ZhJrGZ
FL-experiment | INFO flwr 2024-03-11 21:37:11,772 | server.py:42 | Start Round=1
FL-experiment | INFO flwr 2024-03-11 21:37:11,772 | server.py:62 | Start deploying contract
FL-experiment | INFO flwr 2024-03-11 21:37:19,041 | server.py:66 | Done deploying contract
FL-experiment | INFO flwr 2024-03-11 21:37:19,041 | app.py:163 | Starting Flower server, config: ServerConfig(num_rounds=1, round_timeout=None)
FL-experiment | INFO flwr 2024-03-11 21:37:19,067 | app.py:176 | Flower ECE: gRPC server running (1 rounds), SSL is disabled
FL-experiment | INFO flwr 2024-03-11 21:37:19,067 | server.py:89 | Initializing global parameters
FL-experiment | INFO flwr 2024-03-11 21:37:19,067 | server.py:276 | Requesting initial parameters from one random client
FL-experiment | INFO flwr 2024-03-11 21:37:25,853 | grpc.py:52 | Opened insecure gRPC connection (no certificates were passed)
FL-experiment | DEBUG flwr 2024-03-11 21:37:25,860 | connection.py:42 | ChannelConnectivity.IDLE
FL-experiment | DEBUG flwr 2024-03-11 21:37:25,861 | connection.py:42 | ChannelConnectivity.CONNECTING
FL-experiment | DEBUG flwr 2024-03-11 21:37:25,861 | connection.py:42 | ChannelConnectivity.READY
FL-experiment | INFO flwr 2024-03-11 21:37:25,865 | server.py:280 | Received initial parameters from one random client
FL-experiment | INFO flwr 2024-03-11 21:37:25,865 | server.py:91 | Evaluating initial parameters
FL-experiment | INFO flwr 2024-03-11 21:37:25,865 | server.py:104 | FL starting
FL-experiment | INFO flwr 2024-03-11 21:37:26,138 | grpc.py:52 | Opened insecure gRPC connection (no certificates were passed)
FL-experiment | DEBUG flwr 2024-03-11 21:37:26,146 | connection.py:42 | ChannelConnectivity.IDLE
FL-experiment | DEBUG flwr 2024-03-11 21:37:26,147 | connection.py:42 | ChannelConnectivity.CONNECTING
FL-experiment | DEBUG flwr 2024-03-11 21:37:26,147 | connection.py:42 | ChannelConnectivity.READY
FL-experiment | DEBUG flwr 2024-03-11 21:37:26,147 | server.py:222 | fit_round 1: strategy sampled 2 clients (out of 2)
FL-experiment | INFO flwr 2024-03-11 21:37:26,150 | client.py:126 | Start Training client=1
FL-experiment | INFO flwr 2024-03-11 21:37:26,150 | client.py:126 | Start Training client=0
FL-experiment | INFO flwr 2024-03-11 21:37:44,353 | client.py:139 | Start sending updated weights to the perun node (client=1)
FL-experiment | INFO flwr 2024-03-11 21:37:44,353 | client.py:147 | Done Training client=1
FL-experiment | INFO flwr 2024-03-11 21:37:44,365 | client.py:139 | Start sending updated weights to the perun node (client=0)
FL-experiment | INFO flwr 2024-03-11 21:37:44,365 | client.py:147 | Done Training client=0
FL-experiment | DEBUG flwr 2024-03-11 21:37:44,367 | server.py:236 | fit_round 1 received 2 results and 0 failures
FL-experiment | INFO flwr 2024-03-11 21:37:44,367 | server.py:70 | Start Aggregating round=1
FL-experiment | INFO flwr 2024-03-11 21:37:44,367 | server.py:73 | Start setting weights to the blockchain
FL-experiment | DEBUG flwr 2024-03-11 21:37:44,383 | server.py:80 | File: storage/init_model_e46f11c0-e5bd-4628-b7ff-b3909749ee5b.pkl IPFS file hash: QmdV5aBRWusZbNQT3r8BecnMKwdKuT9E1HS24AY5ZhJrGZ
FL-experiment | DEBUG flwr 2024-03-11 21:37:49,076 | server.py:80 | File: storage/init_model_e46f11c0-e5bd-4628-b7ff-b3909749ee5b.pkl IPFS file hash: QmdV5aBRWusZbNQT3r8BecnMKwdKuT9E1HS24AY5ZhJrGZ
FL-experiment | INFO flwr 2024-03-11 21:37:54,168 | server.py:83 | Done setting weights to the blockchain
FL-experiment | WARNING flwr 2024-03-11 21:37:54,174 | fedavg.py:242 | No fit_metrics_aggregation_fn provided
FL-experiment | INFO flwr 2024-03-11 21:37:54,174 | server.py:90 | Start saving aggregated model to storage (round=1)
FL-experiment | DEBUG flwr 2024-03-11 21:37:54,220 | server.py:99 | File: storage/aggregated_model_e2e99e74-8142-4067-93e1-4566fb1a98e8.pkl IPFS file hash: QmR2c5HbHVTxJDL3NTcWkTMyuKi3dxBnj6TaT3zvrf6W8z
FL-experiment | INFO flwr 2024-03-11 21:37:54,221 | server.py:102 | Done saving aggregated model to storage (round=1)
FL-experiment | DEBUG flwr 2024-03-11 21:37:54,221 | server.py:173 | evaluate_round 1: strategy sampled 2 clients (out of 2)
FL-experiment | DEBUG flwr 2024-03-11 21:37:55,961 | server.py:187 | evaluate_round 1 received 2 results and 0 failures
FL-experiment | INFO flwr 2024-03-11 21:37:55,961 | server.py:109 | Start evaluating fit round=1
FL-experiment | INFO flwr 2024-03-11 21:37:55,961 | server.py:111 | Done Evaluating fit round=1
FL-experiment | DEBUG flwr 2024-03-11 21:37:55,961 | server.py:112 | Round: 1, Aggregated accuracy: {'accuracy': 0.16805}, Aggregated loss: 706.511474609375, IPFS hash: QmR2c5HbHVTxJDL3NTcWkTMyuKi3dxBnj6TaT3zvrf6W8z
FL-experiment | INFO flwr 2024-03-11 21:37:55,961 | server.py:128 | Start setting aggregated model to the blockchain round=1
FL-experiment | INFO flwr 2024-03-11 21:38:04,104 | server.py:131 | Done setting aggregated model to the blockchain round=1
FL-experiment | INFO flwr 2024-03-11 21:38:04,104 | server.py:133 | Done Aggregating round=1
FL-experiment | INFO flwr 2024-03-11 21:38:04,104 | server.py:134 | Done Round=1
FL-experiment | INFO flwr 2024-03-11 21:38:04,105 | server.py:153 | FL finished in 38.239876167000006
FL-experiment | INFO flwr 2024-03-11 21:38:04,105 | app.py:226 | app_fit: losses_distributed [(1, 706.511474609375)]
FL-experiment | INFO flwr 2024-03-11 21:38:04,105 | app.py:227 | app_fit: metrics_distributed_fit {}
FL-experiment | INFO flwr 2024-03-11 21:38:04,105 | app.py:228 | app_fit: metrics_distributed {'accuracy': [(1, 0.16805)]}
FL-experiment | INFO flwr 2024-03-11 21:38:04,105 | app.py:229 | app_fit: losses_centralized []
FL-experiment | INFO flwr 2024-03-11 21:38:04,105 | app.py:230 | app_fit: metrics_centralized {}
FL-experiment | DEBUG flwr 2024-03-11 21:38:04,111 | connection.py:141 | gRPC channel closed
FL-experiment | DEBUG flwr 2024-03-11 21:38:04,111 | connection.py:141 | gRPC channel closed
FL-experiment | INFO flwr 2024-03-11 21:38:04,112 | app.py:304 | Disconnect and shut down
FL-experiment | INFO flwr 2024-03-11 21:38:04,112 | app.py:304 | Disconnect and shut down
FL-experiment | INFO flwr 2024-03-11 21:38:04,578 | main.py:61 | Done Experiment
