FL-experiment | INFO flwr 2024-04-27 13:24:36,497 | main.py:43 | Config: INCENTIVES_ON=False, BCFL=True, IPFS_ON=True, NUM_CLIENTS=50, NUM_ROUNDS=5,
FL-experiment | INFO flwr 2024-04-27 13:24:36,497 | main.py:44 | Start Experiment
FL-experiment | DEBUG flwr 2024-04-27 13:24:38,647 | server.py:147 | File: storage/init_model_551860e1-5388-4e4e-99f7-d9b3085f0754.pkl IPFS file hash: QmWnhuPWSLvDkfAPy3XgfNqL3tckEJwicmkFQXV28d3cLq
FL-experiment | INFO flwr 2024-04-27 13:24:38,661 | server.py:38 | Start Round=1
FL-experiment | INFO flwr 2024-04-27 13:24:38,661 | server.py:57 | Start deploying contract
FL-experiment | INFO flwr 2024-04-27 13:28:46,946 | server.py:61 | Done deploying contract
FL-experiment | INFO flwr 2024-04-27 13:28:46,947 | app.py:163 | Starting Flower server, config: ServerConfig(num_rounds=5, round_timeout=None)
FL-experiment | INFO flwr 2024-04-27 13:28:46,984 | app.py:176 | Flower ECE: gRPC server running (5 rounds), SSL is disabled
FL-experiment | INFO flwr 2024-04-27 13:28:46,984 | server.py:89 | Initializing global parameters
FL-experiment | INFO flwr 2024-04-27 13:28:46,984 | server.py:276 | Requesting initial parameters from one random client
FL-experiment | INFO flwr 2024-04-27 13:29:13,096 | grpc.py:52 | Opened insecure gRPC connection (no certificates were passed)
FL-experiment | DEBUG flwr 2024-04-27 13:29:13,214 | connection.py:42 | ChannelConnectivity.IDLE
FL-experiment | DEBUG flwr 2024-04-27 13:29:13,223 | connection.py:42 | ChannelConnectivity.CONNECTING
FL-experiment | DEBUG flwr 2024-04-27 13:29:13,245 | connection.py:42 | ChannelConnectivity.READY
FL-experiment | INFO flwr 2024-04-27 13:29:13,420 | server.py:280 | Received initial parameters from one random client
FL-experiment | INFO flwr 2024-04-27 13:29:13,429 | server.py:91 | Evaluating initial parameters
FL-experiment | INFO flwr 2024-04-27 13:29:13,433 | server.py:104 | FL starting
FL-experiment | INFO flwr 2024-04-27 13:29:14,120 | grpc.py:52 | Opened insecure gRPC connection (no certificates were passed)
FL-experiment | DEBUG flwr 2024-04-27 13:29:14,158 | connection.py:42 | ChannelConnectivity.IDLE
FL-experiment | DEBUG flwr 2024-04-27 13:29:14,339 | connection.py:42 | ChannelConnectivity.CONNECTING
FL-experiment | DEBUG flwr 2024-04-27 13:29:14,369 | connection.py:42 | ChannelConnectivity.READY
FL-experiment | INFO flwr 2024-04-27 13:29:14,613 | grpc.py:52 | Opened insecure gRPC connection (no certificates were passed)
FL-experiment | DEBUG flwr 2024-04-27 13:29:14,622 | connection.py:42 | ChannelConnectivity.IDLE
FL-experiment | DEBUG flwr 2024-04-27 13:29:14,625 | connection.py:42 | ChannelConnectivity.CONNECTING
FL-experiment | DEBUG flwr 2024-04-27 13:29:14,627 | connection.py:42 | ChannelConnectivity.READY
FL-experiment | INFO flwr 2024-04-27 13:29:15,292 | grpc.py:52 | Opened insecure gRPC connection (no certificates were passed)
FL-experiment | DEBUG flwr 2024-04-27 13:29:15,296 | connection.py:42 | ChannelConnectivity.IDLE
FL-experiment | DEBUG flwr 2024-04-27 13:29:15,297 | connection.py:42 | ChannelConnectivity.CONNECTING
FL-experiment | DEBUG flwr 2024-04-27 13:29:15,298 | connection.py:42 | ChannelConnectivity.READY
FL-experiment | INFO flwr 2024-04-27 13:29:15,720 | grpc.py:52 | Opened insecure gRPC connection (no certificates were passed)
FL-experiment | DEBUG flwr 2024-04-27 13:29:15,726 | connection.py:42 | ChannelConnectivity.IDLE
FL-experiment | DEBUG flwr 2024-04-27 13:29:15,832 | connection.py:42 | ChannelConnectivity.READY
FL-experiment | INFO flwr 2024-04-27 13:29:15,918 | grpc.py:52 | Opened insecure gRPC connection (no certificates were passed)
FL-experiment | DEBUG flwr 2024-04-27 13:29:15,923 | connection.py:42 | ChannelConnectivity.IDLE
FL-experiment | DEBUG flwr 2024-04-27 13:29:15,924 | connection.py:42 | ChannelConnectivity.READY
FL-experiment | INFO flwr 2024-04-27 13:29:16,174 | grpc.py:52 | Opened insecure gRPC connection (no certificates were passed)
FL-experiment | DEBUG flwr 2024-04-27 13:29:16,208 | connection.py:42 | ChannelConnectivity.IDLE
FL-experiment | DEBUG flwr 2024-04-27 13:29:16,210 | connection.py:42 | ChannelConnectivity.CONNECTING
FL-experiment | DEBUG flwr 2024-04-27 13:29:16,213 | connection.py:42 | ChannelConnectivity.READY
FL-experiment | INFO flwr 2024-04-27 13:29:16,996 | grpc.py:52 | Opened insecure gRPC connection (no certificates were passed)
FL-experiment | DEBUG flwr 2024-04-27 13:29:17,032 | connection.py:42 | ChannelConnectivity.IDLE
FL-experiment | DEBUG flwr 2024-04-27 13:29:17,081 | connection.py:42 | ChannelConnectivity.READY
FL-experiment | INFO flwr 2024-04-27 13:29:17,131 | grpc.py:52 | Opened insecure gRPC connection (no certificates were passed)
FL-experiment | DEBUG flwr 2024-04-27 13:29:17,185 | connection.py:42 | ChannelConnectivity.IDLE
FL-experiment | DEBUG flwr 2024-04-27 13:29:17,193 | connection.py:42 | ChannelConnectivity.CONNECTING
FL-experiment | DEBUG flwr 2024-04-27 13:29:17,244 | connection.py:42 | ChannelConnectivity.READY
FL-experiment | INFO flwr 2024-04-27 13:29:17,677 | grpc.py:52 | Opened insecure gRPC connection (no certificates were passed)
FL-experiment | DEBUG flwr 2024-04-27 13:29:17,696 | connection.py:42 | ChannelConnectivity.IDLE
FL-experiment | DEBUG flwr 2024-04-27 13:29:17,698 | connection.py:42 | ChannelConnectivity.CONNECTING
FL-experiment | DEBUG flwr 2024-04-27 13:29:17,700 | connection.py:42 | ChannelConnectivity.READY
FL-experiment | INFO flwr 2024-04-27 13:29:17,797 | grpc.py:52 | Opened insecure gRPC connection (no certificates were passed)
FL-experiment | DEBUG flwr 2024-04-27 13:29:17,825 | connection.py:42 | ChannelConnectivity.IDLE
FL-experiment | DEBUG flwr 2024-04-27 13:29:17,830 | connection.py:42 | ChannelConnectivity.CONNECTING
FL-experiment | DEBUG flwr 2024-04-27 13:29:17,831 | connection.py:42 | ChannelConnectivity.READY
FL-experiment | INFO flwr 2024-04-27 13:29:17,892 | grpc.py:52 | Opened insecure gRPC connection (no certificates were passed)
FL-experiment | INFO flwr 2024-04-27 13:29:17,903 | grpc.py:52 | Opened insecure gRPC connection (no certificates were passed)
FL-experiment | DEBUG flwr 2024-04-27 13:29:17,914 | connection.py:42 | ChannelConnectivity.IDLE
FL-experiment | DEBUG flwr 2024-04-27 13:29:17,920 | connection.py:42 | ChannelConnectivity.READY
FL-experiment | DEBUG flwr 2024-04-27 13:29:17,927 | connection.py:42 | ChannelConnectivity.IDLE
FL-experiment | DEBUG flwr 2024-04-27 13:29:17,956 | connection.py:42 | ChannelConnectivity.CONNECTING
FL-experiment | DEBUG flwr 2024-04-27 13:29:17,957 | connection.py:42 | ChannelConnectivity.READY
FL-experiment | INFO flwr 2024-04-27 13:29:18,222 | grpc.py:52 | Opened insecure gRPC connection (no certificates were passed)
FL-experiment | DEBUG flwr 2024-04-27 13:29:18,267 | connection.py:42 | ChannelConnectivity.IDLE
FL-experiment | DEBUG flwr 2024-04-27 13:29:18,268 | connection.py:42 | ChannelConnectivity.CONNECTING
FL-experiment | DEBUG flwr 2024-04-27 13:29:18,269 | connection.py:42 | ChannelConnectivity.READY
FL-experiment | INFO flwr 2024-04-27 13:29:18,321 | grpc.py:52 | Opened insecure gRPC connection (no certificates were passed)
FL-experiment | DEBUG flwr 2024-04-27 13:29:18,325 | connection.py:42 | ChannelConnectivity.IDLE
FL-experiment | DEBUG flwr 2024-04-27 13:29:18,325 | connection.py:42 | ChannelConnectivity.READY
FL-experiment | INFO flwr 2024-04-27 13:29:18,770 | grpc.py:52 | Opened insecure gRPC connection (no certificates were passed)
FL-experiment | DEBUG flwr 2024-04-27 13:29:18,773 | connection.py:42 | ChannelConnectivity.IDLE
FL-experiment | DEBUG flwr 2024-04-27 13:29:18,774 | connection.py:42 | ChannelConnectivity.CONNECTING
FL-experiment | DEBUG flwr 2024-04-27 13:29:18,778 | connection.py:42 | ChannelConnectivity.READY
FL-experiment | INFO flwr 2024-04-27 13:29:18,805 | grpc.py:52 | Opened insecure gRPC connection (no certificates were passed)
FL-experiment | DEBUG flwr 2024-04-27 13:29:18,806 | connection.py:42 | ChannelConnectivity.IDLE
FL-experiment | DEBUG flwr 2024-04-27 13:29:18,807 | connection.py:42 | ChannelConnectivity.CONNECTING
FL-experiment | DEBUG flwr 2024-04-27 13:29:18,808 | connection.py:42 | ChannelConnectivity.READY
FL-experiment | INFO flwr 2024-04-27 13:29:19,162 | grpc.py:52 | Opened insecure gRPC connection (no certificates were passed)
FL-experiment | DEBUG flwr 2024-04-27 13:29:19,349 | connection.py:42 | ChannelConnectivity.IDLE
FL-experiment | DEBUG flwr 2024-04-27 13:29:19,358 | connection.py:42 | ChannelConnectivity.CONNECTING
FL-experiment | DEBUG flwr 2024-04-27 13:29:19,365 | connection.py:42 | ChannelConnectivity.READY
FL-experiment | INFO flwr 2024-04-27 13:29:19,445 | grpc.py:52 | Opened insecure gRPC connection (no certificates were passed)
FL-experiment | DEBUG flwr 2024-04-27 13:29:19,499 | connection.py:42 | ChannelConnectivity.IDLE
FL-experiment | INFO flwr 2024-04-27 13:29:19,583 | grpc.py:52 | Opened insecure gRPC connection (no certificates were passed)
FL-experiment | INFO flwr 2024-04-27 13:29:19,653 | grpc.py:52 | Opened insecure gRPC connection (no certificates were passed)
FL-experiment | DEBUG flwr 2024-04-27 13:29:19,672 | connection.py:42 | ChannelConnectivity.IDLE
FL-experiment | DEBUG flwr 2024-04-27 13:29:19,675 | connection.py:42 | ChannelConnectivity.CONNECTING
FL-experiment | INFO flwr 2024-04-27 13:29:19,676 | grpc.py:52 | Opened insecure gRPC connection (no certificates were passed)
FL-experiment | DEBUG flwr 2024-04-27 13:29:19,678 | connection.py:42 | ChannelConnectivity.IDLE
