FL-experiment | INFO flwr 2024-03-12 00:43:15,874 | main.py:40 | Config: INCENTIVES_ON=False, BCFL=True, IPFS_ON=True, NUM_CLIENTS=25, NUM_ROUNDS=3,
FL-experiment | INFO flwr 2024-03-12 00:43:15,874 | main.py:41 | Start Experiment
FL-experiment | DEBUG flwr 2024-03-12 00:43:17,323 | server.py:149 | File: storage/init_model_d7f481f7-92e7-452c-a747-28d3eaa6f3b3.pkl IPFS file hash: QmVyN7Qp77Qo2hM6iB3Tk7VfksRgYrv9WcE7b89x6VrLRh
FL-experiment | INFO flwr 2024-03-12 00:43:17,329 | server.py:42 | Start Round=1
FL-experiment | INFO flwr 2024-03-12 00:43:17,329 | server.py:62 | Start deploying contract
FL-experiment | INFO flwr 2024-03-12 00:45:21,358 | server.py:66 | Done deploying contract
FL-experiment | INFO flwr 2024-03-12 00:45:21,419 | app.py:163 | Starting Flower server, config: ServerConfig(num_rounds=3, round_timeout=None)
FL-experiment | INFO flwr 2024-03-12 00:45:21,425 | app.py:176 | Flower ECE: gRPC server running (3 rounds), SSL is disabled
FL-experiment | INFO flwr 2024-03-12 00:45:21,426 | server.py:89 | Initializing global parameters
FL-experiment | INFO flwr 2024-03-12 00:45:21,426 | server.py:276 | Requesting initial parameters from one random client
FL-experiment | INFO flwr 2024-03-12 00:45:31,219 | grpc.py:52 | Opened insecure gRPC connection (no certificates were passed)
FL-experiment | DEBUG flwr 2024-03-12 00:45:31,251 | connection.py:42 | ChannelConnectivity.IDLE
FL-experiment | DEBUG flwr 2024-03-12 00:45:31,252 | connection.py:42 | ChannelConnectivity.READY
FL-experiment | INFO flwr 2024-03-12 00:45:31,256 | server.py:280 | Received initial parameters from one random client
FL-experiment | INFO flwr 2024-03-12 00:45:31,256 | server.py:91 | Evaluating initial parameters
FL-experiment | INFO flwr 2024-03-12 00:45:31,256 | server.py:104 | FL starting
FL-experiment | INFO flwr 2024-03-12 00:45:31,598 | grpc.py:52 | Opened insecure gRPC connection (no certificates were passed)
FL-experiment | DEBUG flwr 2024-03-12 00:45:31,599 | connection.py:42 | ChannelConnectivity.IDLE
FL-experiment | DEBUG flwr 2024-03-12 00:45:31,601 | connection.py:42 | ChannelConnectivity.CONNECTING
FL-experiment | DEBUG flwr 2024-03-12 00:45:31,602 | connection.py:42 | ChannelConnectivity.READY
FL-experiment | INFO flwr 2024-03-12 00:45:31,850 | grpc.py:52 | Opened insecure gRPC connection (no certificates were passed)
FL-experiment | DEBUG flwr 2024-03-12 00:45:31,852 | connection.py:42 | ChannelConnectivity.IDLE
FL-experiment | DEBUG flwr 2024-03-12 00:45:31,853 | connection.py:42 | ChannelConnectivity.CONNECTING
FL-experiment | DEBUG flwr 2024-03-12 00:45:31,854 | connection.py:42 | ChannelConnectivity.READY
FL-experiment | INFO flwr 2024-03-12 00:45:31,858 | grpc.py:52 | Opened insecure gRPC connection (no certificates were passed)
FL-experiment | DEBUG flwr 2024-03-12 00:45:31,870 | connection.py:42 | ChannelConnectivity.IDLE
FL-experiment | DEBUG flwr 2024-03-12 00:45:31,872 | connection.py:42 | ChannelConnectivity.CONNECTING
FL-experiment | DEBUG flwr 2024-03-12 00:45:31,879 | connection.py:42 | ChannelConnectivity.READY
FL-experiment | INFO flwr 2024-03-12 00:45:32,001 | grpc.py:52 | Opened insecure gRPC connection (no certificates were passed)
FL-experiment | DEBUG flwr 2024-03-12 00:45:32,007 | connection.py:42 | ChannelConnectivity.IDLE
FL-experiment | DEBUG flwr 2024-03-12 00:45:32,009 | connection.py:42 | ChannelConnectivity.READY
FL-experiment | INFO flwr 2024-03-12 00:45:32,045 | grpc.py:52 | Opened insecure gRPC connection (no certificates were passed)
FL-experiment | DEBUG flwr 2024-03-12 00:45:32,047 | connection.py:42 | ChannelConnectivity.IDLE
FL-experiment | DEBUG flwr 2024-03-12 00:45:32,077 | connection.py:42 | ChannelConnectivity.CONNECTING
FL-experiment | DEBUG flwr 2024-03-12 00:45:32,078 | connection.py:42 | ChannelConnectivity.READY
FL-experiment | INFO flwr 2024-03-12 00:45:32,130 | grpc.py:52 | Opened insecure gRPC connection (no certificates were passed)
FL-experiment | DEBUG flwr 2024-03-12 00:45:32,161 | connection.py:42 | ChannelConnectivity.IDLE
