FL-experiment | INFO flwr 2024-03-11 21:44:48,562 | main.py:40 | Config: INCENTIVES_ON=False, BCFL=True, IPFS_ON=True, NUM_CLIENTS=5, NUM_ROUNDS=2,
FL-experiment | INFO flwr 2024-03-11 21:44:48,562 | main.py:41 | Start Experiment
FL-experiment | DEBUG flwr 2024-03-11 21:44:49,945 | server.py:149 | File: storage/init_model_aaf1e4a0-37ad-499d-b90e-68de35829b24.pkl IPFS file hash: QmXyxM5U2KvvL1weAhDYLMHiL8dzzFqKhNAH6NbwymSugY
FL-experiment | INFO flwr 2024-03-11 21:44:49,950 | server.py:42 | Start Round=1
FL-experiment | INFO flwr 2024-03-11 21:44:49,950 | server.py:62 | Start deploying contract
FL-experiment | INFO flwr 2024-03-11 21:45:14,599 | server.py:66 | Done deploying contract
FL-experiment | INFO flwr 2024-03-11 21:45:14,600 | app.py:163 | Starting Flower server, config: ServerConfig(num_rounds=2, round_timeout=None)
FL-experiment | INFO flwr 2024-03-11 21:45:14,618 | app.py:176 | Flower ECE: gRPC server running (2 rounds), SSL is disabled
FL-experiment | INFO flwr 2024-03-11 21:45:14,619 | server.py:89 | Initializing global parameters
FL-experiment | INFO flwr 2024-03-11 21:45:14,619 | server.py:276 | Requesting initial parameters from one random client
FL-experiment | INFO flwr 2024-03-11 21:45:19,342 | grpc.py:52 | Opened insecure gRPC connection (no certificates were passed)
FL-experiment | DEBUG flwr 2024-03-11 21:45:19,359 | connection.py:42 | ChannelConnectivity.IDLE
FL-experiment | DEBUG flwr 2024-03-11 21:45:19,360 | connection.py:42 | ChannelConnectivity.CONNECTING
FL-experiment | DEBUG flwr 2024-03-11 21:45:19,360 | connection.py:42 | ChannelConnectivity.READY
FL-experiment | INFO flwr 2024-03-11 21:45:19,441 | server.py:280 | Received initial parameters from one random client
FL-experiment | INFO flwr 2024-03-11 21:45:19,441 | server.py:91 | Evaluating initial parameters
FL-experiment | INFO flwr 2024-03-11 21:45:19,441 | server.py:104 | FL starting
FL-experiment | INFO flwr 2024-03-11 21:45:19,448 | grpc.py:52 | Opened insecure gRPC connection (no certificates were passed)
FL-experiment | DEBUG flwr 2024-03-11 21:45:19,449 | connection.py:42 | ChannelConnectivity.IDLE
FL-experiment | DEBUG flwr 2024-03-11 21:45:19,450 | connection.py:42 | ChannelConnectivity.READY
FL-experiment | INFO flwr 2024-03-11 21:45:19,632 | grpc.py:52 | Opened insecure gRPC connection (no certificates were passed)
FL-experiment | DEBUG flwr 2024-03-11 21:45:19,667 | connection.py:42 | ChannelConnectivity.IDLE
FL-experiment | DEBUG flwr 2024-03-11 21:45:19,673 | connection.py:42 | ChannelConnectivity.CONNECTING
FL-experiment | DEBUG flwr 2024-03-11 21:45:19,676 | connection.py:42 | ChannelConnectivity.READY
FL-experiment | INFO flwr 2024-03-11 21:45:19,741 | grpc.py:52 | Opened insecure gRPC connection (no certificates were passed)
FL-experiment | DEBUG flwr 2024-03-11 21:45:19,742 | connection.py:42 | ChannelConnectivity.IDLE
FL-experiment | DEBUG flwr 2024-03-11 21:45:19,742 | connection.py:42 | ChannelConnectivity.CONNECTING
FL-experiment | DEBUG flwr 2024-03-11 21:45:19,743 | connection.py:42 | ChannelConnectivity.READY
FL-experiment | INFO flwr 2024-03-11 21:45:19,800 | grpc.py:52 | Opened insecure gRPC connection (no certificates were passed)
