FL-experiment | INFO flwr 2024-03-11 22:38:44,974 | main.py:40 | Config: INCENTIVES_ON=False, BCFL=True, IPFS_ON=True, NUM_CLIENTS=10, NUM_ROUNDS=2,
FL-experiment | INFO flwr 2024-03-11 22:38:44,974 | main.py:41 | Start Experiment
FL-experiment | DEBUG flwr 2024-03-11 22:38:46,625 | server.py:149 | File: storage/init_model_96918350-4f86-40e9-80d9-febae29b3560.pkl IPFS file hash: QmaCUwSWNBBhXD82KdRLUnEaNKFPVMyakoRjQbdY8Mp8zt
FL-experiment | INFO flwr 2024-03-11 22:38:46,633 | server.py:42 | Start Round=1
FL-experiment | INFO flwr 2024-03-11 22:38:46,633 | server.py:62 | Start deploying contract
FL-experiment | INFO flwr 2024-03-11 22:39:34,974 | server.py:66 | Done deploying contract
FL-experiment | INFO flwr 2024-03-11 22:39:34,974 | app.py:163 | Starting Flower server, config: ServerConfig(num_rounds=2, round_timeout=None)
FL-experiment | INFO flwr 2024-03-11 22:39:35,012 | app.py:176 | Flower ECE: gRPC server running (2 rounds), SSL is disabled
FL-experiment | INFO flwr 2024-03-11 22:39:35,013 | server.py:89 | Initializing global parameters
FL-experiment | INFO flwr 2024-03-11 22:39:35,013 | server.py:276 | Requesting initial parameters from one random client
FL-experiment | INFO flwr 2024-03-11 22:39:42,023 | grpc.py:52 | Opened insecure gRPC connection (no certificates were passed)
FL-experiment | DEBUG flwr 2024-03-11 22:39:42,082 | connection.py:42 | ChannelConnectivity.IDLE
FL-experiment | INFO flwr 2024-03-11 22:39:42,237 | grpc.py:52 | Opened insecure gRPC connection (no certificates were passed)
FL-experiment | DEBUG flwr 2024-03-11 22:39:42,238 | connection.py:42 | ChannelConnectivity.IDLE
FL-experiment | DEBUG flwr 2024-03-11 22:39:42,239 | connection.py:42 | ChannelConnectivity.CONNECTING
FL-experiment | DEBUG flwr 2024-03-11 22:39:42,241 | connection.py:42 | ChannelConnectivity.READY
FL-experiment | DEBUG flwr 2024-03-11 22:39:42,244 | connection.py:42 | ChannelConnectivity.CONNECTING
FL-experiment | DEBUG flwr 2024-03-11 22:39:42,247 | connection.py:42 | ChannelConnectivity.READY
FL-experiment | INFO flwr 2024-03-11 22:39:42,247 | server.py:280 | Received initial parameters from one random client
FL-experiment | INFO flwr 2024-03-11 22:39:42,248 | server.py:91 | Evaluating initial parameters
FL-experiment | INFO flwr 2024-03-11 22:39:42,248 | server.py:104 | FL starting
FL-experiment | INFO flwr 2024-03-11 22:39:42,318 | grpc.py:52 | Opened insecure gRPC connection (no certificates were passed)
FL-experiment | DEBUG flwr 2024-03-11 22:39:42,320 | connection.py:42 | ChannelConnectivity.IDLE
FL-experiment | DEBUG flwr 2024-03-11 22:39:42,347 | connection.py:42 | ChannelConnectivity.CONNECTING
FL-experiment | DEBUG flwr 2024-03-11 22:39:42,348 | connection.py:42 | ChannelConnectivity.READY
FL-experiment | INFO flwr 2024-03-11 22:39:42,458 | grpc.py:52 | Opened insecure gRPC connection (no certificates were passed)
FL-experiment | DEBUG flwr 2024-03-11 22:39:42,465 | connection.py:42 | ChannelConnectivity.IDLE
FL-experiment | DEBUG flwr 2024-03-11 22:39:42,469 | connection.py:42 | ChannelConnectivity.CONNECTING
FL-experiment | DEBUG flwr 2024-03-11 22:39:42,483 | connection.py:42 | ChannelConnectivity.READY
FL-experiment | INFO flwr 2024-03-11 22:39:42,560 | grpc.py:52 | Opened insecure gRPC connection (no certificates were passed)
FL-experiment | DEBUG flwr 2024-03-11 22:39:42,562 | connection.py:42 | ChannelConnectivity.IDLE
FL-experiment | DEBUG flwr 2024-03-11 22:39:42,564 | connection.py:42 | ChannelConnectivity.CONNECTING
FL-experiment | DEBUG flwr 2024-03-11 22:39:42,564 | connection.py:42 | ChannelConnectivity.READY
FL-experiment | INFO flwr 2024-03-11 22:39:42,578 | grpc.py:52 | Opened insecure gRPC connection (no certificates were passed)
FL-experiment | DEBUG flwr 2024-03-11 22:39:42,587 | connection.py:42 | ChannelConnectivity.IDLE
FL-experiment | DEBUG flwr 2024-03-11 22:39:42,587 | connection.py:42 | ChannelConnectivity.CONNECTING
FL-experiment | DEBUG flwr 2024-03-11 22:39:42,588 | connection.py:42 | ChannelConnectivity.READY
FL-experiment | INFO flwr 2024-03-11 22:39:42,605 | grpc.py:52 | Opened insecure gRPC connection (no certificates were passed)
FL-experiment | DEBUG flwr 2024-03-11 22:39:42,607 | connection.py:42 | ChannelConnectivity.IDLE
