FL-experiment | INFO flwr 2024-04-27 00:47:51,299 | main.py:43 | Config: INCENTIVES_ON=False, BCFL=True, IPFS_ON=True, NUM_CLIENTS=25, NUM_ROUNDS=10,
FL-experiment | INFO flwr 2024-04-27 00:47:51,299 | main.py:44 | Start Experiment
FL-experiment | DEBUG flwr 2024-04-27 00:47:53,410 | server.py:147 | File: storage/init_model_16c78f49-4f00-493d-9510-f05ec0ef6096.pkl IPFS file hash: QmP41psS6LmZ1qN2uSQ9M98ZwbcimxcAhUqbR46aGfj6Jh
FL-experiment | INFO flwr 2024-04-27 00:47:53,423 | server.py:38 | Start Round=1
FL-experiment | INFO flwr 2024-04-27 00:47:53,423 | server.py:57 | Start deploying contract
FL-experiment | INFO flwr 2024-04-27 00:49:55,230 | server.py:61 | Done deploying contract
FL-experiment | INFO flwr 2024-04-27 00:49:55,230 | app.py:163 | Starting Flower server, config: ServerConfig(num_rounds=10, round_timeout=None)
FL-experiment | INFO flwr 2024-04-27 00:49:55,274 | app.py:176 | Flower ECE: gRPC server running (10 rounds), SSL is disabled
FL-experiment | INFO flwr 2024-04-27 00:49:55,274 | server.py:89 | Initializing global parameters
FL-experiment | INFO flwr 2024-04-27 00:49:55,274 | server.py:276 | Requesting initial parameters from one random client
FL-experiment | INFO flwr 2024-04-27 00:50:07,586 | grpc.py:52 | Opened insecure gRPC connection (no certificates were passed)
FL-experiment | DEBUG flwr 2024-04-27 00:50:07,589 | connection.py:42 | ChannelConnectivity.IDLE
FL-experiment | DEBUG flwr 2024-04-27 00:50:07,592 | connection.py:42 | ChannelConnectivity.READY
FL-experiment | INFO flwr 2024-04-27 00:50:07,605 | server.py:280 | Received initial parameters from one random client
FL-experiment | INFO flwr 2024-04-27 00:50:07,606 | server.py:91 | Evaluating initial parameters
FL-experiment | INFO flwr 2024-04-27 00:50:07,606 | server.py:104 | FL starting
FL-experiment | INFO flwr 2024-04-27 00:50:07,831 | grpc.py:52 | Opened insecure gRPC connection (no certificates were passed)
FL-experiment | DEBUG flwr 2024-04-27 00:50:07,858 | connection.py:42 | ChannelConnectivity.IDLE
FL-experiment | DEBUG flwr 2024-04-27 00:50:07,859 | connection.py:42 | ChannelConnectivity.CONNECTING
FL-experiment | DEBUG flwr 2024-04-27 00:50:07,859 | connection.py:42 | ChannelConnectivity.READY
FL-experiment | INFO flwr 2024-04-27 00:50:07,960 | grpc.py:52 | Opened insecure gRPC connection (no certificates were passed)
FL-experiment | DEBUG flwr 2024-04-27 00:50:08,081 | connection.py:42 | ChannelConnectivity.IDLE
FL-experiment | INFO flwr 2024-04-27 00:50:08,104 | grpc.py:52 | Opened insecure gRPC connection (no certificates were passed)
FL-experiment | INFO flwr 2024-04-27 00:50:08,104 | grpc.py:52 | Opened insecure gRPC connection (no certificates were passed)
FL-experiment | DEBUG flwr 2024-04-27 00:50:08,116 | connection.py:42 | ChannelConnectivity.IDLE
FL-experiment | DEBUG flwr 2024-04-27 00:50:08,127 | connection.py:42 | ChannelConnectivity.CONNECTING
FL-experiment | DEBUG flwr 2024-04-27 00:50:08,128 | connection.py:42 | ChannelConnectivity.READY
FL-experiment | DEBUG flwr 2024-04-27 00:50:08,134 | connection.py:42 | ChannelConnectivity.IDLE
FL-experiment | DEBUG flwr 2024-04-27 00:50:08,134 | connection.py:42 | ChannelConnectivity.READY
FL-experiment | DEBUG flwr 2024-04-27 00:50:08,136 | connection.py:42 | ChannelConnectivity.READY
FL-experiment | INFO flwr 2024-04-27 00:50:08,137 | grpc.py:52 | Opened insecure gRPC connection (no certificates were passed)
FL-experiment | DEBUG flwr 2024-04-27 00:50:08,156 | connection.py:42 | ChannelConnectivity.IDLE
FL-experiment | DEBUG flwr 2024-04-27 00:50:08,219 | connection.py:42 | ChannelConnectivity.CONNECTING
FL-experiment | DEBUG flwr 2024-04-27 00:50:08,220 | connection.py:42 | ChannelConnectivity.READY
FL-experiment | INFO flwr 2024-04-27 00:50:08,532 | grpc.py:52 | Opened insecure gRPC connection (no certificates were passed)
FL-experiment | DEBUG flwr 2024-04-27 00:50:08,533 | connection.py:42 | ChannelConnectivity.IDLE
FL-experiment | DEBUG flwr 2024-04-27 00:50:08,533 | connection.py:42 | ChannelConnectivity.CONNECTING
FL-experiment | DEBUG flwr 2024-04-27 00:50:08,534 | connection.py:42 | ChannelConnectivity.READY
FL-experiment | INFO flwr 2024-04-27 00:50:08,753 | grpc.py:52 | Opened insecure gRPC connection (no certificates were passed)
FL-experiment | DEBUG flwr 2024-04-27 00:50:08,758 | connection.py:42 | ChannelConnectivity.IDLE
FL-experiment | DEBUG flwr 2024-04-27 00:50:08,765 | connection.py:42 | ChannelConnectivity.READY
FL-experiment | INFO flwr 2024-04-27 00:50:08,779 | grpc.py:52 | Opened insecure gRPC connection (no certificates were passed)
FL-experiment | DEBUG flwr 2024-04-27 00:50:08,800 | connection.py:42 | ChannelConnectivity.IDLE
