FL-experiment | INFO flwr 2024-04-25 21:03:48,746 | main.py:43 | Config: INCENTIVES_ON=False, BCFL=True, IPFS_ON=True, NUM_CLIENTS=10, NUM_ROUNDS=1,
FL-experiment | INFO flwr 2024-04-25 21:03:48,746 | main.py:44 | Start Experiment
FL-experiment | DEBUG flwr 2024-04-25 21:03:50,860 | server.py:147 | File: storage/init_model_b3158bf8-4266-4105-a11d-76bb76aee2c7.pkl IPFS file hash: Qmevj1DHmXtPro4NHHfaDHsDXn87zTAqHM4dnJAHLJs6Vs
FL-experiment | INFO flwr 2024-04-25 21:03:50,872 | server.py:38 | Start Round=1
FL-experiment | INFO flwr 2024-04-25 21:03:50,872 | server.py:57 | Start deploying contract
FL-experiment | INFO flwr 2024-04-25 21:04:36,435 | server.py:61 | Done deploying contract
FL-experiment | INFO flwr 2024-04-25 21:04:36,438 | app.py:163 | Starting Flower server, config: ServerConfig(num_rounds=1, round_timeout=None)
FL-experiment | INFO flwr 2024-04-25 21:04:36,484 | app.py:176 | Flower ECE: gRPC server running (1 rounds), SSL is disabled
FL-experiment | INFO flwr 2024-04-25 21:04:36,485 | server.py:89 | Initializing global parameters
FL-experiment | INFO flwr 2024-04-25 21:04:36,486 | server.py:276 | Requesting initial parameters from one random client
FL-experiment | INFO flwr 2024-04-25 21:04:47,334 | grpc.py:52 | Opened insecure gRPC connection (no certificates were passed)
FL-experiment | DEBUG flwr 2024-04-25 21:04:47,368 | connection.py:42 | ChannelConnectivity.IDLE
FL-experiment | DEBUG flwr 2024-04-25 21:04:47,381 | connection.py:42 | ChannelConnectivity.READY
FL-experiment | INFO flwr 2024-04-25 21:04:47,478 | grpc.py:52 | Opened insecure gRPC connection (no certificates were passed)
FL-experiment | DEBUG flwr 2024-04-25 21:04:47,479 | connection.py:42 | ChannelConnectivity.IDLE
FL-experiment | INFO flwr 2024-04-25 21:04:47,507 | grpc.py:52 | Opened insecure gRPC connection (no certificates were passed)
FL-experiment | DEBUG flwr 2024-04-25 21:04:47,508 | connection.py:42 | ChannelConnectivity.IDLE
FL-experiment | INFO flwr 2024-04-25 21:04:47,518 | server.py:280 | Received initial parameters from one random client
FL-experiment | INFO flwr 2024-04-25 21:04:47,518 | server.py:91 | Evaluating initial parameters
FL-experiment | INFO flwr 2024-04-25 21:04:47,518 | server.py:104 | FL starting
FL-experiment | DEBUG flwr 2024-04-25 21:04:47,508 | connection.py:42 | ChannelConnectivity.CONNECTING
FL-experiment | DEBUG flwr 2024-04-25 21:04:47,522 | connection.py:42 | ChannelConnectivity.READY
FL-experiment | INFO flwr 2024-04-25 21:04:47,559 | grpc.py:52 | Opened insecure gRPC connection (no certificates were passed)
FL-experiment | DEBUG flwr 2024-04-25 21:04:47,563 | connection.py:42 | ChannelConnectivity.IDLE
FL-experiment | DEBUG flwr 2024-04-25 21:04:47,564 | connection.py:42 | ChannelConnectivity.READY
FL-experiment | INFO flwr 2024-04-25 21:04:47,569 | grpc.py:52 | Opened insecure gRPC connection (no certificates were passed)
FL-experiment | DEBUG flwr 2024-04-25 21:04:47,577 | connection.py:42 | ChannelConnectivity.IDLE
FL-experiment | DEBUG flwr 2024-04-25 21:04:47,578 | connection.py:42 | ChannelConnectivity.CONNECTING
FL-experiment | DEBUG flwr 2024-04-25 21:04:47,579 | connection.py:42 | ChannelConnectivity.READY
FL-experiment | DEBUG flwr 2024-04-25 21:04:47,590 | connection.py:42 | ChannelConnectivity.CONNECTING
FL-experiment | DEBUG flwr 2024-04-25 21:04:47,590 | connection.py:42 | ChannelConnectivity.READY
FL-experiment | INFO flwr 2024-04-25 21:04:47,592 | grpc.py:52 | Opened insecure gRPC connection (no certificates were passed)
FL-experiment | DEBUG flwr 2024-04-25 21:04:47,594 | connection.py:42 | ChannelConnectivity.IDLE
FL-experiment | DEBUG flwr 2024-04-25 21:04:47,601 | connection.py:42 | ChannelConnectivity.CONNECTING
FL-experiment | DEBUG flwr 2024-04-25 21:04:47,602 | connection.py:42 | ChannelConnectivity.READY
FL-experiment | INFO flwr 2024-04-25 21:04:47,625 | grpc.py:52 | Opened insecure gRPC connection (no certificates were passed)
FL-experiment | INFO flwr 2024-04-25 21:04:47,626 | grpc.py:52 | Opened insecure gRPC connection (no certificates were passed)
FL-experiment | DEBUG flwr 2024-04-25 21:04:47,627 | connection.py:42 | ChannelConnectivity.IDLE
FL-experiment | DEBUG flwr 2024-04-25 21:04:47,627 | connection.py:42 | ChannelConnectivity.IDLE
FL-experiment | DEBUG flwr 2024-04-25 21:04:47,628 | connection.py:42 | ChannelConnectivity.CONNECTING
FL-experiment | DEBUG flwr 2024-04-25 21:04:47,628 | connection.py:42 | ChannelConnectivity.CONNECTING
FL-experiment | DEBUG flwr 2024-04-25 21:04:47,628 | connection.py:42 | ChannelConnectivity.READY
FL-experiment | DEBUG flwr 2024-04-25 21:04:47,629 | connection.py:42 | ChannelConnectivity.READY
FL-experiment | INFO flwr 2024-04-25 21:04:47,644 | grpc.py:52 | Opened insecure gRPC connection (no certificates were passed)
FL-experiment | DEBUG flwr 2024-04-25 21:04:47,645 | connection.py:42 | ChannelConnectivity.IDLE
FL-experiment | DEBUG flwr 2024-04-25 21:04:47,645 | connection.py:42 | ChannelConnectivity.CONNECTING
FL-experiment | DEBUG flwr 2024-04-25 21:04:47,647 | connection.py:42 | ChannelConnectivity.READY
FL-experiment | INFO flwr 2024-04-25 21:04:47,659 | grpc.py:52 | Opened insecure gRPC connection (no certificates were passed)
FL-experiment | DEBUG flwr 2024-04-25 21:04:47,660 | connection.py:42 | ChannelConnectivity.IDLE
FL-experiment | DEBUG flwr 2024-04-25 21:04:47,660 | connection.py:42 | ChannelConnectivity.CONNECTING
FL-experiment | DEBUG flwr 2024-04-25 21:04:47,661 | server.py:222 | fit_round 1: strategy sampled 10 clients (out of 10)
FL-experiment | DEBUG flwr 2024-04-25 21:04:47,661 | connection.py:42 | ChannelConnectivity.READY
FL-experiment | INFO flwr 2024-04-25 21:04:47,663 | client.py:128 | Start Training client=6
FL-experiment | INFO flwr 2024-04-25 21:04:47,664 | client.py:128 | Start Training client=1
FL-experiment | INFO flwr 2024-04-25 21:04:47,665 | client.py:128 | Start Training client=3
FL-experiment | INFO flwr 2024-04-25 21:04:47,666 | client.py:128 | Start Training client=0
FL-experiment | INFO flwr 2024-04-25 21:04:47,666 | client.py:128 | Start Training client=5
FL-experiment | INFO flwr 2024-04-25 21:04:47,667 | client.py:128 | Start Training client=9
FL-experiment | INFO flwr 2024-04-25 21:04:47,667 | client.py:128 | Start Training client=8
FL-experiment | INFO flwr 2024-04-25 21:04:47,668 | client.py:128 | Start Training client=7
FL-experiment | INFO flwr 2024-04-25 21:04:47,668 | client.py:128 | Start Training client=2
FL-experiment | INFO flwr 2024-04-25 21:04:47,670 | client.py:128 | Start Training client=4
FL-experiment | INFO flwr 2024-04-25 21:05:30,687 | client.py:149 | Done Training client=9
FL-experiment | INFO flwr 2024-04-25 21:05:42,855 | client.py:149 | Done Training client=3
FL-experiment | INFO flwr 2024-04-25 21:05:43,010 | client.py:149 | Done Training client=2
FL-experiment | INFO flwr 2024-04-25 21:05:43,263 | client.py:149 | Done Training client=7
FL-experiment | INFO flwr 2024-04-25 21:05:43,413 | client.py:149 | Done Training client=4
FL-experiment | INFO flwr 2024-04-25 21:05:43,434 | client.py:149 | Done Training client=8
FL-experiment | INFO flwr 2024-04-25 21:05:43,659 | client.py:149 | Done Training client=5
FL-experiment | INFO flwr 2024-04-25 21:05:43,669 | client.py:149 | Done Training client=1
FL-experiment | INFO flwr 2024-04-25 21:05:43,728 | client.py:149 | Done Training client=6
FL-experiment | INFO flwr 2024-04-25 21:05:43,793 | client.py:149 | Done Training client=0
FL-experiment | DEBUG flwr 2024-04-25 21:05:43,795 | server.py:236 | fit_round 1 received 10 results and 0 failures
FL-experiment | INFO flwr 2024-04-25 21:05:43,796 | server.py:65 | Start Aggregating round=1
FL-experiment | INFO flwr 2024-04-25 21:05:43,796 | server.py:68 | Start setting weights to the blockchain
FL-experiment | DEBUG flwr 2024-04-25 21:05:44,123 | server.py:76 | File: storage/init_model_b3158bf8-4266-4105-a11d-76bb76aee2c7.pkl IPFS file hash: QmX8i9CumTHXwa9BN9v3sR5iCiA9E9tKKVsUsoyeSisbZy
FL-experiment | DEBUG flwr 2024-04-25 21:05:46,788 | server.py:76 | File: storage/init_model_b3158bf8-4266-4105-a11d-76bb76aee2c7.pkl IPFS file hash: QmeDhoiWN6vvDxG6aa11KpsDfLyFPv86p69whiKvzQcYC3
FL-experiment | DEBUG flwr 2024-04-25 21:05:51,818 | server.py:76 | File: storage/init_model_b3158bf8-4266-4105-a11d-76bb76aee2c7.pkl IPFS file hash: QmPeX5dinsTHB3SPEZMRB8P4FiS48f5WJ6nRwoRKbX1EQE
