FL-experiment | INFO flwr 2024-05-02 22:59:47,096 | server.py:52 | PERUN REQUEST: Sharing model with peer_21, REQ=set,peer_21,Qme1XQPQWHgBZhoF7Utw5o3pkxvtLgmuwXPyRuiQ9Rsdv5,5,0,0,0
FL-experiment | INFO flwr 2024-05-02 22:59:47,251 | server.py:52 | PERUN REQUEST: Sharing model with peer_22, REQ=set,peer_22,Qme1XQPQWHgBZhoF7Utw5o3pkxvtLgmuwXPyRuiQ9Rsdv5,5,0,0,0
FL-experiment | INFO flwr 2024-05-02 22:59:47,398 | server.py:52 | PERUN REQUEST: Sharing model with peer_23, REQ=set,peer_23,Qme1XQPQWHgBZhoF7Utw5o3pkxvtLgmuwXPyRuiQ9Rsdv5,5,0,0,0
FL-experiment | INFO flwr 2024-05-02 22:59:47,549 | server.py:52 | PERUN REQUEST: Sharing model with peer_24, REQ=set,peer_24,Qme1XQPQWHgBZhoF7Utw5o3pkxvtLgmuwXPyRuiQ9Rsdv5,5,0,0,0
FL-experiment | INFO flwr 2024-05-02 22:59:47,696 | server.py:52 | PERUN REQUEST: Sharing model with peer_25, REQ=set,peer_25,Qme1XQPQWHgBZhoF7Utw5o3pkxvtLgmuwXPyRuiQ9Rsdv5,5,0,0,0
FL-experiment | INFO flwr 2024-05-02 22:59:47,843 | server.py:52 | PERUN REQUEST: Sharing model with peer_26, REQ=set,peer_26,Qme1XQPQWHgBZhoF7Utw5o3pkxvtLgmuwXPyRuiQ9Rsdv5,5,0,0,0
FL-experiment | INFO flwr 2024-05-02 22:59:47,989 | server.py:52 | PERUN REQUEST: Sharing model with peer_27, REQ=set,peer_27,Qme1XQPQWHgBZhoF7Utw5o3pkxvtLgmuwXPyRuiQ9Rsdv5,5,0,0,0
FL-experiment | INFO flwr 2024-05-02 22:59:48,136 | server.py:52 | PERUN REQUEST: Sharing model with peer_28, REQ=set,peer_28,Qme1XQPQWHgBZhoF7Utw5o3pkxvtLgmuwXPyRuiQ9Rsdv5,5,0,0,0
FL-experiment | INFO flwr 2024-05-02 22:59:48,284 | server.py:52 | PERUN REQUEST: Sharing model with peer_29, REQ=set,peer_29,Qme1XQPQWHgBZhoF7Utw5o3pkxvtLgmuwXPyRuiQ9Rsdv5,5,0,0,0
FL-experiment | INFO flwr 2024-05-02 22:59:48,431 | server.py:52 | PERUN REQUEST: Sharing model with peer_30, REQ=set,peer_30,Qme1XQPQWHgBZhoF7Utw5o3pkxvtLgmuwXPyRuiQ9Rsdv5,5,0,0,0
FL-experiment | INFO flwr 2024-05-02 22:59:48,577 | server.py:52 | PERUN REQUEST: Sharing model with peer_31, REQ=set,peer_31,Qme1XQPQWHgBZhoF7Utw5o3pkxvtLgmuwXPyRuiQ9Rsdv5,5,0,0,0
FL-experiment | INFO flwr 2024-05-02 22:59:48,735 | server.py:52 | PERUN REQUEST: Sharing model with peer_32, REQ=set,peer_32,Qme1XQPQWHgBZhoF7Utw5o3pkxvtLgmuwXPyRuiQ9Rsdv5,5,0,0,0
FL-experiment | INFO flwr 2024-05-02 22:59:48,882 | server.py:52 | PERUN REQUEST: Sharing model with peer_33, REQ=set,peer_33,Qme1XQPQWHgBZhoF7Utw5o3pkxvtLgmuwXPyRuiQ9Rsdv5,5,0,0,0
FL-experiment | INFO flwr 2024-05-02 22:59:49,024 | server.py:52 | PERUN REQUEST: Sharing model with peer_34, REQ=set,peer_34,Qme1XQPQWHgBZhoF7Utw5o3pkxvtLgmuwXPyRuiQ9Rsdv5,5,0,0,0
FL-experiment | INFO flwr 2024-05-02 22:59:49,173 | server.py:52 | PERUN REQUEST: Sharing model with peer_35, REQ=set,peer_35,Qme1XQPQWHgBZhoF7Utw5o3pkxvtLgmuwXPyRuiQ9Rsdv5,5,0,0,0
FL-experiment | INFO flwr 2024-05-02 22:59:49,327 | server.py:52 | PERUN REQUEST: Sharing model with peer_36, REQ=set,peer_36,Qme1XQPQWHgBZhoF7Utw5o3pkxvtLgmuwXPyRuiQ9Rsdv5,5,0,0,0
