FL-experiment | INFO flwr 2024-05-01 16:54:37,003 | main.py:43 | Config: INCENTIVES_ON=True, BCFL=False, IPFS_ON=True, NUM_CLIENTS=25, NUM_ROUNDS=10,
FL-experiment | INFO flwr 2024-05-01 16:54:37,003 | main.py:44 | Start Experiment
FL-experiment | INFO flwr 2024-05-01 16:54:37,003 | main.py:54 | Start opening channels
FL-experiment | INFO flwr 2024-05-01 17:00:52,222 | main.py:56 | Done opening channels
FL-experiment | DEBUG flwr 2024-05-01 17:00:54,132 | server.py:147 | File: storage/init_model_cd0869ee-7ac3-4268-9672-3cdb32677566.pkl IPFS file hash: Qma6RsszUZ1S7NE1yQF9ixhUz6CEck4WQntpcLKBhfEsee
FL-experiment | INFO flwr 2024-05-01 17:00:54,133 | server.py:38 | Start Round=1
FL-experiment | INFO flwr 2024-05-01 17:00:54,133 | server.py:49 | Start sharing model with perun nodes
FL-experiment | INFO flwr 2024-05-01 17:00:54,133 | server.py:52 | PERUN REQUEST: Sharing model with peer_0, REQ=set,peer_0,Qma6RsszUZ1S7NE1yQF9ixhUz6CEck4WQntpcLKBhfEsee,10,0,0,0
FL-experiment | INFO flwr 2024-05-01 17:00:54,311 | server.py:52 | PERUN REQUEST: Sharing model with peer_1, REQ=set,peer_1,Qma6RsszUZ1S7NE1yQF9ixhUz6CEck4WQntpcLKBhfEsee,10,0,0,0
FL-experiment | INFO flwr 2024-05-01 17:00:54,481 | server.py:52 | PERUN REQUEST: Sharing model with peer_2, REQ=set,peer_2,Qma6RsszUZ1S7NE1yQF9ixhUz6CEck4WQntpcLKBhfEsee,10,0,0,0
FL-experiment | INFO flwr 2024-05-01 17:00:54,659 | server.py:52 | PERUN REQUEST: Sharing model with peer_3, REQ=set,peer_3,Qma6RsszUZ1S7NE1yQF9ixhUz6CEck4WQntpcLKBhfEsee,10,0,0,0
FL-experiment | INFO flwr 2024-05-01 17:00:54,828 | server.py:52 | PERUN REQUEST: Sharing model with peer_4, REQ=set,peer_4,Qma6RsszUZ1S7NE1yQF9ixhUz6CEck4WQntpcLKBhfEsee,10,0,0,0
