FL-experiment | INFO flwr 2024-05-01 23:39:23,482 | main.py:43 | Config: INCENTIVES_ON=True, BCFL=False, IPFS_ON=True, NUM_CLIENTS=50, NUM_ROUNDS=10,
FL-experiment | INFO flwr 2024-05-01 23:39:23,482 | main.py:44 | Start Experiment
FL-experiment | INFO flwr 2024-05-01 23:39:23,483 | main.py:54 | Start opening channels
FL-experiment | INFO flwr 2024-05-01 23:51:54,035 | main.py:56 | Done opening channels
FL-experiment | DEBUG flwr 2024-05-01 23:51:56,127 | server.py:147 | File: storage/init_model_39397d21-7b12-484e-93f9-5ec8de50a2b1.pkl IPFS file hash: QmdVYsbyFU7N1Y2qfaromXiZRSufPKbu5w3UyFswuKRbeh
FL-experiment | INFO flwr 2024-05-01 23:51:56,128 | server.py:38 | Start Round=1
FL-experiment | INFO flwr 2024-05-01 23:51:56,128 | server.py:49 | Start sharing model with perun nodes
FL-experiment | INFO flwr 2024-05-01 23:51:56,128 | server.py:52 | PERUN REQUEST: Sharing model with peer_0, REQ=set,peer_0,QmdVYsbyFU7N1Y2qfaromXiZRSufPKbu5w3UyFswuKRbeh,10,0,0,0
FL-experiment | INFO flwr 2024-05-01 23:51:56,534 | server.py:52 | PERUN REQUEST: Sharing model with peer_1, REQ=set,peer_1,QmdVYsbyFU7N1Y2qfaromXiZRSufPKbu5w3UyFswuKRbeh,10,0,0,0
FL-experiment | INFO flwr 2024-05-01 23:51:56,933 | server.py:52 | PERUN REQUEST: Sharing model with peer_2, REQ=set,peer_2,QmdVYsbyFU7N1Y2qfaromXiZRSufPKbu5w3UyFswuKRbeh,10,0,0,0
FL-experiment | INFO flwr 2024-05-01 23:51:57,333 | server.py:52 | PERUN REQUEST: Sharing model with peer_3, REQ=set,peer_3,QmdVYsbyFU7N1Y2qfaromXiZRSufPKbu5w3UyFswuKRbeh,10,0,0,0
FL-experiment | INFO flwr 2024-05-01 23:51:57,729 | server.py:52 | PERUN REQUEST: Sharing model with peer_4, REQ=set,peer_4,QmdVYsbyFU7N1Y2qfaromXiZRSufPKbu5w3UyFswuKRbeh,10,0,0,0
FL-experiment | INFO flwr 2024-05-01 23:51:58,138 | server.py:52 | PERUN REQUEST: Sharing model with peer_5, REQ=set,peer_5,QmdVYsbyFU7N1Y2qfaromXiZRSufPKbu5w3UyFswuKRbeh,10,0,0,0
FL-experiment | INFO flwr 2024-05-01 23:51:58,610 | server.py:52 | PERUN REQUEST: Sharing model with peer_6, REQ=set,peer_6,QmdVYsbyFU7N1Y2qfaromXiZRSufPKbu5w3UyFswuKRbeh,10,0,0,0
FL-experiment | INFO flwr 2024-05-01 23:51:59,008 | server.py:52 | PERUN REQUEST: Sharing model with peer_7, REQ=set,peer_7,QmdVYsbyFU7N1Y2qfaromXiZRSufPKbu5w3UyFswuKRbeh,10,0,0,0
FL-experiment | INFO flwr 2024-05-01 23:51:59,410 | server.py:52 | PERUN REQUEST: Sharing model with peer_8, REQ=set,peer_8,QmdVYsbyFU7N1Y2qfaromXiZRSufPKbu5w3UyFswuKRbeh,10,0,0,0
FL-experiment | INFO flwr 2024-05-01 23:51:59,806 | server.py:52 | PERUN REQUEST: Sharing model with peer_9, REQ=set,peer_9,QmdVYsbyFU7N1Y2qfaromXiZRSufPKbu5w3UyFswuKRbeh,10,0,0,0
FL-experiment | INFO flwr 2024-05-01 23:52:00,219 | server.py:52 | PERUN REQUEST: Sharing model with peer_10, REQ=set,peer_10,QmdVYsbyFU7N1Y2qfaromXiZRSufPKbu5w3UyFswuKRbeh,10,0,0,0
FL-experiment | INFO flwr 2024-05-01 23:52:00,632 | server.py:52 | PERUN REQUEST: Sharing model with peer_11, REQ=set,peer_11,QmdVYsbyFU7N1Y2qfaromXiZRSufPKbu5w3UyFswuKRbeh,10,0,0,0
FL-experiment | INFO flwr 2024-05-01 23:52:01,044 | server.py:52 | PERUN REQUEST: Sharing model with peer_12, REQ=set,peer_12,QmdVYsbyFU7N1Y2qfaromXiZRSufPKbu5w3UyFswuKRbeh,10,0,0,0
FL-experiment | INFO flwr 2024-05-01 23:52:01,454 | server.py:52 | PERUN REQUEST: Sharing model with peer_13, REQ=set,peer_13,QmdVYsbyFU7N1Y2qfaromXiZRSufPKbu5w3UyFswuKRbeh,10,0,0,0
FL-experiment | INFO flwr 2024-05-01 23:52:01,848 | server.py:52 | PERUN REQUEST: Sharing model with peer_14, REQ=set,peer_14,QmdVYsbyFU7N1Y2qfaromXiZRSufPKbu5w3UyFswuKRbeh,10,0,0,0
FL-experiment | INFO flwr 2024-05-01 23:52:02,247 | server.py:52 | PERUN REQUEST: Sharing model with peer_15, REQ=set,peer_15,QmdVYsbyFU7N1Y2qfaromXiZRSufPKbu5w3UyFswuKRbeh,10,0,0,0
FL-experiment | INFO flwr 2024-05-01 23:52:02,639 | server.py:52 | PERUN REQUEST: Sharing model with peer_16, REQ=set,peer_16,QmdVYsbyFU7N1Y2qfaromXiZRSufPKbu5w3UyFswuKRbeh,10,0,0,0
FL-experiment | INFO flwr 2024-05-01 23:52:03,067 | server.py:52 | PERUN REQUEST: Sharing model with peer_17, REQ=set,peer_17,QmdVYsbyFU7N1Y2qfaromXiZRSufPKbu5w3UyFswuKRbeh,10,0,0,0
FL-experiment | INFO flwr 2024-05-01 23:52:03,468 | server.py:52 | PERUN REQUEST: Sharing model with peer_18, REQ=set,peer_18,QmdVYsbyFU7N1Y2qfaromXiZRSufPKbu5w3UyFswuKRbeh,10,0,0,0
FL-experiment | INFO flwr 2024-05-01 23:52:03,865 | server.py:52 | PERUN REQUEST: Sharing model with peer_19, REQ=set,peer_19,QmdVYsbyFU7N1Y2qfaromXiZRSufPKbu5w3UyFswuKRbeh,10,0,0,0
FL-experiment | INFO flwr 2024-05-01 23:52:04,277 | server.py:52 | PERUN REQUEST: Sharing model with peer_20, REQ=set,peer_20,QmdVYsbyFU7N1Y2qfaromXiZRSufPKbu5w3UyFswuKRbeh,10,0,0,0
FL-experiment | INFO flwr 2024-05-01 23:52:04,679 | server.py:52 | PERUN REQUEST: Sharing model with peer_21, REQ=set,peer_21,QmdVYsbyFU7N1Y2qfaromXiZRSufPKbu5w3UyFswuKRbeh,10,0,0,0
FL-experiment | INFO flwr 2024-05-01 23:52:05,099 | server.py:52 | PERUN REQUEST: Sharing model with peer_22, REQ=set,peer_22,QmdVYsbyFU7N1Y2qfaromXiZRSufPKbu5w3UyFswuKRbeh,10,0,0,0
FL-experiment | INFO flwr 2024-05-01 23:52:05,571 | server.py:52 | PERUN REQUEST: Sharing model with peer_23, REQ=set,peer_23,QmdVYsbyFU7N1Y2qfaromXiZRSufPKbu5w3UyFswuKRbeh,10,0,0,0
