FL-experiment | INFO flwr 2024-03-13 13:43:42,170 | main.py:40 | Config: INCENTIVES_ON=True, BCFL=False, IPFS_ON=True, NUM_CLIENTS=25, NUM_ROUNDS=2,
FL-experiment | INFO flwr 2024-03-13 13:43:42,171 | main.py:41 | Start Experiment
FL-experiment | INFO flwr 2024-03-13 13:43:42,171 | main.py:51 | Start opening channels
FL-experiment | INFO flwr 2024-03-13 13:49:55,958 | main.py:53 | Done opening channels
FL-experiment | DEBUG flwr 2024-03-13 13:50:01,221 | server.py:149 | File: storage/init_model_6ece3bd8-b251-47a9-8861-d7e3b16d0606.pkl IPFS file hash: QmUpBfFxeGF5cGSzLdbQmPK43coRCsXiJ3h5r1aEa7KHYh
FL-experiment | INFO flwr 2024-03-13 13:50:01,221 | server.py:42 | Start Round=1
FL-experiment | INFO flwr 2024-03-13 13:50:01,221 | server.py:53 | Start sharing model with perun nodes
FL-experiment | INFO flwr 2024-03-13 13:50:01,221 | server.py:56 | PERUN REQUEST: Sharing model with peer_0, REQ=set,peer_0,1,2,0,0,0
FL-experiment | INFO flwr 2024-03-13 13:50:01,237 | server.py:56 | PERUN REQUEST: Sharing model with peer_1, REQ=set,peer_1,1,2,0,0,0
FL-experiment | INFO flwr 2024-03-13 13:50:01,248 | server.py:56 | PERUN REQUEST: Sharing model with peer_2, REQ=set,peer_2,1,2,0,0,0
FL-experiment | INFO flwr 2024-03-13 13:50:01,264 | server.py:56 | PERUN REQUEST: Sharing model with peer_3, REQ=set,peer_3,1,2,0,0,0
FL-experiment | INFO flwr 2024-03-13 13:50:01,274 | server.py:56 | PERUN REQUEST: Sharing model with peer_4, REQ=set,peer_4,1,2,0,0,0
FL-experiment | INFO flwr 2024-03-13 13:50:01,277 | server.py:56 | PERUN REQUEST: Sharing model with peer_5, REQ=set,peer_5,1,2,0,0,0
FL-experiment | INFO flwr 2024-03-13 13:50:01,281 | server.py:56 | PERUN REQUEST: Sharing model with peer_6, REQ=set,peer_6,1,2,0,0,0
FL-experiment | INFO flwr 2024-03-13 13:50:01,284 | server.py:56 | PERUN REQUEST: Sharing model with peer_7, REQ=set,peer_7,1,2,0,0,0
FL-experiment | INFO flwr 2024-03-13 13:50:01,289 | server.py:56 | PERUN REQUEST: Sharing model with peer_8, REQ=set,peer_8,1,2,0,0,0
