FL-experiment | INFO flwr 2024-03-07 03:41:13,761 | main.py:37 | Config: INCENTIVES_ON=True, IPFS_ON=True, NUM_CLIENTS=5, NUM_ROUNDS=2
FL-experiment | INFO flwr 2024-03-07 03:41:13,761 | main.py:38 | Start Experiment
FL-experiment | INFO flwr 2024-03-07 03:41:13,761 | main.py:44 | Start opening channels
FL-experiment | INFO flwr 2024-03-07 03:42:28,501 | main.py:46 | Done opening channels
FL-experiment | DEBUG flwr 2024-03-07 03:42:29,366 | server.py:111 | File: storage/init_model_d77c4827-8107-4a4f-a4aa-b0cf2a659213.pkl IPFS file hash: QmQFKFA74GJ4t1xwQFx25HbpT7ZmuyE3MBpoxRu1hZyuaS
FL-experiment | INFO flwr 2024-03-07 03:42:29,366 | server.py:35 | Start Round=1
FL-experiment | INFO flwr 2024-03-07 03:42:29,366 | server.py:42 | Start sharing model with perun nodes
FL-experiment | INFO flwr 2024-03-07 03:42:29,366 | server.py:45 | PERUN REQUEST: Sharing model with peer_0, REQ=set,peer_0,1,2,0,0,0
FL-experiment | INFO flwr 2024-03-07 03:42:29,368 | server.py:45 | PERUN REQUEST: Sharing model with peer_1, REQ=set,peer_1,1,2,0,0,0
FL-experiment | INFO flwr 2024-03-07 03:42:29,370 | server.py:45 | PERUN REQUEST: Sharing model with peer_2, REQ=set,peer_2,1,2,0,0,0
FL-experiment | INFO flwr 2024-03-07 03:42:29,372 | server.py:45 | PERUN REQUEST: Sharing model with peer_3, REQ=set,peer_3,1,2,0,0,0
FL-experiment | INFO flwr 2024-03-07 03:42:29,373 | server.py:45 | PERUN REQUEST: Sharing model with peer_4, REQ=set,peer_4,1,2,0,0,0
FL-experiment | INFO flwr 2024-03-07 03:42:29,375 | server.py:48 | Done sharing model with perun nodes
FL-experiment | INFO flwr 2024-03-07 03:42:29,375 | app.py:163 | Starting Flower server, config: ServerConfig(num_rounds=2, round_timeout=None)
FL-experiment | INFO flwr 2024-03-07 03:42:29,388 | app.py:176 | Flower ECE: gRPC server running (2 rounds), SSL is disabled
FL-experiment | INFO flwr 2024-03-07 03:42:29,388 | server.py:89 | Initializing global parameters
FL-experiment | INFO flwr 2024-03-07 03:42:29,388 | server.py:276 | Requesting initial parameters from one random client
FL-experiment | INFO flwr 2024-03-07 03:42:39,137 | grpc.py:52 | Opened insecure gRPC connection (no certificates were passed)
FL-experiment | DEBUG flwr 2024-03-07 03:42:39,138 | connection.py:42 | ChannelConnectivity.IDLE
FL-experiment | DEBUG flwr 2024-03-07 03:42:39,139 | connection.py:42 | ChannelConnectivity.READY
FL-experiment | INFO flwr 2024-03-07 03:42:39,141 | server.py:280 | Received initial parameters from one random client
FL-experiment | INFO flwr 2024-03-07 03:42:39,141 | server.py:91 | Evaluating initial parameters
FL-experiment | INFO flwr 2024-03-07 03:42:39,141 | server.py:104 | FL starting
FL-experiment | INFO flwr 2024-03-07 03:42:39,538 | grpc.py:52 | Opened insecure gRPC connection (no certificates were passed)
FL-experiment | DEBUG flwr 2024-03-07 03:42:39,539 | connection.py:42 | ChannelConnectivity.IDLE
FL-experiment | DEBUG flwr 2024-03-07 03:42:39,539 | connection.py:42 | ChannelConnectivity.CONNECTING
FL-experiment | DEBUG flwr 2024-03-07 03:42:39,539 | connection.py:42 | ChannelConnectivity.READY
FL-experiment | INFO flwr 2024-03-07 03:42:40,135 | grpc.py:52 | Opened insecure gRPC connection (no certificates were passed)
FL-experiment | DEBUG flwr 2024-03-07 03:42:40,135 | connection.py:42 | ChannelConnectivity.IDLE
FL-experiment | DEBUG flwr 2024-03-07 03:42:40,136 | connection.py:42 | ChannelConnectivity.READY
FL-experiment | INFO flwr 2024-03-07 03:42:40,905 | grpc.py:52 | Opened insecure gRPC connection (no certificates were passed)
FL-experiment | DEBUG flwr 2024-03-07 03:42:40,912 | connection.py:42 | ChannelConnectivity.IDLE
FL-experiment | DEBUG flwr 2024-03-07 03:42:40,913 | connection.py:42 | ChannelConnectivity.CONNECTING
FL-experiment | DEBUG flwr 2024-03-07 03:42:40,913 | connection.py:42 | ChannelConnectivity.READY
FL-experiment | INFO flwr 2024-03-07 03:42:41,181 | grpc.py:52 | Opened insecure gRPC connection (no certificates were passed)
FL-experiment | DEBUG flwr 2024-03-07 03:42:41,182 | connection.py:42 | ChannelConnectivity.IDLE
FL-experiment | DEBUG flwr 2024-03-07 03:42:41,183 | server.py:222 | fit_round 1: strategy sampled 5 clients (out of 5)
FL-experiment | INFO flwr 2024-03-07 03:42:41,186 | client.py:126 | Start Training client=2
FL-experiment | INFO flwr 2024-03-07 03:42:41,186 | client.py:126 | Start Training client=1
FL-experiment | INFO flwr 2024-03-07 03:42:41,187 | client.py:126 | Start Training client=0
FL-experiment | INFO flwr 2024-03-07 03:42:41,187 | client.py:126 | Start Training client=3
FL-experiment | DEBUG flwr 2024-03-07 03:42:41,188 | connection.py:42 | ChannelConnectivity.READY
FL-experiment | INFO flwr 2024-03-07 03:42:41,192 | client.py:126 | Start Training client=4
FL-experiment | DEBUG flwr 2024-03-07 03:43:09,204 | client.py:137 | File: storage/updated_weights_2_aaf2f613-812c-491a-9e73-5cb0efec1f22.pkl IPFS file hash: QmUZ66z9M2tzMuxrZwEbLdCKhxYZUpZBC45MYpmVzJFF1c
FL-experiment | INFO flwr 2024-03-07 03:43:09,204 | client.py:139 | Start sending updated weights to the perun node (client=2)
FL-experiment | INFO flwr 2024-03-07 03:43:09,204 | client.py:142 | PERUN REQUEST: Setting weight client=2, REQ=set,peer_5,1,2,10,0,0
FL-experiment | INFO flwr 2024-03-07 03:43:09,211 | client.py:144 | Done sending updated weights to the perun node (client=2)
FL-experiment | INFO flwr 2024-03-07 03:43:09,212 | client.py:147 | Done Training client=2
FL-experiment | DEBUG flwr 2024-03-07 03:43:09,325 | client.py:137 | File: storage/updated_weights_0_950fa151-34a3-4960-9b10-b44f1d3c87df.pkl IPFS file hash: Qmdbv9woHAE222uVEX8tohxZR21mpmg51bQFkTM8oVX362
FL-experiment | INFO flwr 2024-03-07 03:43:09,325 | client.py:139 | Start sending updated weights to the perun node (client=0)
FL-experiment | INFO flwr 2024-03-07 03:43:09,325 | client.py:142 | PERUN REQUEST: Setting weight client=0, REQ=set,peer_5,1,2,10,0,0
FL-experiment | INFO flwr 2024-03-07 03:43:09,331 | client.py:144 | Done sending updated weights to the perun node (client=0)
FL-experiment | INFO flwr 2024-03-07 03:43:09,331 | client.py:147 | Done Training client=0
FL-experiment | DEBUG flwr 2024-03-07 03:43:09,349 | client.py:137 | File: storage/updated_weights_1_e0b5ffc2-f4cd-438e-9e1f-fb247530a094.pkl IPFS file hash: Qmb6XTwBiqF5fTf7groH4ePz5eUQpjaA5mZYbVr7Q1hWXv
FL-experiment | INFO flwr 2024-03-07 03:43:09,349 | client.py:139 | Start sending updated weights to the perun node (client=1)
