FL-experiment | INFO flwr 2024-03-12 12:42:54,328 | main.py:40 | Config: INCENTIVES_ON=True, BCFL=False, IPFS_ON=True, NUM_CLIENTS=25, NUM_ROUNDS=3,
FL-experiment | INFO flwr 2024-03-12 12:42:54,328 | main.py:41 | Start Experiment
FL-experiment | INFO flwr 2024-03-12 12:42:54,328 | main.py:51 | Start opening channels
FL-experiment | INFO flwr 2024-03-12 12:49:05,521 | main.py:53 | Done opening channels
FL-experiment | DEBUG flwr 2024-03-12 12:49:06,975 | server.py:149 | File: storage/init_model_4234b38d-be27-472f-b71e-3e050ec34047.pkl IPFS file hash: QmNq6QtfkNiCwrnTh4r2vyVk6UVvQfUfqwZfUKAVqhveUr
FL-experiment | INFO flwr 2024-03-12 12:49:06,975 | server.py:42 | Start Round=1
FL-experiment | INFO flwr 2024-03-12 12:49:06,975 | server.py:53 | Start sharing model with perun nodes
FL-experiment | INFO flwr 2024-03-12 12:49:06,975 | server.py:56 | PERUN REQUEST: Sharing model with peer_0, REQ=set,peer_0,1,3,0,0,0
FL-experiment | INFO flwr 2024-03-12 12:49:06,991 | server.py:56 | PERUN REQUEST: Sharing model with peer_1, REQ=set,peer_1,1,3,0,0,0
FL-experiment | INFO flwr 2024-03-12 12:49:06,999 | server.py:56 | PERUN REQUEST: Sharing model with peer_2, REQ=set,peer_2,1,3,0,0,0
FL-experiment | INFO flwr 2024-03-12 12:49:07,003 | server.py:56 | PERUN REQUEST: Sharing model with peer_3, REQ=set,peer_3,1,3,0,0,0
FL-experiment | INFO flwr 2024-03-12 12:49:07,006 | server.py:56 | PERUN REQUEST: Sharing model with peer_4, REQ=set,peer_4,1,3,0,0,0
FL-experiment | INFO flwr 2024-03-12 12:49:07,009 | server.py:56 | PERUN REQUEST: Sharing model with peer_5, REQ=set,peer_5,1,3,0,0,0
FL-experiment | INFO flwr 2024-03-12 12:49:07,013 | server.py:56 | PERUN REQUEST: Sharing model with peer_6, REQ=set,peer_6,1,3,0,0,0
FL-experiment | INFO flwr 2024-03-12 12:49:07,016 | server.py:56 | PERUN REQUEST: Sharing model with peer_7, REQ=set,peer_7,1,3,0,0,0
FL-experiment | INFO flwr 2024-03-12 12:49:07,019 | server.py:56 | PERUN REQUEST: Sharing model with peer_8, REQ=set,peer_8,1,3,0,0,0
FL-experiment | INFO flwr 2024-03-12 12:49:07,023 | server.py:56 | PERUN REQUEST: Sharing model with peer_9, REQ=set,peer_9,1,3,0,0,0
FL-experiment | INFO flwr 2024-03-12 12:49:07,027 | server.py:56 | PERUN REQUEST: Sharing model with peer_10, REQ=set,peer_10,1,3,0,0,0
FL-experiment | INFO flwr 2024-03-12 12:49:07,031 | server.py:56 | PERUN REQUEST: Sharing model with peer_11, REQ=set,peer_11,1,3,0,0,0
FL-experiment | INFO flwr 2024-03-12 12:49:07,034 | server.py:56 | PERUN REQUEST: Sharing model with peer_12, REQ=set,peer_12,1,3,0,0,0
FL-experiment | INFO flwr 2024-03-12 12:49:07,038 | server.py:56 | PERUN REQUEST: Sharing model with peer_13, REQ=set,peer_13,1,3,0,0,0
FL-experiment | INFO flwr 2024-03-12 12:49:07,042 | server.py:56 | PERUN REQUEST: Sharing model with peer_14, REQ=set,peer_14,1,3,0,0,0
FL-experiment | INFO flwr 2024-03-12 12:49:07,045 | server.py:56 | PERUN REQUEST: Sharing model with peer_15, REQ=set,peer_15,1,3,0,0,0
FL-experiment | INFO flwr 2024-03-12 12:49:07,049 | server.py:56 | PERUN REQUEST: Sharing model with peer_16, REQ=set,peer_16,1,3,0,0,0
FL-experiment | INFO flwr 2024-03-12 12:49:07,053 | server.py:56 | PERUN REQUEST: Sharing model with peer_17, REQ=set,peer_17,1,3,0,0,0
FL-experiment | INFO flwr 2024-03-12 12:49:07,056 | server.py:56 | PERUN REQUEST: Sharing model with peer_18, REQ=set,peer_18,1,3,0,0,0
FL-experiment | INFO flwr 2024-03-12 12:49:07,061 | server.py:56 | PERUN REQUEST: Sharing model with peer_19, REQ=set,peer_19,1,3,0,0,0
FL-experiment | INFO flwr 2024-03-12 12:49:07,065 | server.py:56 | PERUN REQUEST: Sharing model with peer_20, REQ=set,peer_20,1,3,0,0,0
FL-experiment | INFO flwr 2024-03-12 12:49:07,068 | server.py:56 | PERUN REQUEST: Sharing model with peer_21, REQ=set,peer_21,1,3,0,0,0
FL-experiment | INFO flwr 2024-03-12 12:49:07,072 | server.py:56 | PERUN REQUEST: Sharing model with peer_22, REQ=set,peer_22,1,3,0,0,0
FL-experiment | INFO flwr 2024-03-12 12:49:07,076 | server.py:56 | PERUN REQUEST: Sharing model with peer_23, REQ=set,peer_23,1,3,0,0,0
FL-experiment | INFO flwr 2024-03-12 12:49:07,079 | server.py:56 | PERUN REQUEST: Sharing model with peer_24, REQ=set,peer_24,1,3,0,0,0
FL-experiment | INFO flwr 2024-03-12 12:49:07,083 | server.py:59 | Done sharing model with perun nodes
FL-experiment | INFO flwr 2024-03-12 12:49:07,083 | app.py:163 | Starting Flower server, config: ServerConfig(num_rounds=3, round_timeout=None)
FL-experiment | INFO flwr 2024-03-12 12:49:07,103 | app.py:176 | Flower ECE: gRPC server running (3 rounds), SSL is disabled
FL-experiment | INFO flwr 2024-03-12 12:49:07,104 | server.py:89 | Initializing global parameters
FL-experiment | INFO flwr 2024-03-12 12:49:07,104 | server.py:276 | Requesting initial parameters from one random client
FL-experiment | INFO flwr 2024-03-12 12:49:18,192 | grpc.py:52 | Opened insecure gRPC connection (no certificates were passed)
