FL-experiment | INFO flwr 2024-03-07 15:21:55,341 | main.py:37 | Config: INCENTIVES_ON=True, IPFS_ON=True, NUM_CLIENTS=10, NUM_ROUNDS=2
FL-experiment | INFO flwr 2024-03-07 15:21:55,341 | main.py:38 | Start Experiment
FL-experiment | INFO flwr 2024-03-07 15:21:55,341 | main.py:44 | Start opening channels
FL-experiment | INFO flwr 2024-03-07 15:24:22,305 | main.py:46 | Done opening channels
FL-experiment | DEBUG flwr 2024-03-07 15:24:25,220 | server.py:111 | File: storage/init_model_80137199-3a10-4d8e-b000-73aad17b72ca.pkl IPFS file hash: QmWriHvoRq9ZuK7xoMTjBryffGXXCbyEBPbCPhBhJ83GiK
FL-experiment | INFO flwr 2024-03-07 15:24:25,220 | server.py:35 | Start Round=1
FL-experiment | INFO flwr 2024-03-07 15:24:25,220 | server.py:42 | Start sharing model with perun nodes
FL-experiment | INFO flwr 2024-03-07 15:24:25,220 | server.py:45 | PERUN REQUEST: Sharing model with peer_0, REQ=set,peer_0,1,2,0,0,0
FL-experiment | INFO flwr 2024-03-07 15:24:25,237 | server.py:45 | PERUN REQUEST: Sharing model with peer_1, REQ=set,peer_1,1,2,0,0,0
FL-experiment | INFO flwr 2024-03-07 15:24:25,245 | server.py:45 | PERUN REQUEST: Sharing model with peer_2, REQ=set,peer_2,1,2,0,0,0
FL-experiment | INFO flwr 2024-03-07 15:24:25,253 | server.py:45 | PERUN REQUEST: Sharing model with peer_3, REQ=set,peer_3,1,2,0,0,0
FL-experiment | INFO flwr 2024-03-07 15:24:25,258 | server.py:45 | PERUN REQUEST: Sharing model with peer_4, REQ=set,peer_4,1,2,0,0,0
FL-experiment | INFO flwr 2024-03-07 15:24:25,261 | server.py:45 | PERUN REQUEST: Sharing model with peer_5, REQ=set,peer_5,1,2,0,0,0
FL-experiment | INFO flwr 2024-03-07 15:24:25,264 | server.py:45 | PERUN REQUEST: Sharing model with peer_6, REQ=set,peer_6,1,2,0,0,0
FL-experiment | INFO flwr 2024-03-07 15:24:25,268 | server.py:45 | PERUN REQUEST: Sharing model with peer_7, REQ=set,peer_7,1,2,0,0,0
FL-experiment | INFO flwr 2024-03-07 15:24:25,271 | server.py:45 | PERUN REQUEST: Sharing model with peer_8, REQ=set,peer_8,1,2,0,0,0
FL-experiment | INFO flwr 2024-03-07 15:24:25,274 | server.py:45 | PERUN REQUEST: Sharing model with peer_9, REQ=set,peer_9,1,2,0,0,0
FL-experiment | INFO flwr 2024-03-07 15:24:25,277 | server.py:48 | Done sharing model with perun nodes
FL-experiment | INFO flwr 2024-03-07 15:24:25,278 | app.py:163 | Starting Flower server, config: ServerConfig(num_rounds=2, round_timeout=None)
FL-experiment | INFO flwr 2024-03-07 15:24:25,292 | app.py:176 | Flower ECE: gRPC server running (2 rounds), SSL is disabled
FL-experiment | INFO flwr 2024-03-07 15:24:25,292 | server.py:89 | Initializing global parameters
FL-experiment | INFO flwr 2024-03-07 15:24:25,292 | server.py:276 | Requesting initial parameters from one random client
FL-experiment | INFO flwr 2024-03-07 15:24:35,700 | grpc.py:52 | Opened insecure gRPC connection (no certificates were passed)
FL-experiment | INFO flwr 2024-03-07 15:24:35,701 | grpc.py:52 | Opened insecure gRPC connection (no certificates were passed)
FL-experiment | DEBUG flwr 2024-03-07 15:24:35,704 | connection.py:42 | ChannelConnectivity.IDLE
FL-experiment | INFO flwr 2024-03-07 15:24:35,708 | grpc.py:52 | Opened insecure gRPC connection (no certificates were passed)
FL-experiment | INFO flwr 2024-03-07 15:24:35,712 | grpc.py:52 | Opened insecure gRPC connection (no certificates were passed)
FL-experiment | DEBUG flwr 2024-03-07 15:24:35,715 | connection.py:42 | ChannelConnectivity.IDLE
FL-experiment | DEBUG flwr 2024-03-07 15:24:35,717 | connection.py:42 | ChannelConnectivity.CONNECTING
