FL-experiment | INFO flwr 2024-03-12 11:30:14,109 | main.py:40 | Config: INCENTIVES_ON=True, BCFL=False, IPFS_ON=True, NUM_CLIENTS=25, NUM_ROUNDS=1,
FL-experiment | INFO flwr 2024-03-12 11:30:14,109 | main.py:41 | Start Experiment
FL-experiment | INFO flwr 2024-03-12 11:30:14,109 | main.py:51 | Start opening channels
FL-experiment | INFO flwr 2024-03-12 11:36:29,977 | main.py:53 | Done opening channels
FL-experiment | DEBUG flwr 2024-03-12 11:36:31,729 | server.py:149 | File: storage/init_model_a9416200-9416-46ee-93b0-a0be35c9ba81.pkl IPFS file hash: QmNbgnz5iGhVkGkAGJT6xydasiwpuMC7hgCZZ5PbhMUaLw
FL-experiment | INFO flwr 2024-03-12 11:36:31,730 | server.py:42 | Start Round=1
FL-experiment | INFO flwr 2024-03-12 11:36:31,730 | server.py:53 | Start sharing model with perun nodes
FL-experiment | INFO flwr 2024-03-12 11:36:31,730 | server.py:56 | PERUN REQUEST: Sharing model with peer_0, REQ=set,peer_0,1,1,0,0,0
FL-experiment | INFO flwr 2024-03-12 11:36:31,734 | server.py:56 | PERUN REQUEST: Sharing model with peer_1, REQ=set,peer_1,1,1,0,0,0
FL-experiment | INFO flwr 2024-03-12 11:36:31,738 | server.py:56 | PERUN REQUEST: Sharing model with peer_2, REQ=set,peer_2,1,1,0,0,0
FL-experiment | INFO flwr 2024-03-12 11:36:31,741 | server.py:56 | PERUN REQUEST: Sharing model with peer_3, REQ=set,peer_3,1,1,0,0,0
FL-experiment | INFO flwr 2024-03-12 11:36:31,752 | server.py:56 | PERUN REQUEST: Sharing model with peer_4, REQ=set,peer_4,1,1,0,0,0
FL-experiment | INFO flwr 2024-03-12 11:36:31,757 | server.py:56 | PERUN REQUEST: Sharing model with peer_5, REQ=set,peer_5,1,1,0,0,0
FL-experiment | INFO flwr 2024-03-12 11:36:31,760 | server.py:56 | PERUN REQUEST: Sharing model with peer_6, REQ=set,peer_6,1,1,0,0,0
FL-experiment | INFO flwr 2024-03-12 11:36:31,763 | server.py:56 | PERUN REQUEST: Sharing model with peer_7, REQ=set,peer_7,1,1,0,0,0
FL-experiment | INFO flwr 2024-03-12 11:36:31,767 | server.py:56 | PERUN REQUEST: Sharing model with peer_8, REQ=set,peer_8,1,1,0,0,0
FL-experiment | INFO flwr 2024-03-12 11:36:31,770 | server.py:56 | PERUN REQUEST: Sharing model with peer_9, REQ=set,peer_9,1,1,0,0,0
FL-experiment | INFO flwr 2024-03-12 11:36:31,774 | server.py:56 | PERUN REQUEST: Sharing model with peer_10, REQ=set,peer_10,1,1,0,0,0
FL-experiment | INFO flwr 2024-03-12 11:36:31,777 | server.py:56 | PERUN REQUEST: Sharing model with peer_11, REQ=set,peer_11,1,1,0,0,0
FL-experiment | INFO flwr 2024-03-12 11:36:31,780 | server.py:56 | PERUN REQUEST: Sharing model with peer_12, REQ=set,peer_12,1,1,0,0,0
FL-experiment | INFO flwr 2024-03-12 11:36:31,783 | server.py:56 | PERUN REQUEST: Sharing model with peer_13, REQ=set,peer_13,1,1,0,0,0
FL-experiment | INFO flwr 2024-03-12 11:36:31,787 | server.py:56 | PERUN REQUEST: Sharing model with peer_14, REQ=set,peer_14,1,1,0,0,0
FL-experiment | INFO flwr 2024-03-12 11:36:31,790 | server.py:56 | PERUN REQUEST: Sharing model with peer_15, REQ=set,peer_15,1,1,0,0,0
FL-experiment | INFO flwr 2024-03-12 11:36:31,793 | server.py:56 | PERUN REQUEST: Sharing model with peer_16, REQ=set,peer_16,1,1,0,0,0
FL-experiment | INFO flwr 2024-03-12 11:36:31,797 | server.py:56 | PERUN REQUEST: Sharing model with peer_17, REQ=set,peer_17,1,1,0,0,0
FL-experiment | INFO flwr 2024-03-12 11:36:31,800 | server.py:56 | PERUN REQUEST: Sharing model with peer_18, REQ=set,peer_18,1,1,0,0,0
FL-experiment | INFO flwr 2024-03-12 11:36:31,804 | server.py:56 | PERUN REQUEST: Sharing model with peer_19, REQ=set,peer_19,1,1,0,0,0
FL-experiment | INFO flwr 2024-03-12 11:36:31,808 | server.py:56 | PERUN REQUEST: Sharing model with peer_20, REQ=set,peer_20,1,1,0,0,0
FL-experiment | INFO flwr 2024-03-12 11:36:31,812 | server.py:56 | PERUN REQUEST: Sharing model with peer_21, REQ=set,peer_21,1,1,0,0,0
FL-experiment | INFO flwr 2024-03-12 11:36:31,816 | server.py:56 | PERUN REQUEST: Sharing model with peer_22, REQ=set,peer_22,1,1,0,0,0
FL-experiment | INFO flwr 2024-03-12 11:36:31,820 | server.py:56 | PERUN REQUEST: Sharing model with peer_23, REQ=set,peer_23,1,1,0,0,0
FL-experiment | INFO flwr 2024-03-12 11:36:31,824 | server.py:56 | PERUN REQUEST: Sharing model with peer_24, REQ=set,peer_24,1,1,0,0,0
FL-experiment | INFO flwr 2024-03-12 11:36:31,828 | server.py:59 | Done sharing model with perun nodes
FL-experiment | INFO flwr 2024-03-12 11:36:31,829 | app.py:163 | Starting Flower server, config: ServerConfig(num_rounds=1, round_timeout=None)
FL-experiment | INFO flwr 2024-03-12 11:36:31,853 | app.py:176 | Flower ECE: gRPC server running (1 rounds), SSL is disabled
FL-experiment | INFO flwr 2024-03-12 11:36:31,853 | server.py:89 | Initializing global parameters
FL-experiment | INFO flwr 2024-03-12 11:36:31,853 | server.py:276 | Requesting initial parameters from one random client
FL-experiment | INFO flwr 2024-03-12 11:36:43,802 | grpc.py:52 | Opened insecure gRPC connection (no certificates were passed)
FL-experiment | DEBUG flwr 2024-03-12 11:36:43,837 | connection.py:42 | ChannelConnectivity.IDLE
FL-experiment | DEBUG flwr 2024-03-12 11:36:43,839 | connection.py:42 | ChannelConnectivity.CONNECTING
FL-experiment | DEBUG flwr 2024-03-12 11:36:43,841 | connection.py:42 | ChannelConnectivity.READY
FL-experiment | INFO flwr 2024-03-12 11:36:43,875 | server.py:280 | Received initial parameters from one random client
FL-experiment | INFO flwr 2024-03-12 11:36:43,876 | server.py:91 | Evaluating initial parameters
FL-experiment | INFO flwr 2024-03-12 11:36:43,876 | server.py:104 | FL starting
FL-experiment | INFO flwr 2024-03-12 11:36:43,915 | grpc.py:52 | Opened insecure gRPC connection (no certificates were passed)
FL-experiment | DEBUG flwr 2024-03-12 11:36:43,916 | connection.py:42 | ChannelConnectivity.IDLE
FL-experiment | DEBUG flwr 2024-03-12 11:36:43,916 | connection.py:42 | ChannelConnectivity.CONNECTING
FL-experiment | DEBUG flwr 2024-03-12 11:36:43,916 | connection.py:42 | ChannelConnectivity.READY
FL-experiment | INFO flwr 2024-03-12 11:36:44,459 | grpc.py:52 | Opened insecure gRPC connection (no certificates were passed)
FL-experiment | DEBUG flwr 2024-03-12 11:36:44,501 | connection.py:42 | ChannelConnectivity.IDLE
FL-experiment | DEBUG flwr 2024-03-12 11:36:44,512 | connection.py:42 | ChannelConnectivity.CONNECTING
FL-experiment | DEBUG flwr 2024-03-12 11:36:44,512 | connection.py:42 | ChannelConnectivity.READY
FL-experiment | INFO flwr 2024-03-12 11:36:44,722 | grpc.py:52 | Opened insecure gRPC connection (no certificates were passed)
FL-experiment | DEBUG flwr 2024-03-12 11:36:44,723 | connection.py:42 | ChannelConnectivity.IDLE
FL-experiment | DEBUG flwr 2024-03-12 11:36:44,723 | connection.py:42 | ChannelConnectivity.CONNECTING
FL-experiment | DEBUG flwr 2024-03-12 11:36:44,723 | connection.py:42 | ChannelConnectivity.READY
FL-experiment | INFO flwr 2024-03-12 11:36:44,747 | grpc.py:52 | Opened insecure gRPC connection (no certificates were passed)
FL-experiment | DEBUG flwr 2024-03-12 11:36:44,777 | connection.py:42 | ChannelConnectivity.IDLE
FL-experiment | DEBUG flwr 2024-03-12 11:36:44,777 | connection.py:42 | ChannelConnectivity.CONNECTING
FL-experiment | DEBUG flwr 2024-03-12 11:36:44,777 | connection.py:42 | ChannelConnectivity.READY
FL-experiment | INFO flwr 2024-03-12 11:36:44,928 | grpc.py:52 | Opened insecure gRPC connection (no certificates were passed)
FL-experiment | INFO flwr 2024-03-12 11:36:44,938 | grpc.py:52 | Opened insecure gRPC connection (no certificates were passed)
FL-experiment | DEBUG flwr 2024-03-12 11:36:44,938 | connection.py:42 | ChannelConnectivity.IDLE
FL-experiment | INFO flwr 2024-03-12 11:36:44,950 | grpc.py:52 | Opened insecure gRPC connection (no certificates were passed)
FL-experiment | DEBUG flwr 2024-03-12 11:36:45,048 | connection.py:42 | ChannelConnectivity.IDLE
FL-experiment | DEBUG flwr 2024-03-12 11:36:45,071 | connection.py:42 | ChannelConnectivity.IDLE
FL-experiment | INFO flwr 2024-03-12 11:36:45,088 | grpc.py:52 | Opened insecure gRPC connection (no certificates were passed)
FL-experiment | DEBUG flwr 2024-03-12 11:36:45,090 | connection.py:42 | ChannelConnectivity.CONNECTING
FL-experiment | DEBUG flwr 2024-03-12 11:36:45,090 | connection.py:42 | ChannelConnectivity.READY
FL-experiment | DEBUG flwr 2024-03-12 11:36:45,092 | connection.py:42 | ChannelConnectivity.IDLE
FL-experiment | DEBUG flwr 2024-03-12 11:36:45,093 | connection.py:42 | ChannelConnectivity.CONNECTING
FL-experiment | DEBUG flwr 2024-03-12 11:36:45,093 | connection.py:42 | ChannelConnectivity.READY
FL-experiment | DEBUG flwr 2024-03-12 11:36:45,099 | connection.py:42 | ChannelConnectivity.CONNECTING
FL-experiment | DEBUG flwr 2024-03-12 11:36:45,099 | connection.py:42 | ChannelConnectivity.READY
FL-experiment | DEBUG flwr 2024-03-12 11:36:45,100 | connection.py:42 | ChannelConnectivity.READY
FL-experiment | INFO flwr 2024-03-12 11:36:45,184 | grpc.py:52 | Opened insecure gRPC connection (no certificates were passed)
FL-experiment | DEBUG flwr 2024-03-12 11:36:45,210 | connection.py:42 | ChannelConnectivity.IDLE
FL-experiment | DEBUG flwr 2024-03-12 11:36:45,210 | connection.py:42 | ChannelConnectivity.READY
FL-experiment | INFO flwr 2024-03-12 11:36:45,283 | grpc.py:52 | Opened insecure gRPC connection (no certificates were passed)
FL-experiment | DEBUG flwr 2024-03-12 11:36:45,284 | connection.py:42 | ChannelConnectivity.IDLE
FL-experiment | DEBUG flwr 2024-03-12 11:36:45,286 | connection.py:42 | ChannelConnectivity.CONNECTING
FL-experiment | DEBUG flwr 2024-03-12 11:36:45,286 | connection.py:42 | ChannelConnectivity.READY
FL-experiment | INFO flwr 2024-03-12 11:36:45,332 | grpc.py:52 | Opened insecure gRPC connection (no certificates were passed)
FL-experiment | INFO flwr 2024-03-12 11:36:45,358 | grpc.py:52 | Opened insecure gRPC connection (no certificates were passed)
FL-experiment | DEBUG flwr 2024-03-12 11:36:45,362 | connection.py:42 | ChannelConnectivity.IDLE
FL-experiment | DEBUG flwr 2024-03-12 11:36:45,370 | connection.py:42 | ChannelConnectivity.READY
FL-experiment | INFO flwr 2024-03-12 11:36:45,393 | grpc.py:52 | Opened insecure gRPC connection (no certificates were passed)
FL-experiment | DEBUG flwr 2024-03-12 11:36:45,396 | connection.py:42 | ChannelConnectivity.IDLE
FL-experiment | DEBUG flwr 2024-03-12 11:36:45,400 | connection.py:42 | ChannelConnectivity.CONNECTING
FL-experiment | DEBUG flwr 2024-03-12 11:36:45,402 | connection.py:42 | ChannelConnectivity.READY
FL-experiment | DEBUG flwr 2024-03-12 11:36:45,410 | connection.py:42 | ChannelConnectivity.IDLE
FL-experiment | DEBUG flwr 2024-03-12 11:36:45,419 | connection.py:42 | ChannelConnectivity.READY
FL-experiment | INFO flwr 2024-03-12 11:36:45,437 | grpc.py:52 | Opened insecure gRPC connection (no certificates were passed)
