FL-experiment | INFO flwr 2024-04-24 16:07:05,985 | main.py:43 | Config: INCENTIVES_ON=False, BCFL=False, IPFS_ON=False, NUM_CLIENTS=50, NUM_ROUNDS=1,
FL-experiment | INFO flwr 2024-04-24 16:07:05,985 | main.py:44 | Start Experiment
FL-experiment | INFO flwr 2024-04-24 16:07:07,613 | server.py:38 | Start Round=1
FL-experiment | INFO flwr 2024-04-24 16:07:07,614 | app.py:163 | Starting Flower server, config: ServerConfig(num_rounds=1, round_timeout=None)
FL-experiment | INFO flwr 2024-04-24 16:07:07,626 | app.py:176 | Flower ECE: gRPC server running (1 rounds), SSL is disabled
FL-experiment | INFO flwr 2024-04-24 16:07:07,627 | server.py:89 | Initializing global parameters
FL-experiment | INFO flwr 2024-04-24 16:07:07,627 | server.py:276 | Requesting initial parameters from one random client
FL-experiment | INFO flwr 2024-04-24 16:07:26,107 | grpc.py:52 | Opened insecure gRPC connection (no certificates were passed)
FL-experiment | DEBUG flwr 2024-04-24 16:07:26,108 | connection.py:42 | ChannelConnectivity.IDLE
FL-experiment | DEBUG flwr 2024-04-24 16:07:26,109 | connection.py:42 | ChannelConnectivity.CONNECTING
FL-experiment | DEBUG flwr 2024-04-24 16:07:26,109 | connection.py:42 | ChannelConnectivity.READY
FL-experiment | INFO flwr 2024-04-24 16:07:26,117 | server.py:280 | Received initial parameters from one random client
FL-experiment | INFO flwr 2024-04-24 16:07:26,117 | server.py:91 | Evaluating initial parameters
FL-experiment | INFO flwr 2024-04-24 16:07:26,118 | server.py:104 | FL starting
FL-experiment | INFO flwr 2024-04-24 16:07:27,657 | grpc.py:52 | Opened insecure gRPC connection (no certificates were passed)
FL-experiment | DEBUG flwr 2024-04-24 16:07:27,658 | connection.py:42 | ChannelConnectivity.IDLE
FL-experiment | DEBUG flwr 2024-04-24 16:07:27,659 | connection.py:42 | ChannelConnectivity.CONNECTING
FL-experiment | DEBUG flwr 2024-04-24 16:07:27,662 | connection.py:42 | ChannelConnectivity.READY
FL-experiment | INFO flwr 2024-04-24 16:07:28,210 | grpc.py:52 | Opened insecure gRPC connection (no certificates were passed)
FL-experiment | DEBUG flwr 2024-04-24 16:07:28,218 | connection.py:42 | ChannelConnectivity.IDLE
FL-experiment | DEBUG flwr 2024-04-24 16:07:28,224 | connection.py:42 | ChannelConnectivity.CONNECTING
FL-experiment | DEBUG flwr 2024-04-24 16:07:28,225 | connection.py:42 | ChannelConnectivity.READY
FL-experiment | INFO flwr 2024-04-24 16:07:28,347 | grpc.py:52 | Opened insecure gRPC connection (no certificates were passed)
FL-experiment | DEBUG flwr 2024-04-24 16:07:28,416 | connection.py:42 | ChannelConnectivity.IDLE
FL-experiment | DEBUG flwr 2024-04-24 16:07:28,417 | connection.py:42 | ChannelConnectivity.CONNECTING
FL-experiment | DEBUG flwr 2024-04-24 16:07:28,418 | connection.py:42 | ChannelConnectivity.READY
FL-experiment | INFO flwr 2024-04-24 16:07:28,709 | grpc.py:52 | Opened insecure gRPC connection (no certificates were passed)
FL-experiment | DEBUG flwr 2024-04-24 16:07:28,710 | connection.py:42 | ChannelConnectivity.IDLE
FL-experiment | DEBUG flwr 2024-04-24 16:07:28,710 | connection.py:42 | ChannelConnectivity.CONNECTING
FL-experiment | DEBUG flwr 2024-04-24 16:07:28,711 | connection.py:42 | ChannelConnectivity.READY
FL-experiment | INFO flwr 2024-04-24 16:07:28,885 | grpc.py:52 | Opened insecure gRPC connection (no certificates were passed)
FL-experiment | DEBUG flwr 2024-04-24 16:07:28,888 | connection.py:42 | ChannelConnectivity.IDLE
FL-experiment | DEBUG flwr 2024-04-24 16:07:28,889 | connection.py:42 | ChannelConnectivity.CONNECTING
FL-experiment | DEBUG flwr 2024-04-24 16:07:28,889 | connection.py:42 | ChannelConnectivity.READY
FL-experiment | INFO flwr 2024-04-24 16:07:28,939 | grpc.py:52 | Opened insecure gRPC connection (no certificates were passed)
