FL-experiment | INFO flwr 2024-03-04 13:31:28,243 | client.py:139 | Start sending updated weights to the perun node (client=9)
FL-experiment | INFO flwr 2024-03-04 13:31:28,243 | client.py:147 | Done Training client=9
FL-experiment | INFO flwr 2024-03-04 13:31:28,282 | client.py:139 | Start sending updated weights to the perun node (client=5)
FL-experiment | INFO flwr 2024-03-04 13:31:28,282 | client.py:147 | Done Training client=5
FL-experiment | INFO flwr 2024-03-04 13:31:28,334 | client.py:139 | Start sending updated weights to the perun node (client=0)
FL-experiment | INFO flwr 2024-03-04 13:31:28,335 | client.py:147 | Done Training client=0
FL-experiment | INFO flwr 2024-03-04 13:31:28,341 | client.py:139 | Start sending updated weights to the perun node (client=6)
FL-experiment | INFO flwr 2024-03-04 13:31:28,341 | client.py:147 | Done Training client=6
FL-experiment | INFO flwr 2024-03-04 13:31:28,391 | client.py:139 | Start sending updated weights to the perun node (client=1)
FL-experiment | INFO flwr 2024-03-04 13:31:28,391 | client.py:147 | Done Training client=1
FL-experiment | INFO flwr 2024-03-04 13:31:28,394 | client.py:139 | Start sending updated weights to the perun node (client=4)
FL-experiment | INFO flwr 2024-03-04 13:31:28,394 | client.py:147 | Done Training client=4
FL-experiment | INFO flwr 2024-03-04 13:31:28,502 | client.py:139 | Start sending updated weights to the perun node (client=3)
FL-experiment | INFO flwr 2024-03-04 13:31:28,502 | client.py:147 | Done Training client=3
FL-experiment | INFO flwr 2024-03-04 13:31:28,523 | client.py:139 | Start sending updated weights to the perun node (client=7)
FL-experiment | INFO flwr 2024-03-04 13:31:28,523 | client.py:147 | Done Training client=7
FL-experiment | INFO flwr 2024-03-04 13:31:28,774 | client.py:139 | Start sending updated weights to the perun node (client=8)
FL-experiment | INFO flwr 2024-03-04 13:31:28,774 | client.py:147 | Done Training client=8
FL-experiment | DEBUG flwr 2024-03-04 13:31:28,776 | server.py:236 | fit_round 1 received 10 results and 0 failures
FL-experiment | INFO flwr 2024-03-04 13:31:28,776 | server.py:52 | Start Aggregating round=1
FL-experiment | WARNING flwr 2024-03-04 13:31:28,785 | fedavg.py:242 | No fit_metrics_aggregation_fn provided
FL-experiment | DEBUG flwr 2024-03-04 13:31:28,786 | server.py:173 | evaluate_round 1: strategy sampled 10 clients (out of 10)
FL-experiment | DEBUG flwr 2024-03-04 13:31:32,341 | server.py:187 | evaluate_round 1 received 10 results and 0 failures
FL-experiment | INFO flwr 2024-03-04 13:31:32,341 | server.py:77 | Start evaluating fit round=1
FL-experiment | INFO flwr 2024-03-04 13:31:32,341 | server.py:79 | Done Evaluating fit round=1
FL-experiment | DEBUG flwr 2024-03-04 13:31:32,341 | server.py:80 | Round: 1, Aggregated accuracy: {'accuracy': 0.2156}, Aggregated loss: 718.0658508300781, IPFS hash: storage/aggregated_model_0874ef14-daa8-4ca1-93d7-c6a6e29c995f.pkl
FL-experiment | INFO flwr 2024-03-04 13:31:32,341 | server.py:95 | Done Aggregating round=1
FL-experiment | INFO flwr 2024-03-04 13:31:32,341 | server.py:96 | Done Round=1
FL-experiment | INFO flwr 2024-03-04 13:31:32,341 | server.py:98 | Start Round=2
