FL-experiment | INFO flwr 2024-03-04 13:28:21,255 | main.py:37 | Config: INCENTIVES_ON=False, IPFS_ON=False, NUM_CLIENTS=10, NUM_ROUNDS=2
FL-experiment | INFO flwr 2024-03-04 13:28:21,255 | main.py:38 | Start Experiment
FL-experiment | INFO flwr 2024-03-04 13:28:22,366 | server.py:35 | Start Round=1
FL-experiment | INFO flwr 2024-03-04 13:28:22,366 | app.py:163 | Starting Flower server, config: ServerConfig(num_rounds=2, round_timeout=None)
FL-experiment | INFO flwr 2024-03-04 13:28:22,377 | app.py:176 | Flower ECE: gRPC server running (2 rounds), SSL is disabled
FL-experiment | INFO flwr 2024-03-04 13:28:22,377 | server.py:89 | Initializing global parameters
FL-experiment | INFO flwr 2024-03-04 13:28:22,377 | server.py:276 | Requesting initial parameters from one random client
FL-experiment | INFO flwr 2024-03-04 13:28:31,233 | grpc.py:52 | Opened insecure gRPC connection (no certificates were passed)
FL-experiment | DEBUG flwr 2024-03-04 13:28:31,246 | connection.py:42 | ChannelConnectivity.IDLE
FL-experiment | DEBUG flwr 2024-03-04 13:28:31,247 | connection.py:42 | ChannelConnectivity.READY
FL-experiment | INFO flwr 2024-03-04 13:28:31,347 | server.py:280 | Received initial parameters from one random client
FL-experiment | INFO flwr 2024-03-04 13:28:31,347 | server.py:91 | Evaluating initial parameters
FL-experiment | INFO flwr 2024-03-04 13:28:31,347 | server.py:104 | FL starting
FL-experiment | INFO flwr 2024-03-04 13:28:31,347 | grpc.py:52 | Opened insecure gRPC connection (no certificates were passed)
FL-experiment | DEBUG flwr 2024-03-04 13:28:31,349 | connection.py:42 | ChannelConnectivity.IDLE
FL-experiment | DEBUG flwr 2024-03-04 13:28:31,350 | connection.py:42 | ChannelConnectivity.CONNECTING
FL-experiment | DEBUG flwr 2024-03-04 13:28:31,351 | connection.py:42 | ChannelConnectivity.READY
FL-experiment | INFO flwr 2024-03-04 13:28:31,450 | grpc.py:52 | Opened insecure gRPC connection (no certificates were passed)
FL-experiment | DEBUG flwr 2024-03-04 13:28:31,451 | connection.py:42 | ChannelConnectivity.IDLE
FL-experiment | INFO flwr 2024-03-04 13:28:31,457 | grpc.py:52 | Opened insecure gRPC connection (no certificates were passed)
FL-experiment | DEBUG flwr 2024-03-04 13:28:31,458 | connection.py:42 | ChannelConnectivity.IDLE
