FL-experiment | INFO flwr 2024-04-23 18:34:00,345 | main.py:43 | Config: INCENTIVES_ON=False, BCFL=False, IPFS_ON=False, NUM_CLIENTS=10, NUM_ROUNDS=10,
FL-experiment | INFO flwr 2024-04-23 18:34:00,345 | main.py:44 | Start Experiment
FL-experiment | INFO flwr 2024-04-23 18:34:01,833 | server.py:38 | Start Round=1
FL-experiment | INFO flwr 2024-04-23 18:34:01,834 | app.py:163 | Starting Flower server, config: ServerConfig(num_rounds=10, round_timeout=None)
FL-experiment | INFO flwr 2024-04-23 18:34:01,851 | app.py:176 | Flower ECE: gRPC server running (10 rounds), SSL is disabled
FL-experiment | INFO flwr 2024-04-23 18:34:01,852 | server.py:89 | Initializing global parameters
FL-experiment | INFO flwr 2024-04-23 18:34:01,852 | server.py:276 | Requesting initial parameters from one random client
FL-experiment | INFO flwr 2024-04-23 18:34:10,300 | grpc.py:52 | Opened insecure gRPC connection (no certificates were passed)
FL-experiment | DEBUG flwr 2024-04-23 18:34:10,301 | connection.py:42 | ChannelConnectivity.IDLE
FL-experiment | DEBUG flwr 2024-04-23 18:34:10,302 | connection.py:42 | ChannelConnectivity.CONNECTING
FL-experiment | DEBUG flwr 2024-04-23 18:34:10,304 | connection.py:42 | ChannelConnectivity.READY
FL-experiment | INFO flwr 2024-04-23 18:34:10,326 | server.py:280 | Received initial parameters from one random client
FL-experiment | INFO flwr 2024-04-23 18:34:10,326 | server.py:91 | Evaluating initial parameters
FL-experiment | INFO flwr 2024-04-23 18:34:10,326 | server.py:104 | FL starting
FL-experiment | INFO flwr 2024-04-23 18:34:10,344 | grpc.py:52 | Opened insecure gRPC connection (no certificates were passed)
FL-experiment | DEBUG flwr 2024-04-23 18:34:10,345 | connection.py:42 | ChannelConnectivity.IDLE
FL-experiment | DEBUG flwr 2024-04-23 18:34:10,346 | connection.py:42 | ChannelConnectivity.CONNECTING
FL-experiment | DEBUG flwr 2024-04-23 18:34:10,346 | connection.py:42 | ChannelConnectivity.READY
FL-experiment | INFO flwr 2024-04-23 18:34:10,471 | grpc.py:52 | Opened insecure gRPC connection (no certificates were passed)
FL-experiment | DEBUG flwr 2024-04-23 18:34:10,479 | connection.py:42 | ChannelConnectivity.IDLE
FL-experiment | DEBUG flwr 2024-04-23 18:34:10,480 | connection.py:42 | ChannelConnectivity.CONNECTING
