FL-experiment | INFO flwr 2024-04-23 23:35:52,412 | main.py:43 | Config: INCENTIVES_ON=False, BCFL=False, IPFS_ON=False, NUM_CLIENTS=25, NUM_ROUNDS=5,
FL-experiment | INFO flwr 2024-04-23 23:35:52,413 | main.py:44 | Start Experiment
FL-experiment | INFO flwr 2024-04-23 23:35:54,138 | server.py:38 | Start Round=1
FL-experiment | INFO flwr 2024-04-23 23:35:54,138 | app.py:163 | Starting Flower server, config: ServerConfig(num_rounds=5, round_timeout=None)
FL-experiment | INFO flwr 2024-04-23 23:35:54,157 | app.py:176 | Flower ECE: gRPC server running (5 rounds), SSL is disabled
FL-experiment | INFO flwr 2024-04-23 23:35:54,157 | server.py:89 | Initializing global parameters
FL-experiment | INFO flwr 2024-04-23 23:35:54,157 | server.py:276 | Requesting initial parameters from one random client
FL-experiment | INFO flwr 2024-04-23 23:36:06,735 | grpc.py:52 | Opened insecure gRPC connection (no certificates were passed)
FL-experiment | DEBUG flwr 2024-04-23 23:36:06,736 | connection.py:42 | ChannelConnectivity.IDLE
FL-experiment | DEBUG flwr 2024-04-23 23:36:06,737 | connection.py:42 | ChannelConnectivity.READY
FL-experiment | INFO flwr 2024-04-23 23:36:06,745 | server.py:280 | Received initial parameters from one random client
FL-experiment | INFO flwr 2024-04-23 23:36:06,746 | server.py:91 | Evaluating initial parameters
FL-experiment | INFO flwr 2024-04-23 23:36:06,746 | server.py:104 | FL starting
FL-experiment | INFO flwr 2024-04-23 23:36:06,833 | grpc.py:52 | Opened insecure gRPC connection (no certificates were passed)
FL-experiment | DEBUG flwr 2024-04-23 23:36:06,834 | connection.py:42 | ChannelConnectivity.IDLE
FL-experiment | DEBUG flwr 2024-04-23 23:36:06,834 | connection.py:42 | ChannelConnectivity.CONNECTING
FL-experiment | DEBUG flwr 2024-04-23 23:36:06,836 | connection.py:42 | ChannelConnectivity.READY
FL-experiment | INFO flwr 2024-04-23 23:36:06,961 | grpc.py:52 | Opened insecure gRPC connection (no certificates were passed)
FL-experiment | DEBUG flwr 2024-04-23 23:36:06,962 | connection.py:42 | ChannelConnectivity.IDLE
FL-experiment | DEBUG flwr 2024-04-23 23:36:06,962 | connection.py:42 | ChannelConnectivity.CONNECTING
FL-experiment | DEBUG flwr 2024-04-23 23:36:06,963 | connection.py:42 | ChannelConnectivity.READY
FL-experiment | INFO flwr 2024-04-23 23:36:07,196 | grpc.py:52 | Opened insecure gRPC connection (no certificates were passed)
FL-experiment | DEBUG flwr 2024-04-23 23:36:07,197 | connection.py:42 | ChannelConnectivity.IDLE
FL-experiment | DEBUG flwr 2024-04-23 23:36:07,218 | connection.py:42 | ChannelConnectivity.CONNECTING
FL-experiment | DEBUG flwr 2024-04-23 23:36:07,244 | connection.py:42 | ChannelConnectivity.READY
FL-experiment | INFO flwr 2024-04-23 23:36:07,301 | grpc.py:52 | Opened insecure gRPC connection (no certificates were passed)
FL-experiment | DEBUG flwr 2024-04-23 23:36:07,369 | connection.py:42 | ChannelConnectivity.IDLE
FL-experiment | DEBUG flwr 2024-04-23 23:36:07,378 | connection.py:42 | ChannelConnectivity.CONNECTING
FL-experiment | DEBUG flwr 2024-04-23 23:36:07,379 | connection.py:42 | ChannelConnectivity.READY
FL-experiment | INFO flwr 2024-04-23 23:36:07,918 | grpc.py:52 | Opened insecure gRPC connection (no certificates were passed)
FL-experiment | DEBUG flwr 2024-04-23 23:36:07,924 | connection.py:42 | ChannelConnectivity.IDLE
FL-experiment | DEBUG flwr 2024-04-23 23:36:07,925 | connection.py:42 | ChannelConnectivity.CONNECTING
FL-experiment | DEBUG flwr 2024-04-23 23:36:07,929 | connection.py:42 | ChannelConnectivity.READY
FL-experiment | INFO flwr 2024-04-23 23:36:07,948 | grpc.py:52 | Opened insecure gRPC connection (no certificates were passed)
FL-experiment | INFO flwr 2024-04-23 23:36:07,965 | grpc.py:52 | Opened insecure gRPC connection (no certificates were passed)
FL-experiment | DEBUG flwr 2024-04-23 23:36:07,968 | connection.py:42 | ChannelConnectivity.IDLE
FL-experiment | INFO flwr 2024-04-23 23:36:07,969 | grpc.py:52 | Opened insecure gRPC connection (no certificates were passed)
FL-experiment | INFO flwr 2024-04-23 23:36:07,969 | grpc.py:52 | Opened insecure gRPC connection (no certificates were passed)
FL-experiment | DEBUG flwr 2024-04-23 23:36:07,974 | connection.py:42 | ChannelConnectivity.READY
FL-experiment | DEBUG flwr 2024-04-23 23:36:07,982 | connection.py:42 | ChannelConnectivity.IDLE
FL-experiment | DEBUG flwr 2024-04-23 23:36:07,987 | connection.py:42 | ChannelConnectivity.IDLE
FL-experiment | DEBUG flwr 2024-04-23 23:36:07,992 | connection.py:42 | ChannelConnectivity.CONNECTING
FL-experiment | DEBUG flwr 2024-04-23 23:36:07,993 | connection.py:42 | ChannelConnectivity.CONNECTING
FL-experiment | DEBUG flwr 2024-04-23 23:36:07,993 | connection.py:42 | ChannelConnectivity.READY
FL-experiment | DEBUG flwr 2024-04-23 23:36:07,994 | connection.py:42 | ChannelConnectivity.IDLE
FL-experiment | DEBUG flwr 2024-04-23 23:36:07,995 | connection.py:42 | ChannelConnectivity.READY
FL-experiment | DEBUG flwr 2024-04-23 23:36:07,996 | connection.py:42 | ChannelConnectivity.READY
FL-experiment | INFO flwr 2024-04-23 23:36:08,097 | grpc.py:52 | Opened insecure gRPC connection (no certificates were passed)
FL-experiment | INFO flwr 2024-04-23 23:36:08,099 | grpc.py:52 | Opened insecure gRPC connection (no certificates were passed)
FL-experiment | DEBUG flwr 2024-04-23 23:36:08,100 | connection.py:42 | ChannelConnectivity.IDLE
FL-experiment | DEBUG flwr 2024-04-23 23:36:08,100 | connection.py:42 | ChannelConnectivity.CONNECTING
FL-experiment | DEBUG flwr 2024-04-23 23:36:08,123 | connection.py:42 | ChannelConnectivity.READY
FL-experiment | DEBUG flwr 2024-04-23 23:36:08,171 | connection.py:42 | ChannelConnectivity.IDLE
FL-experiment | INFO flwr 2024-04-23 23:36:08,171 | grpc.py:52 | Opened insecure gRPC connection (no certificates were passed)
FL-experiment | DEBUG flwr 2024-04-23 23:36:08,171 | connection.py:42 | ChannelConnectivity.READY
FL-experiment | DEBUG flwr 2024-04-23 23:36:08,187 | connection.py:42 | ChannelConnectivity.IDLE
FL-experiment | INFO flwr 2024-04-23 23:36:08,189 | grpc.py:52 | Opened insecure gRPC connection (no certificates were passed)
FL-experiment | INFO flwr 2024-04-23 23:36:08,214 | grpc.py:52 | Opened insecure gRPC connection (no certificates were passed)
FL-experiment | DEBUG flwr 2024-04-23 23:36:08,216 | connection.py:42 | ChannelConnectivity.IDLE
FL-experiment | DEBUG flwr 2024-04-23 23:36:08,216 | connection.py:42 | ChannelConnectivity.IDLE
FL-experiment | DEBUG flwr 2024-04-23 23:36:08,216 | connection.py:42 | ChannelConnectivity.CONNECTING
FL-experiment | INFO flwr 2024-04-23 23:36:08,217 | grpc.py:52 | Opened insecure gRPC connection (no certificates were passed)
FL-experiment | DEBUG flwr 2024-04-23 23:36:08,217 | connection.py:42 | ChannelConnectivity.READY
FL-experiment | DEBUG flwr 2024-04-23 23:36:08,221 | connection.py:42 | ChannelConnectivity.CONNECTING
FL-experiment | DEBUG flwr 2024-04-23 23:36:08,222 | connection.py:42 | ChannelConnectivity.READY
FL-experiment | DEBUG flwr 2024-04-23 23:36:08,226 | connection.py:42 | ChannelConnectivity.IDLE
FL-experiment | DEBUG flwr 2024-04-23 23:36:08,227 | connection.py:42 | ChannelConnectivity.CONNECTING
FL-experiment | DEBUG flwr 2024-04-23 23:36:08,228 | connection.py:42 | ChannelConnectivity.READY
FL-experiment | DEBUG flwr 2024-04-23 23:36:08,228 | connection.py:42 | ChannelConnectivity.CONNECTING
FL-experiment | DEBUG flwr 2024-04-23 23:36:08,228 | connection.py:42 | ChannelConnectivity.READY
FL-experiment | INFO flwr 2024-04-23 23:36:08,229 | grpc.py:52 | Opened insecure gRPC connection (no certificates were passed)
FL-experiment | DEBUG flwr 2024-04-23 23:36:08,234 | connection.py:42 | ChannelConnectivity.IDLE
FL-experiment | DEBUG flwr 2024-04-23 23:36:08,240 | connection.py:42 | ChannelConnectivity.CONNECTING
FL-experiment | DEBUG flwr 2024-04-23 23:36:08,241 | connection.py:42 | ChannelConnectivity.READY
FL-experiment | INFO flwr 2024-04-23 23:36:08,265 | grpc.py:52 | Opened insecure gRPC connection (no certificates were passed)
FL-experiment | DEBUG flwr 2024-04-23 23:36:08,280 | connection.py:42 | ChannelConnectivity.IDLE
FL-experiment | DEBUG flwr 2024-04-23 23:36:08,307 | connection.py:42 | ChannelConnectivity.CONNECTING
FL-experiment | DEBUG flwr 2024-04-23 23:36:08,307 | connection.py:42 | ChannelConnectivity.READY
FL-experiment | INFO flwr 2024-04-23 23:36:08,333 | grpc.py:52 | Opened insecure gRPC connection (no certificates were passed)
FL-experiment | INFO flwr 2024-04-23 23:36:08,340 | grpc.py:52 | Opened insecure gRPC connection (no certificates were passed)
FL-experiment | DEBUG flwr 2024-04-23 23:36:08,346 | connection.py:42 | ChannelConnectivity.IDLE
FL-experiment | DEBUG flwr 2024-04-23 23:36:08,346 | connection.py:42 | ChannelConnectivity.CONNECTING
FL-experiment | DEBUG flwr 2024-04-23 23:36:08,347 | connection.py:42 | ChannelConnectivity.READY
FL-experiment | DEBUG flwr 2024-04-23 23:36:08,360 | connection.py:42 | ChannelConnectivity.IDLE
FL-experiment | DEBUG flwr 2024-04-23 23:36:08,374 | connection.py:42 | ChannelConnectivity.CONNECTING
FL-experiment | DEBUG flwr 2024-04-23 23:36:08,374 | connection.py:42 | ChannelConnectivity.READY
FL-experiment | INFO flwr 2024-04-23 23:36:08,403 | grpc.py:52 | Opened insecure gRPC connection (no certificates were passed)
FL-experiment | INFO flwr 2024-04-23 23:36:08,398 | grpc.py:52 | Opened insecure gRPC connection (no certificates were passed)
FL-experiment | DEBUG flwr 2024-04-23 23:36:08,406 | connection.py:42 | ChannelConnectivity.IDLE
FL-experiment | DEBUG flwr 2024-04-23 23:36:08,406 | connection.py:42 | ChannelConnectivity.CONNECTING
FL-experiment | DEBUG flwr 2024-04-23 23:36:08,406 | connection.py:42 | ChannelConnectivity.READY
FL-experiment | DEBUG flwr 2024-04-23 23:36:08,408 | connection.py:42 | ChannelConnectivity.IDLE
FL-experiment | DEBUG flwr 2024-04-23 23:36:08,409 | connection.py:42 | ChannelConnectivity.CONNECTING
FL-experiment | DEBUG flwr 2024-04-23 23:36:08,410 | connection.py:42 | ChannelConnectivity.READY
FL-experiment | INFO flwr 2024-04-23 23:36:08,440 | grpc.py:52 | Opened insecure gRPC connection (no certificates were passed)
FL-experiment | DEBUG flwr 2024-04-23 23:36:08,448 | connection.py:42 | ChannelConnectivity.IDLE
FL-experiment | DEBUG flwr 2024-04-23 23:36:08,450 | connection.py:42 | ChannelConnectivity.CONNECTING
FL-experiment | DEBUG flwr 2024-04-23 23:36:08,450 | connection.py:42 | ChannelConnectivity.READY
FL-experiment | INFO flwr 2024-04-23 23:36:08,452 | grpc.py:52 | Opened insecure gRPC connection (no certificates were passed)
FL-experiment | DEBUG flwr 2024-04-23 23:36:08,454 | connection.py:42 | ChannelConnectivity.IDLE
FL-experiment | DEBUG flwr 2024-04-23 23:36:08,455 | connection.py:42 | ChannelConnectivity.CONNECTING
FL-experiment | DEBUG flwr 2024-04-23 23:36:08,455 | connection.py:42 | ChannelConnectivity.READY
