FL-experiment | INFO flwr 2024-03-12 00:35:22,338 | main.py:40 | Config: INCENTIVES_ON=False, BCFL=False, IPFS_ON=False, NUM_CLIENTS=25, NUM_ROUNDS=3,
FL-experiment | INFO flwr 2024-03-12 00:35:22,338 | main.py:41 | Start Experiment
FL-experiment | INFO flwr 2024-03-12 00:35:23,600 | server.py:42 | Start Round=1
FL-experiment | INFO flwr 2024-03-12 00:35:23,600 | app.py:163 | Starting Flower server, config: ServerConfig(num_rounds=3, round_timeout=None)
FL-experiment | INFO flwr 2024-03-12 00:35:23,613 | app.py:176 | Flower ECE: gRPC server running (3 rounds), SSL is disabled
FL-experiment | INFO flwr 2024-03-12 00:35:23,618 | server.py:89 | Initializing global parameters
FL-experiment | INFO flwr 2024-03-12 00:35:23,619 | server.py:276 | Requesting initial parameters from one random client
FL-experiment | INFO flwr 2024-03-12 00:35:35,601 | grpc.py:52 | Opened insecure gRPC connection (no certificates were passed)
FL-experiment | DEBUG flwr 2024-03-12 00:35:35,603 | connection.py:42 | ChannelConnectivity.IDLE
FL-experiment | DEBUG flwr 2024-03-12 00:35:35,609 | connection.py:42 | ChannelConnectivity.CONNECTING
FL-experiment | DEBUG flwr 2024-03-12 00:35:35,610 | connection.py:42 | ChannelConnectivity.READY
FL-experiment | INFO flwr 2024-03-12 00:35:35,614 | server.py:280 | Received initial parameters from one random client
FL-experiment | INFO flwr 2024-03-12 00:35:35,614 | server.py:91 | Evaluating initial parameters
FL-experiment | INFO flwr 2024-03-12 00:35:35,614 | server.py:104 | FL starting
FL-experiment | INFO flwr 2024-03-12 00:35:36,017 | grpc.py:52 | Opened insecure gRPC connection (no certificates were passed)
FL-experiment | DEBUG flwr 2024-03-12 00:35:36,039 | connection.py:42 | ChannelConnectivity.IDLE
FL-experiment | DEBUG flwr 2024-03-12 00:35:36,040 | connection.py:42 | ChannelConnectivity.CONNECTING
FL-experiment | DEBUG flwr 2024-03-12 00:35:36,040 | connection.py:42 | ChannelConnectivity.READY
FL-experiment | INFO flwr 2024-03-12 00:35:36,374 | grpc.py:52 | Opened insecure gRPC connection (no certificates were passed)
FL-experiment | DEBUG flwr 2024-03-12 00:35:36,375 | connection.py:42 | ChannelConnectivity.IDLE
FL-experiment | DEBUG flwr 2024-03-12 00:35:36,376 | connection.py:42 | ChannelConnectivity.CONNECTING
FL-experiment | DEBUG flwr 2024-03-12 00:35:36,381 | connection.py:42 | ChannelConnectivity.READY
FL-experiment | INFO flwr 2024-03-12 00:35:36,548 | grpc.py:52 | Opened insecure gRPC connection (no certificates were passed)
FL-experiment | DEBUG flwr 2024-03-12 00:35:36,566 | connection.py:42 | ChannelConnectivity.IDLE
FL-experiment | DEBUG flwr 2024-03-12 00:35:36,567 | connection.py:42 | ChannelConnectivity.READY
FL-experiment | INFO flwr 2024-03-12 00:35:36,937 | grpc.py:52 | Opened insecure gRPC connection (no certificates were passed)
FL-experiment | DEBUG flwr 2024-03-12 00:35:37,135 | connection.py:42 | ChannelConnectivity.IDLE
FL-experiment | DEBUG flwr 2024-03-12 00:35:37,137 | connection.py:42 | ChannelConnectivity.READY
FL-experiment | INFO flwr 2024-03-12 00:35:37,188 | grpc.py:52 | Opened insecure gRPC connection (no certificates were passed)
FL-experiment | DEBUG flwr 2024-03-12 00:35:37,241 | connection.py:42 | ChannelConnectivity.IDLE
FL-experiment | DEBUG flwr 2024-03-12 00:35:37,274 | connection.py:42 | ChannelConnectivity.CONNECTING
FL-experiment | DEBUG flwr 2024-03-12 00:35:37,274 | connection.py:42 | ChannelConnectivity.READY
FL-experiment | INFO flwr 2024-03-12 00:35:37,315 | grpc.py:52 | Opened insecure gRPC connection (no certificates were passed)
FL-experiment | DEBUG flwr 2024-03-12 00:35:37,371 | connection.py:42 | ChannelConnectivity.IDLE
FL-experiment | DEBUG flwr 2024-03-12 00:35:37,382 | connection.py:42 | ChannelConnectivity.CONNECTING
FL-experiment | DEBUG flwr 2024-03-12 00:35:37,432 | connection.py:42 | ChannelConnectivity.READY
FL-experiment | INFO flwr 2024-03-12 00:35:37,484 | grpc.py:52 | Opened insecure gRPC connection (no certificates were passed)
FL-experiment | DEBUG flwr 2024-03-12 00:35:37,487 | connection.py:42 | ChannelConnectivity.IDLE
FL-experiment | DEBUG flwr 2024-03-12 00:35:37,489 | connection.py:42 | ChannelConnectivity.CONNECTING
FL-experiment | DEBUG flwr 2024-03-12 00:35:37,490 | connection.py:42 | ChannelConnectivity.READY
FL-experiment | INFO flwr 2024-03-12 00:35:37,496 | grpc.py:52 | Opened insecure gRPC connection (no certificates were passed)
FL-experiment | DEBUG flwr 2024-03-12 00:35:37,500 | connection.py:42 | ChannelConnectivity.IDLE
FL-experiment | DEBUG flwr 2024-03-12 00:35:37,503 | connection.py:42 | ChannelConnectivity.CONNECTING
FL-experiment | DEBUG flwr 2024-03-12 00:35:37,517 | connection.py:42 | ChannelConnectivity.READY
FL-experiment | INFO flwr 2024-03-12 00:35:37,549 | grpc.py:52 | Opened insecure gRPC connection (no certificates were passed)
FL-experiment | DEBUG flwr 2024-03-12 00:35:37,558 | connection.py:42 | ChannelConnectivity.IDLE
FL-experiment | DEBUG flwr 2024-03-12 00:35:37,566 | connection.py:42 | ChannelConnectivity.CONNECTING
FL-experiment | DEBUG flwr 2024-03-12 00:35:37,567 | connection.py:42 | ChannelConnectivity.READY
FL-experiment | INFO flwr 2024-03-12 00:35:37,578 | grpc.py:52 | Opened insecure gRPC connection (no certificates were passed)
FL-experiment | INFO flwr 2024-03-12 00:35:37,583 | grpc.py:52 | Opened insecure gRPC connection (no certificates were passed)
FL-experiment | INFO flwr 2024-03-12 00:35:37,587 | grpc.py:52 | Opened insecure gRPC connection (no certificates were passed)
FL-experiment | DEBUG flwr 2024-03-12 00:35:37,588 | connection.py:42 | ChannelConnectivity.IDLE
FL-experiment | INFO flwr 2024-03-12 00:35:37,588 | grpc.py:52 | Opened insecure gRPC connection (no certificates were passed)
FL-experiment | DEBUG flwr 2024-03-12 00:35:37,589 | connection.py:42 | ChannelConnectivity.CONNECTING
FL-experiment | DEBUG flwr 2024-03-12 00:35:37,590 | connection.py:42 | ChannelConnectivity.READY
FL-experiment | INFO flwr 2024-03-12 00:35:37,593 | grpc.py:52 | Opened insecure gRPC connection (no certificates were passed)
FL-experiment | DEBUG flwr 2024-03-12 00:35:37,595 | connection.py:42 | ChannelConnectivity.IDLE
FL-experiment | DEBUG flwr 2024-03-12 00:35:37,595 | connection.py:42 | ChannelConnectivity.CONNECTING
FL-experiment | DEBUG flwr 2024-03-12 00:35:37,596 | connection.py:42 | ChannelConnectivity.READY
FL-experiment | DEBUG flwr 2024-03-12 00:35:37,598 | connection.py:42 | ChannelConnectivity.IDLE
FL-experiment | INFO flwr 2024-03-12 00:35:37,609 | grpc.py:52 | Opened insecure gRPC connection (no certificates were passed)
FL-experiment | DEBUG flwr 2024-03-12 00:35:37,591 | connection.py:42 | ChannelConnectivity.IDLE
FL-experiment | DEBUG flwr 2024-03-12 00:35:37,617 | connection.py:42 | ChannelConnectivity.READY
FL-experiment | DEBUG flwr 2024-03-12 00:35:37,620 | connection.py:42 | ChannelConnectivity.READY
FL-experiment | DEBUG flwr 2024-03-12 00:35:37,635 | connection.py:42 | ChannelConnectivity.IDLE
FL-experiment | DEBUG flwr 2024-03-12 00:35:37,636 | connection.py:42 | ChannelConnectivity.CONNECTING
FL-experiment | INFO flwr 2024-03-12 00:35:37,637 | grpc.py:52 | Opened insecure gRPC connection (no certificates were passed)
FL-experiment | DEBUG flwr 2024-03-12 00:35:37,637 | connection.py:42 | ChannelConnectivity.READY
FL-experiment | DEBUG flwr 2024-03-12 00:35:37,640 | connection.py:42 | ChannelConnectivity.IDLE
FL-experiment | DEBUG flwr 2024-03-12 00:35:37,640 | connection.py:42 | ChannelConnectivity.CONNECTING
FL-experiment | DEBUG flwr 2024-03-12 00:35:37,641 | connection.py:42 | ChannelConnectivity.IDLE
FL-experiment | DEBUG flwr 2024-03-12 00:35:37,641 | connection.py:42 | ChannelConnectivity.READY
FL-experiment | DEBUG flwr 2024-03-12 00:35:37,668 | connection.py:42 | ChannelConnectivity.CONNECTING
FL-experiment | DEBUG flwr 2024-03-12 00:35:37,668 | connection.py:42 | ChannelConnectivity.READY
FL-experiment | INFO flwr 2024-03-12 00:35:37,692 | grpc.py:52 | Opened insecure gRPC connection (no certificates were passed)
FL-experiment | DEBUG flwr 2024-03-12 00:35:37,700 | connection.py:42 | ChannelConnectivity.IDLE
FL-experiment | DEBUG flwr 2024-03-12 00:35:37,701 | connection.py:42 | ChannelConnectivity.READY
FL-experiment | INFO flwr 2024-03-12 00:35:37,704 | grpc.py:52 | Opened insecure gRPC connection (no certificates were passed)
FL-experiment | DEBUG flwr 2024-03-12 00:35:37,705 | connection.py:42 | ChannelConnectivity.IDLE
FL-experiment | DEBUG flwr 2024-03-12 00:35:37,705 | connection.py:42 | ChannelConnectivity.CONNECTING
FL-experiment | DEBUG flwr 2024-03-12 00:35:37,706 | connection.py:42 | ChannelConnectivity.READY
FL-experiment | INFO flwr 2024-03-12 00:35:37,712 | grpc.py:52 | Opened insecure gRPC connection (no certificates were passed)
FL-experiment | DEBUG flwr 2024-03-12 00:35:37,713 | connection.py:42 | ChannelConnectivity.IDLE
FL-experiment | DEBUG flwr 2024-03-12 00:35:37,714 | connection.py:42 | ChannelConnectivity.CONNECTING
FL-experiment | INFO flwr 2024-03-12 00:35:37,714 | grpc.py:52 | Opened insecure gRPC connection (no certificates were passed)
FL-experiment | DEBUG flwr 2024-03-12 00:35:37,715 | connection.py:42 | ChannelConnectivity.READY
FL-experiment | DEBUG flwr 2024-03-12 00:35:37,715 | connection.py:42 | ChannelConnectivity.IDLE
FL-experiment | DEBUG flwr 2024-03-12 00:35:37,717 | connection.py:42 | ChannelConnectivity.CONNECTING
FL-experiment | DEBUG flwr 2024-03-12 00:35:37,718 | connection.py:42 | ChannelConnectivity.READY
FL-experiment | INFO flwr 2024-03-12 00:35:37,747 | grpc.py:52 | Opened insecure gRPC connection (no certificates were passed)
FL-experiment | INFO flwr 2024-03-12 00:35:37,759 | grpc.py:52 | Opened insecure gRPC connection (no certificates were passed)
FL-experiment | DEBUG flwr 2024-03-12 00:35:37,761 | connection.py:42 | ChannelConnectivity.IDLE
FL-experiment | DEBUG flwr 2024-03-12 00:35:37,767 | connection.py:42 | ChannelConnectivity.IDLE
FL-experiment | DEBUG flwr 2024-03-12 00:35:37,768 | connection.py:42 | ChannelConnectivity.CONNECTING
FL-experiment | DEBUG flwr 2024-03-12 00:35:37,769 | connection.py:42 | ChannelConnectivity.CONNECTING
FL-experiment | DEBUG flwr 2024-03-12 00:35:37,769 | connection.py:42 | ChannelConnectivity.READY
FL-experiment | DEBUG flwr 2024-03-12 00:35:37,769 | connection.py:42 | ChannelConnectivity.READY
FL-experiment | INFO flwr 2024-03-12 00:35:37,787 | grpc.py:52 | Opened insecure gRPC connection (no certificates were passed)
FL-experiment | DEBUG flwr 2024-03-12 00:35:37,795 | connection.py:42 | ChannelConnectivity.IDLE
FL-experiment | DEBUG flwr 2024-03-12 00:35:37,795 | connection.py:42 | ChannelConnectivity.CONNECTING
FL-experiment | DEBUG flwr 2024-03-12 00:35:37,796 | connection.py:42 | ChannelConnectivity.READY
FL-experiment | INFO flwr 2024-03-12 00:35:37,930 | grpc.py:52 | Opened insecure gRPC connection (no certificates were passed)
FL-experiment | DEBUG flwr 2024-03-12 00:35:37,930 | connection.py:42 | ChannelConnectivity.IDLE
FL-experiment | DEBUG flwr 2024-03-12 00:35:37,931 | connection.py:42 | ChannelConnectivity.CONNECTING
FL-experiment | DEBUG flwr 2024-03-12 00:35:37,931 | connection.py:42 | ChannelConnectivity.READY
