FL-experiment | INFO flwr 2024-04-23 00:40:53,261 | main.py:43 | Config: INCENTIVES_ON=False, BCFL=False, IPFS_ON=False, NUM_CLIENTS=2, NUM_ROUNDS=1,
FL-experiment | INFO flwr 2024-04-23 00:40:53,261 | main.py:44 | Start Experiment
FL-experiment | INFO flwr 2024-04-23 00:40:54,896 | server.py:38 | Start Round=1
FL-experiment | INFO flwr 2024-04-23 00:40:54,896 | app.py:163 | Starting Flower server, config: ServerConfig(num_rounds=1, round_timeout=None)
FL-experiment | INFO flwr 2024-04-23 00:40:54,914 | app.py:176 | Flower ECE: gRPC server running (1 rounds), SSL is disabled
FL-experiment | INFO flwr 2024-04-23 00:40:54,914 | server.py:89 | Initializing global parameters
FL-experiment | INFO flwr 2024-04-23 00:40:54,914 | server.py:276 | Requesting initial parameters from one random client
FL-experiment | INFO flwr 2024-04-23 00:41:02,277 | grpc.py:52 | Opened insecure gRPC connection (no certificates were passed)
FL-experiment | DEBUG flwr 2024-04-23 00:41:02,277 | connection.py:42 | ChannelConnectivity.IDLE
FL-experiment | DEBUG flwr 2024-04-23 00:41:02,278 | connection.py:42 | ChannelConnectivity.CONNECTING
FL-experiment | DEBUG flwr 2024-04-23 00:41:02,278 | connection.py:42 | ChannelConnectivity.READY
FL-experiment | INFO flwr 2024-04-23 00:41:02,285 | server.py:280 | Received initial parameters from one random client
FL-experiment | INFO flwr 2024-04-23 00:41:02,285 | server.py:91 | Evaluating initial parameters
FL-experiment | INFO flwr 2024-04-23 00:41:02,285 | server.py:104 | FL starting
FL-experiment | INFO flwr 2024-04-23 00:41:02,761 | grpc.py:52 | Opened insecure gRPC connection (no certificates were passed)
FL-experiment | DEBUG flwr 2024-04-23 00:41:02,762 | connection.py:42 | ChannelConnectivity.IDLE
FL-experiment | DEBUG flwr 2024-04-23 00:41:02,763 | server.py:222 | fit_round 1: strategy sampled 2 clients (out of 2)
FL-experiment | INFO flwr 2024-04-23 00:41:02,765 | client.py:128 | Start Training client=1
FL-experiment | DEBUG flwr 2024-04-23 00:41:02,767 | connection.py:42 | ChannelConnectivity.READY
FL-experiment | INFO flwr 2024-04-23 00:41:02,780 | client.py:128 | Start Training client=0
FL-experiment | INFO flwr 2024-04-23 00:41:21,915 | client.py:149 | Done Training client=1
FL-experiment | INFO flwr 2024-04-23 00:41:21,916 | client.py:149 | Done Training client=0
FL-experiment | DEBUG flwr 2024-04-23 00:41:21,918 | server.py:236 | fit_round 1 received 2 results and 0 failures
FL-experiment | INFO flwr 2024-04-23 00:41:21,918 | server.py:65 | Start Aggregating round=1
FL-experiment | WARNING flwr 2024-04-23 00:41:21,920 | fedavg.py:242 | No fit_metrics_aggregation_fn provided
FL-experiment | DEBUG flwr 2024-04-23 00:41:21,921 | server.py:173 | evaluate_round 1: strategy sampled 2 clients (out of 2)
FL-experiment | DEBUG flwr 2024-04-23 00:41:23,757 | server.py:187 | evaluate_round 1 received 2 results and 0 failures
FL-experiment | INFO flwr 2024-04-23 00:41:23,757 | server.py:105 | Start evaluating fit round=1
FL-experiment | INFO flwr 2024-04-23 00:41:23,757 | server.py:107 | Done Evaluating fit round=1
FL-experiment | DEBUG flwr 2024-04-23 00:41:23,757 | server.py:108 | Round: 1, Aggregated accuracy: {'accuracy': 0.2656}, Aggregated loss: 647.6512756347656, IPFS hash: storage/aggregated_model_7ac7289f-5d77-4d16-b7b5-bb76b7220874.pkl
FL-experiment | INFO flwr 2024-04-23 00:41:23,757 | server.py:131 | Done Aggregating round=1
FL-experiment | INFO flwr 2024-04-23 00:41:23,757 | server.py:132 | Done Round=1
FL-experiment | INFO flwr 2024-04-23 00:41:23,757 | server.py:153 | FL finished in 21.471598958
FL-experiment | INFO flwr 2024-04-23 00:41:23,757 | app.py:226 | app_fit: losses_distributed [(1, 647.6512756347656)]
FL-experiment | INFO flwr 2024-04-23 00:41:23,757 | app.py:227 | app_fit: metrics_distributed_fit {}
FL-experiment | INFO flwr 2024-04-23 00:41:23,757 | app.py:228 | app_fit: metrics_distributed {'accuracy': [(1, 0.2656)]}
FL-experiment | INFO flwr 2024-04-23 00:41:23,757 | app.py:229 | app_fit: losses_centralized []
FL-experiment | INFO flwr 2024-04-23 00:41:23,757 | app.py:230 | app_fit: metrics_centralized {}
