FL-experiment | INFO flwr 2024-04-24 17:50:33,739 | main.py:43 | Config: INCENTIVES_ON=False, BCFL=False, IPFS_ON=False, NUM_CLIENTS=50, NUM_ROUNDS=5,
FL-experiment | INFO flwr 2024-04-24 17:50:33,739 | main.py:44 | Start Experiment
FL-experiment | INFO flwr 2024-04-24 17:50:35,483 | server.py:38 | Start Round=1
FL-experiment | INFO flwr 2024-04-24 17:50:35,484 | app.py:163 | Starting Flower server, config: ServerConfig(num_rounds=5, round_timeout=None)
FL-experiment | INFO flwr 2024-04-24 17:50:35,502 | app.py:176 | Flower ECE: gRPC server running (5 rounds), SSL is disabled
FL-experiment | INFO flwr 2024-04-24 17:50:35,502 | server.py:89 | Initializing global parameters
FL-experiment | INFO flwr 2024-04-24 17:50:35,502 | server.py:276 | Requesting initial parameters from one random client
FL-experiment | INFO flwr 2024-04-24 17:50:54,025 | grpc.py:52 | Opened insecure gRPC connection (no certificates were passed)
FL-experiment | DEBUG flwr 2024-04-24 17:50:54,038 | connection.py:42 | ChannelConnectivity.IDLE
FL-experiment | DEBUG flwr 2024-04-24 17:50:54,056 | connection.py:42 | ChannelConnectivity.READY
FL-experiment | INFO flwr 2024-04-24 17:50:54,099 | server.py:280 | Received initial parameters from one random client
FL-experiment | INFO flwr 2024-04-24 17:50:54,102 | server.py:91 | Evaluating initial parameters
FL-experiment | INFO flwr 2024-04-24 17:50:54,103 | server.py:104 | FL starting
FL-experiment | INFO flwr 2024-04-24 17:50:54,126 | grpc.py:52 | Opened insecure gRPC connection (no certificates were passed)
FL-experiment | DEBUG flwr 2024-04-24 17:50:54,213 | connection.py:42 | ChannelConnectivity.IDLE
FL-experiment | DEBUG flwr 2024-04-24 17:50:54,231 | connection.py:42 | ChannelConnectivity.CONNECTING
FL-experiment | DEBUG flwr 2024-04-24 17:50:54,232 | connection.py:42 | ChannelConnectivity.READY
FL-experiment | INFO flwr 2024-04-24 17:50:54,298 | grpc.py:52 | Opened insecure gRPC connection (no certificates were passed)
FL-experiment | DEBUG flwr 2024-04-24 17:50:54,299 | connection.py:42 | ChannelConnectivity.IDLE
FL-experiment | DEBUG flwr 2024-04-24 17:50:54,299 | connection.py:42 | ChannelConnectivity.CONNECTING
FL-experiment | DEBUG flwr 2024-04-24 17:50:54,300 | connection.py:42 | ChannelConnectivity.READY
FL-experiment | INFO flwr 2024-04-24 17:50:54,483 | grpc.py:52 | Opened insecure gRPC connection (no certificates were passed)
FL-experiment | DEBUG flwr 2024-04-24 17:50:54,484 | connection.py:42 | ChannelConnectivity.IDLE
FL-experiment | DEBUG flwr 2024-04-24 17:50:54,484 | connection.py:42 | ChannelConnectivity.CONNECTING
FL-experiment | DEBUG flwr 2024-04-24 17:50:54,485 | connection.py:42 | ChannelConnectivity.READY
FL-experiment | INFO flwr 2024-04-24 17:50:56,131 | grpc.py:52 | Opened insecure gRPC connection (no certificates were passed)
FL-experiment | DEBUG flwr 2024-04-24 17:50:56,132 | connection.py:42 | ChannelConnectivity.IDLE
FL-experiment | DEBUG flwr 2024-04-24 17:50:56,133 | connection.py:42 | ChannelConnectivity.CONNECTING
FL-experiment | DEBUG flwr 2024-04-24 17:50:56,134 | connection.py:42 | ChannelConnectivity.READY
FL-experiment | INFO flwr 2024-04-24 17:50:56,211 | grpc.py:52 | Opened insecure gRPC connection (no certificates were passed)
FL-experiment | DEBUG flwr 2024-04-24 17:50:56,212 | connection.py:42 | ChannelConnectivity.IDLE
FL-experiment | DEBUG flwr 2024-04-24 17:50:56,213 | connection.py:42 | ChannelConnectivity.CONNECTING
FL-experiment | DEBUG flwr 2024-04-24 17:50:56,213 | connection.py:42 | ChannelConnectivity.READY
FL-experiment | INFO flwr 2024-04-24 17:50:56,532 | grpc.py:52 | Opened insecure gRPC connection (no certificates were passed)
FL-experiment | DEBUG flwr 2024-04-24 17:50:56,536 | connection.py:42 | ChannelConnectivity.IDLE
FL-experiment | DEBUG flwr 2024-04-24 17:50:56,538 | connection.py:42 | ChannelConnectivity.CONNECTING
FL-experiment | DEBUG flwr 2024-04-24 17:50:56,549 | connection.py:42 | ChannelConnectivity.READY
FL-experiment | INFO flwr 2024-04-24 17:50:56,589 | grpc.py:52 | Opened insecure gRPC connection (no certificates were passed)
FL-experiment | DEBUG flwr 2024-04-24 17:50:56,611 | connection.py:42 | ChannelConnectivity.IDLE
FL-experiment | DEBUG flwr 2024-04-24 17:50:56,648 | connection.py:42 | ChannelConnectivity.CONNECTING
FL-experiment | DEBUG flwr 2024-04-24 17:50:56,660 | connection.py:42 | ChannelConnectivity.READY
FL-experiment | INFO flwr 2024-04-24 17:50:56,691 | grpc.py:52 | Opened insecure gRPC connection (no certificates were passed)
FL-experiment | INFO flwr 2024-04-24 17:50:56,692 | grpc.py:52 | Opened insecure gRPC connection (no certificates were passed)
FL-experiment | DEBUG flwr 2024-04-24 17:50:56,722 | connection.py:42 | ChannelConnectivity.IDLE
FL-experiment | INFO flwr 2024-04-24 17:50:56,723 | grpc.py:52 | Opened insecure gRPC connection (no certificates were passed)
FL-experiment | DEBUG flwr 2024-04-24 17:50:56,723 | connection.py:42 | ChannelConnectivity.CONNECTING
FL-experiment | DEBUG flwr 2024-04-24 17:50:56,726 | connection.py:42 | ChannelConnectivity.READY
FL-experiment | DEBUG flwr 2024-04-24 17:50:56,726 | connection.py:42 | ChannelConnectivity.IDLE
FL-experiment | DEBUG flwr 2024-04-24 17:50:56,727 | connection.py:42 | ChannelConnectivity.READY
FL-experiment | INFO flwr 2024-04-24 17:50:56,872 | grpc.py:52 | Opened insecure gRPC connection (no certificates were passed)
FL-experiment | DEBUG flwr 2024-04-24 17:50:56,894 | connection.py:42 | ChannelConnectivity.IDLE
FL-experiment | DEBUG flwr 2024-04-24 17:50:56,895 | connection.py:42 | ChannelConnectivity.CONNECTING
FL-experiment | DEBUG flwr 2024-04-24 17:50:56,895 | connection.py:42 | ChannelConnectivity.READY
FL-experiment | INFO flwr 2024-04-24 17:50:57,026 | grpc.py:52 | Opened insecure gRPC connection (no certificates were passed)
FL-experiment | DEBUG flwr 2024-04-24 17:50:57,048 | connection.py:42 | ChannelConnectivity.IDLE
FL-experiment | DEBUG flwr 2024-04-24 17:50:57,049 | connection.py:42 | ChannelConnectivity.IDLE
FL-experiment | DEBUG flwr 2024-04-24 17:50:57,050 | connection.py:42 | ChannelConnectivity.CONNECTING
