FL-experiment | INFO flwr 2024-04-24 22:05:50,403 | main.py:43 | Config: INCENTIVES_ON=False, BCFL=False, IPFS_ON=False, NUM_CLIENTS=50, NUM_ROUNDS=10,
FL-experiment | INFO flwr 2024-04-24 22:05:50,403 | main.py:44 | Start Experiment
FL-experiment | INFO flwr 2024-04-24 22:05:52,176 | server.py:38 | Start Round=1
FL-experiment | INFO flwr 2024-04-24 22:05:52,177 | app.py:163 | Starting Flower server, config: ServerConfig(num_rounds=10, round_timeout=None)
FL-experiment | INFO flwr 2024-04-24 22:05:52,195 | app.py:176 | Flower ECE: gRPC server running (10 rounds), SSL is disabled
FL-experiment | INFO flwr 2024-04-24 22:05:52,196 | server.py:89 | Initializing global parameters
FL-experiment | INFO flwr 2024-04-24 22:05:52,196 | server.py:276 | Requesting initial parameters from one random client
FL-experiment | INFO flwr 2024-04-24 22:06:14,375 | grpc.py:52 | Opened insecure gRPC connection (no certificates were passed)
FL-experiment | DEBUG flwr 2024-04-24 22:06:14,378 | connection.py:42 | ChannelConnectivity.IDLE
FL-experiment | DEBUG flwr 2024-04-24 22:06:14,379 | connection.py:42 | ChannelConnectivity.CONNECTING
FL-experiment | DEBUG flwr 2024-04-24 22:06:14,380 | connection.py:42 | ChannelConnectivity.READY
FL-experiment | INFO flwr 2024-04-24 22:06:14,390 | server.py:280 | Received initial parameters from one random client
FL-experiment | INFO flwr 2024-04-24 22:06:14,390 | server.py:91 | Evaluating initial parameters
FL-experiment | INFO flwr 2024-04-24 22:06:14,390 | server.py:104 | FL starting
FL-experiment | INFO flwr 2024-04-24 22:06:14,424 | grpc.py:52 | Opened insecure gRPC connection (no certificates were passed)
FL-experiment | DEBUG flwr 2024-04-24 22:06:14,440 | connection.py:42 | ChannelConnectivity.IDLE
FL-experiment | DEBUG flwr 2024-04-24 22:06:14,442 | connection.py:42 | ChannelConnectivity.READY
FL-experiment | INFO flwr 2024-04-24 22:06:14,553 | grpc.py:52 | Opened insecure gRPC connection (no certificates were passed)
FL-experiment | INFO flwr 2024-04-24 22:06:14,555 | grpc.py:52 | Opened insecure gRPC connection (no certificates were passed)
FL-experiment | DEBUG flwr 2024-04-24 22:06:14,556 | connection.py:42 | ChannelConnectivity.IDLE
FL-experiment | DEBUG flwr 2024-04-24 22:06:14,557 | connection.py:42 | ChannelConnectivity.CONNECTING
FL-experiment | DEBUG flwr 2024-04-24 22:06:14,554 | connection.py:42 | ChannelConnectivity.IDLE
FL-experiment | DEBUG flwr 2024-04-24 22:06:14,558 | connection.py:42 | ChannelConnectivity.READY
FL-experiment | DEBUG flwr 2024-04-24 22:06:14,559 | connection.py:42 | ChannelConnectivity.CONNECTING
FL-experiment | DEBUG flwr 2024-04-24 22:06:14,562 | connection.py:42 | ChannelConnectivity.READY
FL-experiment | INFO flwr 2024-04-24 22:06:14,577 | grpc.py:52 | Opened insecure gRPC connection (no certificates were passed)
FL-experiment | DEBUG flwr 2024-04-24 22:06:14,579 | connection.py:42 | ChannelConnectivity.IDLE
FL-experiment | DEBUG flwr 2024-04-24 22:06:14,584 | connection.py:42 | ChannelConnectivity.READY
FL-experiment | INFO flwr 2024-04-24 22:06:14,603 | grpc.py:52 | Opened insecure gRPC connection (no certificates were passed)
FL-experiment | INFO flwr 2024-04-24 22:06:14,603 | grpc.py:52 | Opened insecure gRPC connection (no certificates were passed)
FL-experiment | DEBUG flwr 2024-04-24 22:06:14,604 | connection.py:42 | ChannelConnectivity.IDLE
FL-experiment | DEBUG flwr 2024-04-24 22:06:14,604 | connection.py:42 | ChannelConnectivity.CONNECTING
FL-experiment | DEBUG flwr 2024-04-24 22:06:14,605 | connection.py:42 | ChannelConnectivity.READY
FL-experiment | DEBUG flwr 2024-04-24 22:06:14,604 | connection.py:42 | ChannelConnectivity.IDLE
FL-experiment | DEBUG flwr 2024-04-24 22:06:14,606 | connection.py:42 | ChannelConnectivity.READY
FL-experiment | INFO flwr 2024-04-24 22:06:14,765 | grpc.py:52 | Opened insecure gRPC connection (no certificates were passed)
FL-experiment | DEBUG flwr 2024-04-24 22:06:14,766 | connection.py:42 | ChannelConnectivity.IDLE
FL-experiment | DEBUG flwr 2024-04-24 22:06:14,771 | connection.py:42 | ChannelConnectivity.READY
FL-experiment | INFO flwr 2024-04-24 22:06:15,322 | grpc.py:52 | Opened insecure gRPC connection (no certificates were passed)
FL-experiment | DEBUG flwr 2024-04-24 22:06:15,344 | connection.py:42 | ChannelConnectivity.IDLE
FL-experiment | DEBUG flwr 2024-04-24 22:06:15,345 | connection.py:42 | ChannelConnectivity.CONNECTING
FL-experiment | DEBUG flwr 2024-04-24 22:06:15,346 | connection.py:42 | ChannelConnectivity.READY
FL-experiment | INFO flwr 2024-04-24 22:06:15,633 | grpc.py:52 | Opened insecure gRPC connection (no certificates were passed)
FL-experiment | DEBUG flwr 2024-04-24 22:06:15,680 | connection.py:42 | ChannelConnectivity.IDLE
FL-experiment | DEBUG flwr 2024-04-24 22:06:15,734 | connection.py:42 | ChannelConnectivity.CONNECTING
FL-experiment | DEBUG flwr 2024-04-24 22:06:15,771 | connection.py:42 | ChannelConnectivity.READY
FL-experiment | INFO flwr 2024-04-24 22:06:16,160 | grpc.py:52 | Opened insecure gRPC connection (no certificates were passed)
FL-experiment | DEBUG flwr 2024-04-24 22:06:16,175 | connection.py:42 | ChannelConnectivity.IDLE
FL-experiment | DEBUG flwr 2024-04-24 22:06:16,175 | connection.py:42 | ChannelConnectivity.CONNECTING
FL-experiment | DEBUG flwr 2024-04-24 22:06:16,175 | connection.py:42 | ChannelConnectivity.READY
FL-experiment | INFO flwr 2024-04-24 22:06:16,337 | grpc.py:52 | Opened insecure gRPC connection (no certificates were passed)
FL-experiment | DEBUG flwr 2024-04-24 22:06:16,338 | connection.py:42 | ChannelConnectivity.IDLE
FL-experiment | DEBUG flwr 2024-04-24 22:06:16,338 | connection.py:42 | ChannelConnectivity.CONNECTING
FL-experiment | DEBUG flwr 2024-04-24 22:06:16,338 | connection.py:42 | ChannelConnectivity.READY
