FL-experiment | INFO flwr 2024-04-23 22:00:14,042 | main.py:43 | Config: INCENTIVES_ON=False, BCFL=False, IPFS_ON=False, NUM_CLIENTS=25, NUM_ROUNDS=1,
FL-experiment | INFO flwr 2024-04-23 22:00:14,042 | main.py:44 | Start Experiment
FL-experiment | INFO flwr 2024-04-23 22:00:15,566 | server.py:38 | Start Round=1
FL-experiment | INFO flwr 2024-04-23 22:00:15,566 | app.py:163 | Starting Flower server, config: ServerConfig(num_rounds=1, round_timeout=None)
FL-experiment | INFO flwr 2024-04-23 22:00:15,587 | app.py:176 | Flower ECE: gRPC server running (1 rounds), SSL is disabled
FL-experiment | INFO flwr 2024-04-23 22:00:15,587 | server.py:89 | Initializing global parameters
FL-experiment | INFO flwr 2024-04-23 22:00:15,587 | server.py:276 | Requesting initial parameters from one random client
FL-experiment | INFO flwr 2024-04-23 22:00:23,960 | grpc.py:52 | Opened insecure gRPC connection (no certificates were passed)
FL-experiment | DEBUG flwr 2024-04-23 22:00:23,976 | connection.py:42 | ChannelConnectivity.IDLE
FL-experiment | DEBUG flwr 2024-04-23 22:00:23,977 | connection.py:42 | ChannelConnectivity.CONNECTING
FL-experiment | DEBUG flwr 2024-04-23 22:00:23,977 | connection.py:42 | ChannelConnectivity.READY
FL-experiment | INFO flwr 2024-04-23 22:00:23,996 | server.py:280 | Received initial parameters from one random client
FL-experiment | INFO flwr 2024-04-23 22:00:23,996 | server.py:91 | Evaluating initial parameters
FL-experiment | INFO flwr 2024-04-23 22:00:23,996 | server.py:104 | FL starting
FL-experiment | INFO flwr 2024-04-23 22:00:24,642 | grpc.py:52 | Opened insecure gRPC connection (no certificates were passed)
FL-experiment | DEBUG flwr 2024-04-23 22:00:24,646 | connection.py:42 | ChannelConnectivity.IDLE
FL-experiment | DEBUG flwr 2024-04-23 22:00:24,647 | connection.py:42 | ChannelConnectivity.READY
FL-experiment | INFO flwr 2024-04-23 22:00:24,645 | grpc.py:52 | Opened insecure gRPC connection (no certificates were passed)
FL-experiment | DEBUG flwr 2024-04-23 22:00:24,714 | connection.py:42 | ChannelConnectivity.IDLE
FL-experiment | DEBUG flwr 2024-04-23 22:00:24,742 | connection.py:42 | ChannelConnectivity.CONNECTING
FL-experiment | DEBUG flwr 2024-04-23 22:00:24,794 | connection.py:42 | ChannelConnectivity.READY
FL-experiment | INFO flwr 2024-04-23 22:00:24,847 | grpc.py:52 | Opened insecure gRPC connection (no certificates were passed)
FL-experiment | INFO flwr 2024-04-23 22:00:24,890 | grpc.py:52 | Opened insecure gRPC connection (no certificates were passed)
FL-experiment | DEBUG flwr 2024-04-23 22:00:24,902 | connection.py:42 | ChannelConnectivity.IDLE
FL-experiment | DEBUG flwr 2024-04-23 22:00:24,913 | connection.py:42 | ChannelConnectivity.CONNECTING
FL-experiment | DEBUG flwr 2024-04-23 22:00:24,915 | connection.py:42 | ChannelConnectivity.IDLE
FL-experiment | DEBUG flwr 2024-04-23 22:00:24,921 | connection.py:42 | ChannelConnectivity.READY
FL-experiment | DEBUG flwr 2024-04-23 22:00:24,947 | connection.py:42 | ChannelConnectivity.CONNECTING
FL-experiment | DEBUG flwr 2024-04-23 22:00:24,951 | connection.py:42 | ChannelConnectivity.READY
FL-experiment | INFO flwr 2024-04-23 22:00:25,648 | grpc.py:52 | Opened insecure gRPC connection (no certificates were passed)
FL-experiment | INFO flwr 2024-04-23 22:00:25,664 | grpc.py:52 | Opened insecure gRPC connection (no certificates were passed)
FL-experiment | DEBUG flwr 2024-04-23 22:00:25,680 | connection.py:42 | ChannelConnectivity.IDLE
FL-experiment | DEBUG flwr 2024-04-23 22:00:25,680 | connection.py:42 | ChannelConnectivity.CONNECTING
FL-experiment | DEBUG flwr 2024-04-23 22:00:25,681 | connection.py:42 | ChannelConnectivity.READY
FL-experiment | DEBUG flwr 2024-04-23 22:00:25,697 | connection.py:42 | ChannelConnectivity.IDLE
FL-experiment | INFO flwr 2024-04-23 22:00:25,725 | grpc.py:52 | Opened insecure gRPC connection (no certificates were passed)
FL-experiment | DEBUG flwr 2024-04-23 22:00:25,727 | connection.py:42 | ChannelConnectivity.IDLE
FL-experiment | DEBUG flwr 2024-04-23 22:00:25,728 | connection.py:42 | ChannelConnectivity.READY
FL-experiment | INFO flwr 2024-04-23 22:00:25,735 | grpc.py:52 | Opened insecure gRPC connection (no certificates were passed)
