FL-experiment | INFO flwr 2024-04-23 17:28:25,202 | main.py:43 | Config: INCENTIVES_ON=False, BCFL=False, IPFS_ON=False, NUM_CLIENTS=10, NUM_ROUNDS=5,
FL-experiment | INFO flwr 2024-04-23 17:28:25,202 | main.py:44 | Start Experiment
FL-experiment | INFO flwr 2024-04-23 17:28:26,745 | server.py:38 | Start Round=1
FL-experiment | INFO flwr 2024-04-23 17:28:26,746 | app.py:163 | Starting Flower server, config: ServerConfig(num_rounds=5, round_timeout=None)
FL-experiment | INFO flwr 2024-04-23 17:28:26,764 | app.py:176 | Flower ECE: gRPC server running (5 rounds), SSL is disabled
FL-experiment | INFO flwr 2024-04-23 17:28:26,764 | server.py:89 | Initializing global parameters
FL-experiment | INFO flwr 2024-04-23 17:28:26,765 | server.py:276 | Requesting initial parameters from one random client
FL-experiment | INFO flwr 2024-04-23 17:28:34,854 | grpc.py:52 | Opened insecure gRPC connection (no certificates were passed)
FL-experiment | DEBUG flwr 2024-04-23 17:28:34,855 | connection.py:42 | ChannelConnectivity.IDLE
FL-experiment | DEBUG flwr 2024-04-23 17:28:34,855 | connection.py:42 | ChannelConnectivity.CONNECTING
FL-experiment | DEBUG flwr 2024-04-23 17:28:34,856 | connection.py:42 | ChannelConnectivity.READY
FL-experiment | INFO flwr 2024-04-23 17:28:34,865 | server.py:280 | Received initial parameters from one random client
FL-experiment | INFO flwr 2024-04-23 17:28:34,865 | server.py:91 | Evaluating initial parameters
FL-experiment | INFO flwr 2024-04-23 17:28:34,865 | server.py:104 | FL starting
FL-experiment | INFO flwr 2024-04-23 17:28:35,096 | grpc.py:52 | Opened insecure gRPC connection (no certificates were passed)
FL-experiment | DEBUG flwr 2024-04-23 17:28:35,097 | connection.py:42 | ChannelConnectivity.IDLE
FL-experiment | DEBUG flwr 2024-04-23 17:28:35,097 | connection.py:42 | ChannelConnectivity.CONNECTING
FL-experiment | DEBUG flwr 2024-04-23 17:28:35,099 | connection.py:42 | ChannelConnectivity.READY
FL-experiment | INFO flwr 2024-04-23 17:28:35,103 | grpc.py:52 | Opened insecure gRPC connection (no certificates were passed)
FL-experiment | DEBUG flwr 2024-04-23 17:28:35,104 | connection.py:42 | ChannelConnectivity.IDLE
