FL-experiment | INFO flwr 2024-03-12 00:17:47,848 | main.py:40 | Config: INCENTIVES_ON=False, BCFL=False, IPFS_ON=False, NUM_CLIENTS=25, NUM_ROUNDS=2,
FL-experiment | INFO flwr 2024-03-12 00:17:47,848 | main.py:41 | Start Experiment
FL-experiment | INFO flwr 2024-03-12 00:17:49,318 | server.py:42 | Start Round=1
FL-experiment | INFO flwr 2024-03-12 00:17:49,318 | app.py:163 | Starting Flower server, config: ServerConfig(num_rounds=2, round_timeout=None)
FL-experiment | INFO flwr 2024-03-12 00:17:49,335 | app.py:176 | Flower ECE: gRPC server running (2 rounds), SSL is disabled
FL-experiment | INFO flwr 2024-03-12 00:17:49,336 | server.py:89 | Initializing global parameters
FL-experiment | INFO flwr 2024-03-12 00:17:49,336 | server.py:276 | Requesting initial parameters from one random client
FL-experiment | INFO flwr 2024-03-12 00:18:01,423 | grpc.py:52 | Opened insecure gRPC connection (no certificates were passed)
FL-experiment | DEBUG flwr 2024-03-12 00:18:01,441 | connection.py:42 | ChannelConnectivity.IDLE
FL-experiment | DEBUG flwr 2024-03-12 00:18:01,499 | connection.py:42 | ChannelConnectivity.CONNECTING
FL-experiment | DEBUG flwr 2024-03-12 00:18:01,500 | connection.py:42 | ChannelConnectivity.READY
FL-experiment | INFO flwr 2024-03-12 00:18:01,514 | server.py:280 | Received initial parameters from one random client
FL-experiment | INFO flwr 2024-03-12 00:18:01,515 | server.py:91 | Evaluating initial parameters
FL-experiment | INFO flwr 2024-03-12 00:18:01,515 | server.py:104 | FL starting
FL-experiment | INFO flwr 2024-03-12 00:18:01,538 | grpc.py:52 | Opened insecure gRPC connection (no certificates were passed)
FL-experiment | DEBUG flwr 2024-03-12 00:18:01,546 | connection.py:42 | ChannelConnectivity.IDLE
FL-experiment | DEBUG flwr 2024-03-12 00:18:01,554 | connection.py:42 | ChannelConnectivity.CONNECTING
FL-experiment | DEBUG flwr 2024-03-12 00:18:01,554 | connection.py:42 | ChannelConnectivity.READY
FL-experiment | INFO flwr 2024-03-12 00:18:01,578 | grpc.py:52 | Opened insecure gRPC connection (no certificates were passed)
FL-experiment | DEBUG flwr 2024-03-12 00:18:01,579 | connection.py:42 | ChannelConnectivity.IDLE
FL-experiment | DEBUG flwr 2024-03-12 00:18:01,580 | connection.py:42 | ChannelConnectivity.CONNECTING
FL-experiment | DEBUG flwr 2024-03-12 00:18:01,586 | connection.py:42 | ChannelConnectivity.READY
FL-experiment | INFO flwr 2024-03-12 00:18:02,016 | grpc.py:52 | Opened insecure gRPC connection (no certificates were passed)
FL-experiment | DEBUG flwr 2024-03-12 00:18:02,019 | connection.py:42 | ChannelConnectivity.IDLE
FL-experiment | DEBUG flwr 2024-03-12 00:18:02,020 | connection.py:42 | ChannelConnectivity.READY
FL-experiment | INFO flwr 2024-03-12 00:18:02,248 | grpc.py:52 | Opened insecure gRPC connection (no certificates were passed)
FL-experiment | DEBUG flwr 2024-03-12 00:18:02,308 | connection.py:42 | ChannelConnectivity.IDLE
FL-experiment | DEBUG flwr 2024-03-12 00:18:02,314 | connection.py:42 | ChannelConnectivity.READY
